key,description,text
absoluteScale,"UI string from absoluteScale","녹색 ≤{{low}}% · 노란색 ≤{{mid}}% · 빨간색 ＞{{mid}}% (퍼센트는 해당 키의 '최근 누적' 오류율을 나타냅니다)"
accuracy,"UI string from accuracy","정확도: {{percent}}%"
accuracyChartAriaLabel,"UI string from accuracyChartAriaLabel",""Gráfico de Tendência de Precisão: Quanto mAIs Alta a linha"
accuracyChartTitle,"UI string from accuracyChartTitle","정확도"
accuracyChartTooltip,"UI string from accuracyChartTooltip","縦軸：精度（高いほど正確）；横軸：時間の経過。青い線は各テストにおける精度の変化を示しています。"
actualInput,"UI string from actualInput","실제 입력: {{chars}} 문자"
admin.bulkTranslateTitle,"UI string from admin.bulkTranslateTitle","현지화 도구의 풍부함"
admin.description,"UI string from admin.description","이 영역은 유지 관리 및 콘텐츠 관리 용도로만 사용됩니다."
admin.multiLineText,"UI string from admin.multiLineText","다중 행 텍스트 (행당 하나의 항목)"
admin.sourceLanguage,"UI string from admin.sourceLanguage","소스 언어"
admin.targetLanguage,"UI string from admin.targetLanguage","목표 언어"
admin.title,"UI string from admin.title","관리자 대시보드"
admin.usageDescription,"UI string from admin.usageDescription"," pega el texto en varias líneas y haz clic en Ejecutar. Los resultados son solo para revisión manual. Esta función requiere un token de administrador para ser habilitada.""
admin.usageTitle,"UI string from admin.usageTitle","? 사용자 가이드"
auth.pleaseSignIn,"UI string from auth.pleaseSignIn"," faça login usando o Google primeiro.""
auth.signIn,"UI string from auth.signIn","구글로 로그인"
auth.signOut,"UI string from auth.signOut","로그아웃"
correctChars,"UI string from correctChars","올바른 문자 수: {{chars}} 문자"
defaultDescription,"UI string from defaultDescription"," aumenta la precisión"
dev.savedToFirestore,"UI string from dev.savedToFirestore","실시간으로 Firestore에 저장되었습니다."
dev.stage,"UI string from dev.stage","무대"
dev.stageOverview,"UI string from dev.stageOverview","다섯 단계 개요 (쉬운 시각적 비교를 위해)"
distanceToUpgrade,"UI string from distanceToUpgrade",""Para alcançar o nível {{stage}}"
effectiveDate,"UI string from effectiveDate","発効日：2025年9月21日"
error.errorOccurred,"UI string from error.errorOccurred","오류가 발생했습니다"
error.goBack,"UI string from error.goBack","이전 페이지로 돌아가기"
error.goHome,"UI string from error.goHome","홈으로 돌아가기"
error.loadingError,"UI string from error.loadingError",""Ocorreu um erro ao carregar a página"
errorRate,"UI string from errorRate","{{key}} 오류 비율 {{percent}}%"
highestHere,"UI string from highestHere","여기서 가장 높은 값은 {{value}}입니다."
home.aboutBody,"UI string from home.aboutBody",""Typesprout es un sitio web de práctica de Escritura y crecimiento para niños de primero a sexto grado"
home.aboutTitle,"UI string from home.aboutTitle","타입스프라우트 소개"
home.cards.avgAdj,"UI string from home.cards.avgAdj","평균 종합 점수 (30일)"
home.cards.meVsSite,"UI string from home.cards.meVsSite","나 vs 모든 사이트 (30일)"
home.cards.players,"UI string from home.cards.players","플레이어 수"
home.cards.totalChars,"UI string from home.cards.totalChars","총 단어 수 (30일)"
home.ctaPractice,"UI string from home.ctaPractice","지금 연습 시작하기"
home.ctaTest,"UI string from home.ctaTest","테스트 시작하기"
home.googleUsersCount,"UI string from home.googleUsersCount","구글 로그인 사용자 수"
home.googleUsersTooltip,"UI string from home.googleUsersTooltip","구글 계정으로 로그인한 총 사용자 수"
home.heroSubtitle,"UI string from home.heroSubtitle",""Cada vez que Escribes"
home.heroTitle,"UI string from home.heroTitle",""Crianças digitam"
home.howToUpgrade,"UI string from home.howToUpgrade","업그레이드하는 방법은?"
home.leaderEmpty,"UI string from home.leaderEmpty","데이터가 없습니다."
home.leaderViewFull,"UI string from home.leaderViewFull","전체 순위 보기"
home.privacyNote,"UI string from home.privacyNote",""개인 데이터는 수집되지 않으며"
home.tabs.leader,"UI string from home.tabs.leader","리더보드 미리보기"
home.tabs.visitors,"UI string from home.tabs.visitors","방문자 분포"
home.title,"UI string from home.title","타입스프라우트 — 어린이 타이핑 및 나무 성장"
home.upgradeRule1,"UI string from home.upgradeRule1","매일 로그인하고 타이핑 연습을 하여 시간을 축적하세요. 테스트를 시작하면 "유효 입력 시간"이 생성됩니다."
home.upgradeRule2,"UI string from home.upgradeRule2"," acumularás actividad; cuanto más Escribas"
home.upgradeRule3,"UI string from home.upgradeRule3","레벨 5에 도달하여 결과를 생성하기 시작하세요 (열매를 맺다)."
home.upgradeRule4,"UI string from home.upgradeRule4",""A atividade nos últimos 5 dias fará a árvore pequena subir ou dEscer: mAIs atividade significa subir de nível"
home.upgradeRule5,"UI string from home.upgradeRule5",""Até o estágio 5; se você conseguir manter o estágio 5 todos os dias"
home.upgradeRule6,"UI string from home.upgradeRule6",""As frutas coletadas fornecerão recompensas na plataforma com base nas classificações; atualmente"
home.upgradeRules,"UI string from home.upgradeRules"," cualquier práctica realizada cada día se acumulará; cuanto más tiempo Escribas en un día determinado"
home.visitorsDesc,"UI string from home.visitorsDesc","웹사이트 방문자 및 플레이어의 국가 분포(익명 통계)."
howToUpgrade,"UI string from howToUpgrade","업그레이드하는 방법"
introduction,"UI string from introduction",""Bem-vindo ao Typesprout! Este é um site gratuito de prática de digitação criado por um desenvolvedor individual por pAIxão. Entendemos que sua privacidade é importante"
leaderboard.classCodePlaceholder,"UI string from leaderboard.classCodePlaceholder","수업 코드"
leaderboard.tooltip,"UI string from leaderboard.tooltip"," mayor será la puntuación&#10;&#10;💡 Un pequeño recordatorio: ¡Practica un poco cada día y el arbolito crecerá!""
meta.gardenDescription,"UI string from meta.gardenDescription","타이핑 포인트로 나무의 성장과 보상을 촉진하세요."
meta.homeDescription,"UI string from meta.homeDescription","어린이 타자 연습 및 나무 성장 게임. 번체 중국어 / 간체 중국어 / 영어를 지원합니다."
meta.leaderboardDescription,"UI string from meta.leaderboardDescription","언어별 일간/주간/월간 순위."
meta.practiceDescription,"UI string from meta.practiceDescription",""Prática de digitação gratuita"
meta.profileDescription,"UI string from meta.profileDescription"," calificación y preferencias.""
meta.result,"UI string from meta.result","결과"
meta.resultDescription,"UI string from meta.resultDescription","당신의 타이핑 테스트 결과."
meta.testDescription,"UI string from meta.testDescription",""Teste cronometrado"
nav.garden,"UI string from nav.garden","나무 심기"
nav.home,"UI string from nav.home","홈"
nav.leaderboard,"UI string from nav.leaderboard","리더보드"
nav.practice,"UI string from nav.practice","연습"
nav.profile,"UI string from nav.profile","개인적인"
nav.subtitle,"UI string from nav.subtitle","어린이 타이핑 및 나무 성장"
nav.test,"UI string from nav.test","테스트"
notice,"UI string from notice",""Por favor nota: Este servicio es sin fines de lucro y todas las funciones se proporcionan "tal cual". Si no estás de acuerdo con alguno de los términos de esta política de privacidad"
percentile,"UI string from percentile","약 {{percent}}% 이상의 사람들"
profile.chartDescription,"UI string from profile.chartDescription"," aumenta la precisión"
profile.classCode,"UI string from profile.classCode","수업 코드"
profile.classCodePlaceholder,"UI string from profile.classCodePlaceholder",""Digite qualquer nome"
profile.classCodeTooltip,"UI string from profile.classCodeTooltip",""Único em todo o site (3–50 caracteres; não pode incluir /). Usado para competições e agrupamento de leaderboard; até 5 podem ser adicionados. Professores podem criar novos códigos; uma vez criados"
recentValue,"UI string from recentValue","최근 {{value}} {{trend}}"
recordNumber,"UI string from recordNumber","항목 {{number}}"
relativeScale,"UI string from relativeScale",""상대적 비율: 초록 ≤30% · 노랑 ≤70% · 빨강 ＞70% (가장 높은 오류 키를 기준으로 하며"
result.accuracyTooltip,"UI string from result.accuracyTooltip",""Precisão = Caracteres Corretos ÷ Total de Caracteres no Prompt. Nota: Caracteres não Digitados também são contados no total de caracteres"
result.chartDescription,"UI string from result.chartDescription"," mejora la precisión"
result.scoreTooltip,"UI string from result.scoreTooltip"," e depois aumentar gradualmente a velocidade.""
section1.gameData.content,"UI string from section1.gameData.content"," and more. This data will be associated with your anonymous user ID to generate your personal history and leaderboard.""
section1.gameData.title,"UI string from section1.gameData.title","게임 데이터:"
section1.googleAuth.content,"UI string from section1.googleAuth.content"," such as your real name or address.""
section1.googleAuth.title,"UI string from section1.googleAuth.title","구글 로그인 인증:"
section1.principle,"UI string from section1.principle","우리는 단순화 원칙을 고수하며 서비스 운영에 필요한 데이터만 수집합니다:"
