key,description,text
absoluteScale,"UI string from absoluteScale","Hijau ≤{{low}}% · Kuning ≤{{mid}}% · Merah ＞{{mid}}% (Persentase % menunjukkan tingkat kesalahan 'kumulatif terbaru' untuk tombol tersebut)"
accuracy,"UI string from accuracy","Akurasi: {{percent}}%"
accuracyChartAriaLabel,"UI string from accuracyChartAriaLabel",""Graphique de tendance de précision : Plus la ligne est haute"
accuracyChartTitle,"UI string from accuracyChartTitle","Akurasi"
accuracyChartTooltip,"UI string from accuracyChartTooltip","Asse verticale: Precisione (valori più Alti indicano maggiore precisione); Asse orizzontale: Sequenza temporale. La linea blu mostra le variazioni di precisione per ciascun test."
actualInput,"UI string from actualInput","Input aktual: {{chars}} karakter"
admin.bulkTranslateTitle,"UI string from admin.bulkTranslateTitle","Kekayaan alat lokalisasi"
admin.description,"UI string from admin.description","Area ini hanya untuk tujuan pemeliharaan dan manajemen konten."
admin.multiLineText,"UI string from admin.multiLineText","Teks multi-baris (satu entri per baris)"
admin.sourceLanguage,"UI string from admin.sourceLanguage","Bahasa Sumber"
admin.targetLanguage,"UI string from admin.targetLanguage","Bahasa target"
admin.title,"UI string from admin.title","Dasbor Admin"
admin.usageDescription,"UI string from admin.usageDescription",""소스 및 대상 언어 코드를 입력하고"
admin.usageTitle,"UI string from admin.usageTitle","? Panduan Pengguna"
auth.pleaseSignIn,"UI string from auth.pleaseSignIn","Bitte melden Sie sich zuerst mit Google an."
auth.signIn,"UI string from auth.signIn","Masuk dengan Google"
auth.signOut,"UI string from auth.signOut","Keluar"
correctChars,"UI string from correctChars","Jumlah karakter yang benar: {{chars}} karakter"
defaultDescription,"UI string from defaultDescription"," depois aumente a velocidade gradualmente.""
dev.savedToFirestore,"UI string from dev.savedToFirestore","Disimpan ke Firestore secara real-time."
dev.stage,"UI string from dev.stage","Panggung"
dev.stageOverview,"UI string from dev.stageOverview","Tinjauan Lima Tahap (untuk perbandingan visual yang mudah)"
distanceToUpgrade,"UI string from distanceToUpgrade",""Pour atteindre le niveau {{stage}}"
effectiveDate,"UI string from effectiveDate","Data di efficacia: 21 settembre 2025"
error.errorOccurred,"UI string from error.errorOccurred","Terjadi kesalahan"
error.goBack,"UI string from error.goBack","Kembali ke halaman sebelumnya"
error.goHome,"UI string from error.goHome","Kembali ke Beranda"
error.loadingError,"UI string from error.loadingError",""Une erreur est survenue lors du chargement de la page"
errorRate,"UI string from errorRate","{{key}} Tingkat Kesalahan {{percent}}%"
highestHere,"UI string from highestHere","NilAI tertinggi di sini adalah {{value}}."
home.aboutBody,"UI string from home.aboutBody"," suportando múltiplos idiomas (zh-TW / zh-CN / en-US). Esperamos oferecer um ambiente seguro e amigável para crianças de todo o mundo praticarem entrada"
home.aboutTitle,"UI string from home.aboutTitle","Tentang Typesprout"
home.cards.avgAdj,"UI string from home.cards.avgAdj","Skor Komposit Rata-rata (30 Hari)"
home.cards.meVsSite,"UI string from home.cards.meVsSite","Saya vs Semua Situs (30 Hari)"
home.cards.players,"UI string from home.cards.players","Jumlah PemAIn"
home.cards.totalChars,"UI string from home.cards.totalChars","Total Jumlah Kata (30 Hari)"
home.ctaPractice,"UI string from home.ctaPractice","MulAI Berlatih Sekarang"
home.ctaTest,"UI string from home.ctaTest","Ikuti ujian"
home.googleUsersCount,"UI string from home.googleUsersCount","Jumlah Pengguna Login Google"
home.googleUsersTooltip,"UI string from home.googleUsersTooltip","Numero totale di utenti connessi con l'account Google"
home.heroSubtitle,"UI string from home.heroSubtitle"," isso se transforma em energia para nutrir sua árvore"
home.heroTitle,"UI string from home.heroTitle"," 묘목이 자라납니다.""
home.howToUpgrade,"UI string from home.howToUpgrade","BagAImana cara meningkatkan?"
home.leaderEmpty,"UI string from home.leaderEmpty","Tidak ada data yang tersedia"
home.leaderViewFull,"UI string from home.leaderViewFull","Lihat Peringkat Lengkap"
home.privacyNote,"UI string from home.privacyNote","Nessun dato personale raccolto; i dati statistici vengono utilizzati solo per classifiche anonime e feedback di apprendimento."
home.tabs.leader,"UI string from home.tabs.leader","Prabaca Papan Peringkat"
home.tabs.visitors,"UI string from home.tabs.visitors","Distribusi Pengunjung"
home.title,"UI string from home.title","Typesprout — Ketikan Anak dan Pertumbuhan Pohon"
home.upgradeRule1,"UI string from home.upgradeRule1"," um die "effektive Eingabezeit" zu generieren.""
home.upgradeRule2,"UI string from home.upgradeRule2"," mAIs rápido você crEscerá.""
home.upgradeRule3,"UI string from home.upgradeRule3","Raggiungi il livello 5 per iniziare a produrre risultati (portare frutti)."
home.upgradeRule4,"UI string from home.upgradeRule4"," 적은 활동은 레벨다운을 의미합니다.""
home.upgradeRule5,"UI string from home.upgradeRule5"," 계속해서 열매를 맺게 될 것입니다.""
home.upgradeRule6,"UI string from home.upgradeRule6",""Les fruits collectés fourniront des récompenses sur la plateforme en fonction des classements ; actuellement"
home.upgradeRules,"UI string from home.upgradeRules"," mAIs fácil será subir de nível. O nível mAIs Alto é 5.""
home.visitorsDesc,"UI string from home.visitorsDesc","Distribusi negara pengunjung situs web dan pemAIn (statistik anonim)."
howToUpgrade,"UI string from howToUpgrade","Cara meningkatkan"
introduction,"UI string from introduction"," 이 정책은 우리가 수집하는 데이터와 그 데이터를 어떻게 사용할 것인지에 대해 설명하는 것을 목표로 합니다.""
leaderboard.classCodePlaceholder,"UI string from leaderboard.classCodePlaceholder","Kode Kelas"
leaderboard.tooltip,"UI string from leaderboard.tooltip","🏆 リーダーボードはどのように計算されますか？&#10;• 今日のランキング：今日の（現地時間）パフォーマンス&#10;• 昨日のランキング：昨日の（現地時間）パフォーマンス&#10;• 先週のランキング：先週の月曜日から日曜日までのパフォーマンス&#10;• 先月のランキング：先月の1日から月末までのパフォーマンス&#10;&#10;📊 スコアはどのように計算されますか？&#10;• 総合スコア = 最速のスピード × 精度率 × 練習時間&#10;• 同じ日に複数回の練習は計算に組み合わされます&#10;• 練習時間が長いほど、スコアは高くなります&#10;&#10;💡 ちょっとしたお知らせ：毎日少しずつ練習して、小さな木を育てましょう！"
meta.gardenDescription,"UI string from meta.gardenDescription","Majukan pertumbuhan dan hadiah pohon dengan poin ketik."
meta.homeDescription,"UI string from meta.homeDescription","PermAInan latihan mengetik anak-anak dan pertumbuhan pohon. Mendukung Bahasa Mandarin Tradisional / Mandarin Sederhana / Bahasa Inggris."
meta.leaderboardDescription,"UI string from meta.leaderboardDescription","DAIly/Mingguan/Bulanan Peringkat berdasarkan Bahasa."
meta.practiceDescription,"UI string from meta.practiceDescription"," 입력 방법 및 다양한 모드 지원.""
meta.profileDescription,"UI string from meta.profileDescription",""귀하의 개인 정보"
meta.result,"UI string from meta.result","Hasil"
meta.resultDescription,"UI string from meta.resultDescription","Hasil tes ketik Anda."
meta.testDescription,"UI string from meta.testDescription"," 정확도 및 전체 점수 표시.""
nav.garden,"UI string from nav.garden","Tanam pohon"
nav.home,"UI string from nav.home","Beranda"
nav.leaderboard,"UI string from nav.leaderboard","Papan Peringkat"
nav.practice,"UI string from nav.practice","Latihan"
nav.profile,"UI string from nav.profile","Pribadi"
nav.subtitle,"UI string from nav.subtitle","Ketikan Anak dan Pertumbuhan Pohon"
nav.test,"UI string from nav.test","Uji"
notice,"UI string from notice"," note: Este serviço é sem fins lucrativos e todos os recursos são fornecidos "como estão". Se você não concorda com algum termo desta política de privacidade"
percentile,"UI string from percentile","Lebih dari sekitar {{percent}}% orang"
profile.chartDescription,"UI string from profile.chartDescription"," depois acelere gradualmente.""
profile.classCode,"UI string from profile.classCode","Kode Kelas"
profile.classCodePlaceholder,"UI string from profile.classCodePlaceholder"," 중복은 피해주세요.""
profile.classCodeTooltip,"UI string from profile.classCodeTooltip"," 생성되면 자동으로 추가됩니다 (이미 5개일 경우 자동 추가되지 않음).""
recentValue,"UI string from recentValue","Baru-baru ini {{value}} {{trend}}"
recordNumber,"UI string from recordNumber","Item {{number}}"
relativeScale,"UI string from relativeScale","Scala Relativa: Verde ≤30% · Giallo ≤70% · Rosso ＞70% (relativo al tasto di errore più Alto; calcolato in base al tasso di errore "cumulativo più recente")"
result.accuracyTooltip,"UI string from result.accuracyTooltip",""정확도 = 올바른 문자 ÷ 프롬프트의 총 문자 수. 참고: 입력되지 않은 문자도 총 문자 수에 포함되므로"
result.chartDescription,"UI string from result.chartDescription"," depois aumente gradualmente a velocidade.""
result.scoreTooltip,"UI string from result.scoreTooltip"," puis augmEnter progressivement la vitesse.""
section1.gameData.content,"UI string from section1.gameData.content"," tiempo tomado y más. Estos datos estarán asociados con tu ID de usuario anónimo para generar tu historial personal y Tabla de clasificación.""
section1.gameData.title,"UI string from section1.gameData.title","Data PermAInan:"
section1.googleAuth.content,"UI string from section1.googleAuth.content"," como tu nombre real o dirección.""
section1.googleAuth.title,"UI string from section1.googleAuth.title","Autentikasi Masuk Google:"
section1.principle,"UI string from section1.principle"," um den Betrieb unserer Dienste aufrechtzuerhAlten:""
section1.technicalData.googleAdsense,"UI string from section1.technicalData.googleAdsense"," die die Betriebskosten der Website unterstützen. Google und seine Partner können Cookies (wie das DoubleClick-Cookie) verwenden"
section1.technicalData.googleAnalytics,"UI string from section1.technicalData.googleAnalytics"," páginas visitadas y más.""
section1.technicalData.title,"UI string from section1.technicalData.title","Data teknis yang secara otomatis dikumpulkan oleh layanan pihak ketiga:"
section1.title,"UI string from section1.title","1. Tipi di dati che raccogliamo"
section1.voluntaryInfo.content,"UI string from section1.voluntaryInfo.content"," idioma o región. Esta información no es obligatoria y está principalmente destinada a optimizar las recomendaciones del banco de preguntas"
section1.voluntaryInfo.title,"UI string from section1.voluntaryInfo.title","Pengguna secara sukarela memberikan informasi yang tidak tepat (opsional):"
section2.coreFunction,"UI string from section2.coreFunction"," usados para registrar suas pontuações"
section2.experienceOptimization,"UI string from section2.experienceOptimization",""경험 최적화: 귀하가 자발적으로 제공하는 나이"
section2.serviceMaintenance,"UI string from section2.serviceMaintenance","Manutenzione del servizio: I dati tecnici raccolti tramite Google Analytics ci AIutano a comprendere le prestazioni del sito web e a risolvere potenziali problemi."
section2.statisticalAnalysis,"UI string from section2.statisticalAnalysis","Analisi Statistica: Anonimizzeremo e aggregaremo tutte le informazioni fornite volontariamente dagli utenti per comprendere il profilo complessivo del gruppo utenti e migliorare i nostri servizi."
section2.title,"UI string from section2.title","2. BagAImana kami menggunakan data Anda"
section3.crossBorderTransfer,"UI string from section3.crossBorderTransfer"," almacenados y procesados en estos servidores en el extranjero.""
section3.dataRetention,"UI string from section3.dataRetention",""Conservation des données : Étant donné que ce service est entièrement gratuit"
section3.storageLocation,"UI string from section3.storageLocation"," 귀하의 게임 데이터와 자발적으로 제공된 정보는 Google Firebase의 데이터베이스에 저장됩니다.""
section3.title,"UI string from section3.title","3. Penyimpanan Data dan Transfer Lintas Batas"
section4.advertisingCookies,"UI string from section4.advertisingCookies"," o Google usará cookies para veicular anúncios. Você pode visitar a página de configurações de anúncios do Google (https://adssettings.google.com/) a qualquer momento para gerenciar ou optar por não receber anúncios personalizados.""
section4.functionalCookies,"UI string from section4.functionalCookies","Cookie Funzionali: Utilizziamo i cookie per mantenere il tuo stato di accesso."
section4.title,"UI string from section4.title","4. Tentang Cookies dan Iklan"
section5.contactChannel,"UI string from section5.contactChannel"," correção ou exclusão)"
section5.githubLink,"UI string from section5.githubLink","https://github.com/yveschen001/typesprout-pubic/issues"
section5.importantReminder,"UI string from section5.importantReminder"," nombre real o capturas de pantalla de tu cuenta. Solo necesitamos que proporciones tu nombre de usuario en Typesprout y una dEscripción del problema. No nos comunicaremos contigo a través de ningún canal privado fuera del Issue.""
section5.responseTime,"UI string from section5.responseTime"," 가능한 한 빨리 응답하겠습니다. 기다려 주셔서 감사합니다.""
section5.title,"UI string from section5.title","5. Hak Anda dan Informasi Kontak"
speedChartAriaLabel,"UI string from speedChartAriaLabel",""Graphique de tendance du score global : Plus la ligne est haute"
speedChartTitle,"UI string from speedChartTitle","Skor Keseluruhan (Kecepatan Benar)"
speedChartTooltip,"UI string from speedChartTooltip"," combinando velocidade e precisão.""
speedScore,"UI string from speedScore","Skor Keseluruhan: {{score}}"
terms.footer,"UI string from terms.footer","© 2025 Typesprout. Semua hak dilindungi."
terms.lastUpdated,"UI string from terms.lastUpdated","Ultimo aggiornamento: 21 settembre 2025"
