key,description,text
absoluteScale,"UI string from absoluteScale","Grøn ≤{{low}}% · Gul ≤{{mid}}% · Rød ＞{{mid}}% (Procenten repræsenterer den 'seneste kumulative' fejlrate for den tast)"
accuracy,"UI string from accuracy","Nøjagtighed: {{percent}}%"
accuracyChartAriaLabel,"UI string from accuracyChartAriaLabel","กราฟแนวโน้มความแม่นยำ: ยิ่งเส้นสูงมากเท่าไหร่ ความแม่นยำก็ยิ่งมากขึ้นเท่านั้น"
accuracyChartTitle,"UI string from accuracyChartTitle","Nøjagtighed"
accuracyChartTooltip,"UI string from accuracyChartTooltip","Vertikal axel: Noggrannhet (högre innebär mer precis); Horisontell axel: Tidssekvens. Den blå linjen visar förändringarna i noggrannhet för varje test."
actualInput,"UI string from actualInput","{{chars}} tegn"
admin.bulkTranslateTitle,"UI string from admin.bulkTranslateTitle","En rigdom af lokaliseringsværktøjer"
admin.description,"UI string from admin.description","Dette område er kun til vedligeholdelse og indholdsstyring."
admin.multiLineText,"UI string from admin.multiLineText","Flermeddelelsestekst (én indtastning pr. linje)"
admin.sourceLanguage,"UI string from admin.sourceLanguage","Kildesprog"
admin.targetLanguage,"UI string from admin.targetLanguage","Mål sprog"
admin.title,"UI string from admin.title","Admin Dashboard"
admin.usageDescription,"UI string from admin.usageDescription",""Masukkan kode bahasa sumber dan target"
admin.usageTitle,"UI string from admin.usageTitle","Brugervejledning"
auth.pleaseSignIn,"UI string from auth.pleaseSignIn","Log eerst in met Google."
auth.signIn,"UI string from auth.signIn","Log ind med Google"
auth.signOut,"UI string from auth.signOut","Log ud"
correctChars,"UI string from correctChars","Korrekt tegnantal: {{chars}} tegn"
defaultDescription,"UI string from defaultDescription"," poi accelera gradualmente.""
dev.savedToFirestore,"UI string from dev.savedToFirestore","Gemmes til Firestore i realtid."
dev.stage,"UI string from dev.stage","Scene"
dev.stageOverview,"UI string from dev.stageOverview","Fem-trins oversigt (til nem visuel sammenligning)"
distanceToUpgrade,"UI string from distanceToUpgrade"," bạn nên nhập ít nhất {{minutes}} phút nữa hôm nay.""
effectiveDate,"UI string from effectiveDate","Data wejścia w życie: 21 września 2025"
error.errorOccurred,"UI string from error.errorOccurred","Der opstod en fejl"
error.goBack,"UI string from error.goBack","Gå tilbage til den forrige side"
error.goHome,"UI string from error.goHome","Tilbage til Hjem"
error.loadingError,"UI string from error.loadingError","เกิดข้อผิดพลาดขณะโหลดหน้าเว็บ กรุณาลองอีกครั้งในภายหลัง。"
errorRate,"UI string from errorRate","{{key}} Fejlrate {{percent}}%"
highestHere,"UI string from highestHere","Det højeste her er {{value}}."
home.aboutBody,"UI string from home.aboutBody"," die mehrere Sprachen unterstützt (zh-TW / zh-CN / en-US). Wir hoffen"
home.aboutTitle,"UI string from home.aboutTitle",""
home.cards.avgAdj,"UI string from home.cards.avgAdj","Gennemsnitlig sammensat score (30 dage)"
home.cards.meVsSite,"UI string from home.cards.meVsSite","Mig vs Alle Sider (30 Dage)"
home.cards.players,"UI string from home.cards.players","Antal spillere"
home.cards.totalChars,"UI string from home.cards.totalChars","Samlet ordantal (30 dage)"
home.ctaPractice,"UI string from home.ctaPractice","Begynd at øve nu"
home.ctaTest,"UI string from home.ctaTest","Tag testen"
home.googleUsersCount,"UI string from home.googleUsersCount","Antal Google-loginbrugere"
home.googleUsersTooltip,"UI string from home.googleUsersTooltip","Totalt antal användare inloggade med Google-konto"
home.heroSubtitle,"UI string from home.heroSubtitle"," verwandelt es sich in Energie"
home.heroTitle,"UI string from home.heroTitle"," cây non lớn lên cao.""
home.howToUpgrade,"UI string from home.howToUpgrade","Hvordan opgraderer man?"
home.leaderEmpty,"UI string from home.leaderEmpty","Ingen data tilgængelig"
home.leaderViewFull,"UI string from home.leaderViewFull","Se fulde ranglister"
home.privacyNote,"UI string from home.privacyNote","Ingen personopplysninger samles inn; statistiske data brukes kun til anonyme rangeringer og læringsfeedback."
home.tabs.leader,"UI string from home.tabs.leader","Leaderboard Forhåndsvisning"
home.tabs.visitors,"UI string from home.tabs.visitors","Besøgsfordeling"
home.title,"UI string from home.title","Typesprout — Barnas Skriving og Trevekst"
home.upgradeRule1,"UI string from home.upgradeRule1","Log in en oefen elke dag met typen om tijd op te bouwen; begin gewoon een test om "effectieve invoertijd" te genereren."
home.upgradeRule2,"UI string from home.upgradeRule2"," accumulerAI attività; più a lungo digiti"
home.upgradeRule3,"UI string from home.upgradeRule3"," aby zacząć przynosić rezultaty.""
home.upgradeRule4,"UI string from home.upgradeRule4"," trong khi ít hoạt động có nghĩa là xuống cấp.""
home.upgradeRule5,"UI string from home.upgradeRule5"," bạn sẽ tiếp tục gặt hái trái ngọt.""
home.upgradeRule6,"UI string from home.upgradeRule6","ผลไม้ที่เก็บรวบรวมจะมอบรางวัลแพลตฟอร์มตามอันดับ; ขณะนี้ เวลาในการทำแบบทดสอบสามารถใช้เพื่อสะสมคะแนนได้。"
home.upgradeRules,"UI string from home.upgradeRules",""Regole di aggiornamento: Negli ultimi 5 giorni"
home.visitorsDesc,"UI string from home.visitorsDesc","Landfordeling af webstedets besøgende og spillere (anonyme statistikker)."
howToUpgrade,"UI string from howToUpgrade","Hvordan man opgraderer"
introduction,"UI string from introduction","ยินดีต้อนรับสู่ Typesprout! นี่คือเว็บไซต์ฝึกพิมพ์ฟรีที่สร้างขึ้นโดยนักพัฒนาคนเดียวจากความหลงใหล เราเข้าใจว่าความเป็นส่วนตัวของคุณมีความสำคัญ ดังนั้นนโยบายนี้จึงมีวัตถุประสงค์เพื่ออธิบายข้อมูลที่เรารวบรวมและเราจะใช้ข้อมูลนั้นอย่างไร"
leaderboard.classCodePlaceholder,"UI string from leaderboard.classCodePlaceholder","Klasskode"
leaderboard.tooltip,"UI string from leaderboard.tooltip",""🏆 BagAImana papan peringkat dihitung?&#10;• Peringkat HARIAN: Kinerja hari ini (waktu setempat)&#10;• Peringkat Kemarin: Kinerja kemarin (waktu setempat)&#10;• Peringkat Minggu Lalu: Kinerja dari Senin hingga Minggu minggu lalu&#10;• Peringkat Bulan Lalu: Kinerja dari tanggal 1 hingga akhir bulan lalu&#10;&#10;📊 BagAImana skor dihitung?&#10;• Skor Keseluruhan = Kecepatan Tercepat × Tingkat Akurasi × Waktu Latihan&#10;• Latihan ganda pada hari yang sama akan digabungkan untuk perhitungan&#10;• Semakin lama waktu latihan"
meta.gardenDescription,"UI string from meta.gardenDescription","Fremme væksten og belønningerne af træet med skrivepoint."
meta.homeDescription,"UI string from meta.homeDescription","Børns skriveøvelse og trævækstspil. Understøtter traditionelt kinesisk / forenklet kinesisk / engelsk."
meta.leaderboardDescription,"UI string from meta.leaderboardDescription","Daglige/Ugentlige/Månedlige Ranglister efter Sprog."
meta.practiceDescription,"UI string from meta.practiceDescription"," hỗ trợ các phương thức nhập và nhiều chế độ khác nhau.""
meta.profileDescription,"UI string from meta.profileDescription"," dan preferensi.""
meta.result,"UI string from meta.result","I'm ready to assist you with the translation. Please provide the segments you would like to have translated."
