key,description,text
absoluteScale,"UI string from absoluteScale","Зелений ≤{{low}}% · Жовтий ≤{{mid}}% · Червоний ＞{{mid}}% (Відсоток представляє 'недавню кумулятивну' помилку для цієї клавіші)"
accuracy,"UI string from accuracy","Точність: {{percent}}%"
accuracyChartAriaLabel,"UI string from accuracyChartAriaLabel",""Nauwkeurigheid Trendgrafiek: Hoe hoger de lijn"
accuracyChartTitle,"UI string from accuracyChartTitle","Точність"
accuracyChartTooltip,"UI string from accuracyChartTooltip","Svislá osa: Přesnost (vyšší znamená přesnější); Horizontální osa: Časová posloupnost. Modrá čára ukazuje změny v přesnosti pro každý test."
actualInput,"UI string from actualInput","{{chars}} символів"
admin.bulkTranslateTitle,"UI string from admin.bulkTranslateTitle","Багато інструментів локалізації"
admin.description,"UI string from admin.description","Ця зона призначена лише для обслуговування та управління контентом."
admin.multiLineText,"UI string from admin.multiLineText","Багаторядковий текст (один запис на рядок)"
admin.sourceLanguage,"UI string from admin.sourceLanguage","Мова джерела"
admin.targetLanguage,"UI string from admin.targetLanguage","Цільова мова"
admin.title,"UI string from admin.title","Панель адміністратора"
admin.usageDescription,"UI string from admin.usageDescription",""Введите коды исходного и целевого языков"
admin.usageTitle,"UI string from admin.usageTitle","Посібник користувача"
auth.pleaseSignIn,"UI string from auth.pleaseSignIn","Vă rugăm să vă conectați mai întâi folosind Google."
auth.signIn,"UI string from auth.signIn","Увійти за допомогою Google"
auth.signOut,"UI string from auth.signOut","Вийти"
correctChars,"UI string from correctChars","Кількість правильних символів: {{chars}} символів"
defaultDescription,"UI string from defaultDescription"," sau đó từ từ tăng tốc.""
dev.savedToFirestore,"UI string from dev.savedToFirestore","Збережено в Firestore в реальному часі."
dev.stage,"UI string from dev.stage","Етап"
dev.stageOverview,"UI string from dev.stageOverview","П'ятиетапний огляд (для зручного візуального порівняння)"
distanceToUpgrade,"UI string from distanceToUpgrade"," inirerekomenda na mag-input ng hindi bababa sa {{minutes}} pang minuto ngayon.""
effectiveDate,"UI string from effectiveDate","Ημερομηνία Ισχύος: 21 Σεπτεμβρίου 2025"
error.errorOccurred,"UI string from error.errorOccurred","Виникла помилка"
error.goBack,"UI string from error.goBack","Повернутися на попередню сторінку"
error.goHome,"UI string from error.goHome","Повернутися на головну"
error.loadingError,"UI string from error.loadingError"," pakisubukan muli mamaya.""
errorRate,"UI string from errorRate","{{key}} Помилка {{percent}}%"
highestHere,"UI string from highestHere","Найвищий тут {{value}}."
home.aboutBody,"UI string from home.aboutBody"," la comprensione e l'espressione.""
home.aboutTitle,"UI string from home.aboutTitle",""
home.cards.avgAdj,"UI string from home.cards.avgAdj","Середній композитний бал (30 днів)"
home.cards.meVsSite,"UI string from home.cards.meVsSite","Я проти всіх сайтів (30 днів)"
home.cards.players,"UI string from home.cards.players","Кількість гравців"
home.cards.totalChars,"UI string from home.cards.totalChars","Загальна кількість слів (30 днів)"
home.ctaPractice,"UI string from home.ctaPractice","Почніть практикувати зараз"
home.ctaTest,"UI string from home.ctaTest","Пройти тест"
home.googleUsersCount,"UI string from home.googleUsersCount","Кількість користувачів входу через Google"
home.googleUsersTooltip,"UI string from home.googleUsersTooltip","Celkový počet uživatelů přihlášených pomocí účtu Google"
home.heroSubtitle,"UI string from home.heroSubtitle"," supporta più lingue e AIuta a costruire abitudini di digitazione corrette e concentrazione.""
home.heroTitle,"UI string from home.heroTitle",""Mga bata ay nagta-type"
home.howToUpgrade,"UI string from home.howToUpgrade","Як оновити?"
home.leaderEmpty,"UI string from home.leaderEmpty","Немає доступних даних"
home.leaderViewFull,"UI string from home.leaderViewFull","Переглянути повний рейтинг"
home.privacyNote,"UI string from home.privacyNote","Nincs személyes adat gyűjtve; a statisztikai adatok csak névtelen rangsorolásra és tanulási visszajelzésre szolgálnak."
home.tabs.leader,"UI string from home.tabs.leader","Попередній перегляд таблиці лідерів"
home.tabs.visitors,"UI string from home.tabs.visitors","Розподіл відвідувачів"
home.title,"UI string from home.title","Typesprout — Gyermekek Gépelése és Fa Növekedés"
home.upgradeRule1,"UI string from home.upgradeRule1","Log ind og øv dig i at skrive hver dag for at akkumulere tid; start blot en test for at generere "effektiv indtastningstid."
home.upgradeRule2,"UI string from home.upgradeRule2"," bạn sẽ tích lũy được hoạt động; càng gõ lâu"
home.upgradeRule3,"UI string from home.upgradeRule3","Ajungeți la nivelul 5 pentru a începe să produceți rezultate (a da roade)."
home.upgradeRule4,"UI string from home.upgradeRule4"," habang mas kaunting aktibidad ay nangangahulugang pag-level down.""
home.upgradeRule5,"UI string from home.upgradeRule5"," patuloy kang mamumunga.""
home.upgradeRule6,"UI string from home.upgradeRule6","Zebrane owoce zapewnią nagrody na platformie w oparciu o rankingi; obecnie czas quizu można wykorzystać do gromadzenia punktów."
