key,description,text
absoluteScale,"UI string from absoluteScale","Verde ≤{{low}}% · Giallo ≤{{mid}}% · Rosso ＞{{mid}}% (La % rappresenta il tasso di errore 'cumulativo recente' per quel tasto)"
accuracy,"UI string from accuracy","Accuratezza: {{percent}}%"
accuracyChartAriaLabel,"UI string from accuracyChartAriaLabel","정확도 추세 차트: 선이 높을수록 더 정확합니다."
accuracyChartTitle,"UI string from accuracyChartTitle","Precisione"
accuracyChartTooltip,"UI string from accuracyChartTooltip","Vertikale Achse: Genauigkeit (höher bedeutet präziser); Horizontale Achse: Zeitverlauf. Die blaue Linie zeigt die Veränderungen der Genauigkeit für jeden Test."
actualInput,"UI string from actualInput","{{chars}} caratteri"
admin.bulkTranslateTitle,"UI string from admin.bulkTranslateTitle","Una ricchezza di strumenti di localizzazione"
admin.description,"UI string from admin.description","Quest'area è riservata Esclusivamente per scopi di manutenzione e gestione dei contenuti."
admin.multiLineText,"UI string from admin.multiLineText","Testo su più righe (un'entrata per riga)"
admin.sourceLanguage,"UI string from admin.sourceLanguage","Lingua di origine"
admin.targetLanguage,"UI string from admin.targetLanguage","Lingua di destinazione"
admin.title,"UI string from admin.title","Pannello di Controllo Amministratore"
admin.usageDescription,"UI string from admin.usageDescription","ソース言語とターゲット言語のコードを入力し、複数行のテキストを貼り付けて、実行をクリックしてください。結果は手動レビュー専用です。この機能を有効にするには、管理者トークンが必要です。"
admin.usageTitle,"UI string from admin.usageTitle","? Guida dell'utente"
auth.pleaseSignIn,"UI string from auth.pleaseSignIn","Veuillez d'abord vous connecter avec Google."
auth.signIn,"UI string from auth.signIn","Accedi con Google"
auth.signOut,"UI string from auth.signOut","Esci"
correctChars,"UI string from correctChars","Conteggio caratteri corretto: {{chars}} caratteri"
defaultDescription,"UI string from defaultDescription"," aumente a precisão"
dev.savedToFirestore,"UI string from dev.savedToFirestore","Salvato in Firestore in tempo reale."
dev.stage,"UI string from dev.stage","Fase"
dev.stageOverview,"UI string from dev.stageOverview","Panoramica a Cinque Fasi (per un facile confronto visivo)"
distanceToUpgrade,"UI string from distanceToUpgrade","{{stage}} 단계에 도달하기 위해서는 오늘 최소 {{minutes}} 분 이상 입력하는 것이 권장됩니다."
effectiveDate,"UI string from effectiveDate","Gültigkeitsdatum: 21. September 2025"
error.errorOccurred,"UI string from error.errorOccurred","Si è verificato un errore"
error.goBack,"UI string from error.goBack","Torna alla pagina precedente"
error.goHome,"UI string from error.goHome","Torna alla Home"
error.loadingError,"UI string from error.loadingError","페이지를 로드하는 중 오류가 발생했습니다. 나중에 다시 시도해 주세요."
errorRate,"UI string from errorRate","{{key}} Tasso di errore {{percent}}%"
highestHere,"UI string from highestHere","Il valore più Alto qui è {{value}}."
home.aboutBody,"UI string from home.aboutBody",""Typesprout é um site de prática de digitação e crEscimento para crianças do 1º ao 6º ano"
home.aboutTitle,"UI string from home.aboutTitle","Informazioni su Typesprout"
home.cards.avgAdj,"UI string from home.cards.avgAdj","Punteggio Composito Medio (30 Giorni)"
