key,description,text
absoluteScale,"UI string from absoluteScale","Zelená ≤{{low}}% · Žlutá ≤{{mid}}% · Červená ＞{{mid}}% (Procenta představují 'nedávnou kumulativní' chybovost pro tuto klávesu)"
accuracy,"UI string from accuracy","Přesnost: {{percent}}%"
accuracyChartAriaLabel,"UI string from accuracyChartAriaLabel",""Tsart ng Trend ng Katumpakan: Mas mataas ang linya"
accuracyChartTitle,"UI string from accuracyChartTitle","Přesnost"
accuracyChartTooltip,"UI string from accuracyChartTooltip","Axa verticală: Precizie (mai mare înseamnă mai precis); Axa orizontală: Secvența de timp. Linia albastră arată modificările în precizie pentru fiecare test."
actualInput,"UI string from actualInput","Aktuální vstup: {{chars}} znaků"
admin.bulkTranslateTitle,"UI string from admin.bulkTranslateTitle","Bohatství lokalizačních nástrojů"
admin.description,"UI string from admin.description","Tato oblast je určena pouze pro údržbu a správu obsahu."
admin.multiLineText,"UI string from admin.multiLineText","Víceřádkový text (jedno položka na řádek)"
admin.sourceLanguage,"UI string from admin.sourceLanguage","Cílový jazyk"
admin.targetLanguage,"UI string from admin.targetLanguage","Cílový jazyk"
admin.title,"UI string from admin.title","Administrační panel"
admin.usageDescription,"UI string from admin.usageDescription"," dán văn bản nhiều dòng và nhấn Thực hiện. Kết quả chỉ dành cho việc xem xét thủ công. Tính năng này yêu cầu mã token quản trị để được kích hoạt.""
admin.usageTitle,"UI string from admin.usageTitle","Uživatelská příručka"
auth.pleaseSignIn,"UI string from auth.pleaseSignIn","Log venligst ind med Google først."
auth.signIn,"UI string from auth.signIn","Přihlásit se pomocí Google"
auth.signOut,"UI string from auth.signOut","Odhlásit se"
correctChars,"UI string from correctChars","Počet správných znaků: {{chars}} znaků"
defaultDescription,"UI string from defaultDescription",""Trên: Xu hướng điểm số tổng thể; Dưới: Xu hướng độ chính xác. Đầu tiên"
dev.savedToFirestore,"UI string from dev.savedToFirestore","Uloženo do Firestore v reálném čase."
dev.stage,"UI string from dev.stage","Úroveň"
dev.stageOverview,"UI string from dev.stageOverview","Pětistupňový přehled (pro snadné vizuální porovnání)"
distanceToUpgrade,"UI string from distanceToUpgrade","للوصول إلى المستوى {{stage}}، يُوصى بإدخال ما لا يقل عن {{minutes}} دقائق إضافية اليوم."
effectiveDate,"UI string from effectiveDate","Voimaantulo: 21. syyskuuta 2025"
error.errorOccurred,"UI string from error.errorOccurred","Došlo k chybě"
error.goBack,"UI string from error.goBack","Vraťte se na předchozí stránku"
error.goHome,"UI string from error.goHome","Zpět na domovskou stránku"
error.loadingError,"UI string from error.loadingError","حدث خطأ أثناء تحميل الصفحة، يرجى المحاولة مرة أخرى لاحقًا."
errorRate,"UI string from errorRate","{{key}} Chybovost {{percent}}%"
highestHere,"UI string from highestHere","Nejvyšší zde je {{value}}."
home.aboutBody,"UI string from home.aboutBody",""Typesprout è un sito web di pratica di digitazione e crEscita per bambini delle classi 1-6"
home.aboutTitle,"UI string from home.aboutTitle",""
home.cards.avgAdj,"UI string from home.cards.avgAdj","Průměrné složené skóre (30 dní)"
home.cards.meVsSite,"UI string from home.cards.meVsSite","Já vs Všechny stránky (30 dní)"
home.cards.players,"UI string from home.cards.players","Počet hráčů"
home.cards.totalChars,"UI string from home.cards.totalChars","Celkový počet slov (30 dní)"
home.ctaPractice,"UI string from home.ctaPractice","Začněte cvičit nyní"
home.ctaTest,"UI string from home.ctaTest","Udělej test"
home.googleUsersCount,"UI string from home.googleUsersCount","Počet uživatelů přihlášených přes Google"
home.googleUsersTooltip,"UI string from home.googleUsersTooltip","Numărul total de utilizatori conectați cu contul Google"
home.heroSubtitle,"UI string from home.heroSubtitle",""Ogni volta che digiti"
home.heroTitle,"UI string from home.heroTitle"," саженцы вырастают высокими.""
home.howToUpgrade,"UI string from home.howToUpgrade","Jak upgradovat?"
home.leaderEmpty,"UI string from home.leaderEmpty","Žádná data nejsou k dispozici"
home.leaderViewFull,"UI string from home.leaderViewFull","Zobrazit úplné žebříčky"
home.privacyNote,"UI string from home.privacyNote","Δεν συλλέγονται προσωπικά δεδομένα; Τα στατιστικά δεδομένα χρησιμοποιούνται μόνο για ανώνυμες κατατάξεις και ανατροφοδότηση μάθησης."
home.tabs.leader,"UI string from home.tabs.leader","Náhled žebříčku"
home.tabs.visitors,"UI string from home.tabs.visitors","Rozložení návštěvníků"
home.title,"UI string from home.title","Typesprout — Πληκτρολόγηση για Παιδιά και Ανάπτυξη Δέντρων"
home.upgradeRule1,"UI string from home.upgradeRule1","Logga in och öva på att skriva varje dag för att samla tid; börja bara ett test för att generera "effektiv inmatningstid"."
home.upgradeRule2,"UI string from home.upgradeRule2"," semakin cepat kamu berkembang.""
home.upgradeRule3,"UI string from home.upgradeRule3",""Saavuta taso 5"
home.upgradeRule4,"UI string from home.upgradeRule4","النشاط في آخر 5 أيام سيجعل الشجرة الصغيرة ترتفع أو تنخفض: المزيد من النشاط يعني التقدم في المستوى، بينما القليل من النشاط يعني التراجع في المستوى."
home.upgradeRule5,"UI string from home.upgradeRule5","حتى المرحلة 5؛ إذا كنت تستطيع الحفاظ على المرحلة 5 كل يوم، ستستمر في جني الثمار."
home.upgradeRule6,"UI string from home.upgradeRule6"," ang oras ng pagsusulit ay maaaring gamitin upang makakuha ng mga puntos.""
home.upgradeRules,"UI string from home.upgradeRules"," setiap latihan yang dilakukan setiap hari akan terakumulasi; semakin lama Anda mengetik pada hari tertentu"
home.visitorsDesc,"UI string from home.visitorsDesc","Distribuce zemí návštěvníků a hráčů webových stránek (anonymní statistiky)."
howToUpgrade,"UI string from howToUpgrade","Jak upgradovat"
introduction,"UI string from introduction"," поэтому эта политика направлена на объяснение того"
leaderboard.classCodePlaceholder,"UI string from leaderboard.classCodePlaceholder","Kód třídy"
leaderboard.tooltip,"UI string from leaderboard.tooltip"," điểm số càng cao&#10;&#10;💡 Một chút nhắc nhở: Luyện tập một chút mỗi ngày"
meta.gardenDescription,"UI string from meta.gardenDescription","Podpořte růst a odměny stromu pomocí bodů za psaní."
meta.homeDescription,"UI string from meta.homeDescription","Dětská cvičení psaní a hra na růst stromů. Podporuje tradiční čínštinu / zjednodušenou čínštinu / angličtinu."
meta.leaderboardDescription,"UI string from meta.leaderboardDescription","Denní/Týdenní/Měsíční žebříčky podle jazyka."
meta.practiceDescription,"UI string from meta.practiceDescription","تمارين كتابة مجانية، تدعم طرق الإدخال وأنماط متنوعة."
meta.profileDescription,"UI string from meta.profileDescription",""Ваша личная информация"
meta.result,"UI string from meta.result","I'm ready to assist with your translation. Please provide the segments you would like to translate."
meta.resultDescription,"UI string from meta.resultDescription","Vaše výsledky testu psaní."
meta.testDescription,"UI string from meta.testDescription","اختبار زمني، يعرض الدقة والنتيجة الإجمالية."
nav.garden,"UI string from nav.garden","Zasaďte strom"
nav.home,"UI string from nav.home","Domů"
nav.leaderboard,"UI string from nav.leaderboard","Žebříček"
nav.practice,"UI string from nav.practice","Cvičení"
nav.profile,"UI string from nav.profile","Osobní"
nav.subtitle,"UI string from nav.subtitle","Dětské psaní a růst stromů"
nav.test,"UI string from nav.test","Test"
notice,"UI string from notice",""Si prega di notare: questo servizio è senza scopo di lucro e tutte le funzionalità sono fornite "così come sono". Se non accetti i termini di questa informativa sulla privacy"
percentile,"UI string from percentile","Více než přibližně {{percent}}% lidí"
profile.chartDescription,"UI string from profile.chartDescription"," tăng độ chính xác"
profile.classCode,"UI string from profile.classCode","Kód třídy"
profile.classCodePlaceholder,"UI string from profile.classCodePlaceholder","أدخل أي اسم، فقط تجنب التكرار."
profile.classCodeTooltip,"UI string from profile.classCodeTooltip"," если уже есть 5).""
recentValue,"UI string from recentValue","Nedávno {{value}} {{trend}}"
recordNumber,"UI string from recordNumber","Položka {{number}}"
relativeScale,"UI string from relativeScale","Σχετική Κλίμακα: Πράσινο ≤30% · Κίτρινο ≤70% · Κόκκινο ＞70% (σε σχέση με το κλειδί με την υψηλότερη σφάλμα; υπολογίζεται με βάση το "πιο πρόσφατο σωρευτικό" ποσοστό σφάλματος)"
result.accuracyTooltip,"UI string from result.accuracyTooltip"," поэтому пропущенные символы снизят точность.""
result.chartDescription,"UI string from result.chartDescription"," lalu secara bertahap tingkatkan kecepatan.""
result.scoreTooltip,"UI string from result.scoreTooltip",""Composite Score = Ang bilis ng input na kinakalkula batay lamang sa tamang mga karakter. Paraan ng pagkalkula: Bilis (WPM/CPM) × Antas ng Katumpakan. Layunin: Upang ma-stabilize muna ang antas ng katumpakan"
section1.gameData.content,"UI string from section1.gameData.content"," et plus encore. Ces données seront associées à votre identifiant utilisateur anonyme pour générer votre historique personnel et votre classement.""
section1.gameData.title,"UI string from section1.gameData.title","Herní data:"
section1.googleAuth.content,"UI string from section1.googleAuth.content",""Quando accedi utilizzando il tuo account Google"
section1.googleAuth.title,"UI string from section1.googleAuth.title","Ověření pomocí Google Sign-In:"
section1.principle,"UI string from section1.principle"," der er nødvendige for at opretholde driften af vores tjenester:""
section1.technicalData.googleAdsense,"UI string from section1.technicalData.googleAdsense"," aby wspierać koszty operacyjne strony. Google i jego partnerzy mogą używać plików cookie (takich jak plik cookie DoubleClick)"
section1.technicalData.googleAnalytics,"UI string from section1.technicalData.googleAnalytics"," les pages visitées"
section1.technicalData.title,"UI string from section1.technicalData.title","Τεχνικά δεδομένα που συλλέγονται αυτόματα από υπηρεσίες τρίτων:"
section1.title,"UI string from section1.title"," vi indsamler""
section1.voluntaryInfo.content,"UI string from section1.voluntaryInfo.content"," à des fins d'analyse statistique anonyme et à la création de groupes pour le classement. Nous ne demandons pas ni ne vérifions l'exactitude de ces informations.""
section1.voluntaryInfo.title,"UI string from section1.voluntaryInfo.title","Uživatel dobrovolně poskytl nepřesné informace (volitelné):"
section2.coreFunction,"UI string from section2.coreFunction",""Caratteristiche principali: Il tuo ID utente anonimo e i dati di gioco fanno parte delle caratteristiche principali di questo servizio"
section2.experienceOptimization,"UI string from section2.experienceOptimization",""Tối ưu hóa trải nghiệm: Tuổi"
section2.serviceMaintenance,"UI string from section2.serviceMaintenance","Servicevedligeholdelse: De tekniske data indsamlet gennem Google Analytics hjælper os med at forstå webstedets ydeevne og løse potentielle problemer."
section2.statisticalAnalysis,"UI string from section2.statisticalAnalysis",""Statistisk Analyse: Vi vil anonymisere og aggregere alle oplysninger"
section2.title,"UI string from section2.title","2. Jak používáme vaše data"
section3.crossBorderTransfer,"UI string from section3.crossBorderTransfer"," gespeichert und verarbeitet werden.""
section3.dataRetention,"UI string from section3.dataRetention","احتفاظ البيانات: نظرًا لأن هذه الخدمة مجانية تمامًا، لا يمكننا ضمان التخزين الدائم للبيانات. نحتفظ بالحق في حذف بعض أو كل بيانات المستخدم دون إشعار مسبق."
section3.storageLocation,"UI string from section3.storageLocation","موقع التخزين: يتم استضافة كود هذا الموقع على GitHub، بينما يتم تخزين بيانات لعبتك والمعلومات المقدمة طواعية في قاعدة بيانات على Google Firebase."
section3.title,"UI string from section3.title","3. Ukládání dat a přeshraniční přenos"
section4.advertisingCookies,"UI string from section4.advertisingCookies",""Iklan Cookies: Seperti yang disebutkan di atas"
section4.functionalCookies,"UI string from section4.functionalCookies","Cookie-uri Funcționale: Folosim cookie-uri pentru a menține statutul tău de conectare."
section4.title,"UI string from section4.title","4. O souborech cookie a reklamě"
section5.contactChannel,"UI string from section5.contactChannel"," ti preghiamo di inviare la tua richiesta tramite la nostra pagina ufficiale delle Issue di GitHub.""
section5.githubLink,"UI string from section5.githubLink","https://github.com/yveschen001/typesprout-pubic/issues"
section5.importantReminder,"UI string from section5.importantReminder",""Wichtiger Hinweis: Bitte beachten Sie"
section5.responseTime,"UI string from section5.responseTime"," что этот проект поддерживается одним человеком"
section5.title,"UI string from section5.title","5. Vaše práva a kontaktní informace"
speedChartAriaLabel,"UI string from speedChartAriaLabel",""Overall Score Trend Chart: Mas mataas ang linya"
speedChartTitle,"UI string from speedChartTitle","Celkové skóre (Správná rychlost)"
speedChartTooltip,"UI string from speedChartTooltip"," semakin bAIk); Sumbu Horizontal: Urutan Waktu. Garis hijau mewakili kecepatan yang hanya berdasarkan kata-kata yang benar"
speedScore,"UI string from speedScore","Celkové skóre: {{score}}"
terms.footer,"UI string from terms.footer","© 2025 Typesprout. Všechna práva vyhrazena."
terms.lastUpdated,"UI string from terms.lastUpdated","Last updated: 21 septembrie 2025"
terms.section1.content1,"UI string from terms.section1.content1",""Добро пожаловать в Typesprout (в дальнейшем именуемый "Сервис"). Сервис является бесплатным"
terms.section1.content2,"UI string from terms.section1.content2"," veuillez cesser d'utiliser le service immédiatement.""
terms.section1.title,"UI string from terms.section1.title","1. Obecná ustanovení a přijetí podmínek"
terms.section2.content1,"UI string from terms.section2.content1","Ο μοναδικός σκοπός αυτής της υπηρεσίας είναι να παρέχει πρακτική δεξιοτήτων πληκτρολόγησης. Δεν είναι εργαλείο ακαδημαϊκής έρευνας ή θρησκευτικής εκπαίδευσης. Όλο το περιεχόμενο της ιστοσελίδας είναι αποκλειστικά για αυτόν τον μοναδικό σκοπό."
terms.section2.content2,"UI string from terms.section2.content2",""Upang makapagbigay ng masaganang teksto para sa pagsasanay"
terms.section2.content3,"UI string from terms.section2.content3",""Akurasi Penafian: Oleh karena itu"
terms.section2.listItem1,"UI string from terms.section2.listItem1",""Сгенерированный ИИ контент: Некоторые практические статьи анализируются"
terms.section2.listItem2,"UI string from terms.section2.listItem2","نص الكتاب المقدس: تأتي بعض بنوك أسئلة الكتاب المقدس من خدمة API.Bible التابعة لجهات خارجية. عندما تكون تلك الخدمة غير متاحة، قد يتم إنشاء نص بديل بواسطة نموذج الذكاء الاصطناعي."
terms.section2.subtitle1,"UI string from terms.section2.subtitle1","Účel služby:"
terms.section2.subtitle2,"UI string from terms.section2.subtitle2","Zdroj obsahu otázkového banku a disclAImer:"
terms.section2.title,"UI string from terms.section2.title","2. Popis služby a zdroje obsahu"
terms.section3.content1,"UI string from terms.section3.content1"," non transférable et révocable pour utiliser ce service uniquement à des fins personnelles"
terms.section3.content2,"UI string from terms.section3.content2"," 수정"
terms.section3.subtitle1,"UI string from terms.section3.subtitle1","Άδεια Προσωπικής Μη Εμπορικής Χρήσης:"
terms.section3.subtitle2,"UI string from terms.section3.subtitle2","Přísně zakázáno pro komerční použití:"
terms.section3.title,"UI string from terms.section3.title","3. Autorizace a omezení používání"
terms.section4.content1,"UI string from terms.section4.content1",""Du er ansvarlig for at holde dine kontooplysninger sikre og for alle aktiviteter"
terms.section4.content2,"UI string from terms.section4.content2"," reservamos o direito de encerrar imediatamente seu acesso e excluir sua conta.""
terms.section4.subtitle1,"UI string from terms.section4.subtitle1","Bezpečnost účtu:"
terms.section4.subtitle2,"UI string from terms.section4.subtitle2","Zakázané zneužívání a podvádění:"
terms.section4.title,"UI string from terms.section4.title","4. Povinnosti uživatele"
terms.section5.content1,"UI string from terms.section5.content1",""Ce service est un projet personnel en cours de développement"
terms.section5.content2,"UI string from terms.section5.content2","نحن غير مسؤولين عن أي فقدان أو ضرر لسجلات ممارستك أو بيانات المستخدم، كما أننا لا نضمن الحفظ الدائم للبيانات."
terms.section5.content3,"UI string from terms.section5.content3"," atau menghentikan layanan ini secara permanen kapan saja dan untuk alasan apa pun tanpa pemberitahuan sebelumnya.""
terms.section5.subtitle1,"UI string from terms.section5.subtitle1",""I'm sorry"
terms.section5.subtitle2,"UI string from terms.section5.subtitle2","Data uložena:"
