key,description,text
absoluteScale,"UI string from absoluteScale","Grün ≤{{low}}% · Gelb ≤{{mid}}% · Rot ＞{{mid}}% (Das % steht für die 'aktuelle kumulierte' Fehlerrate für diese Taste)"
accuracy,"UI string from accuracy","Genauigkeit: {{percent}}%"
accuracyChartAriaLabel,"UI string from accuracyChartAriaLabel","精度トレンドチャート：ラインが高いほど、精度が高くなります。"
accuracyChartTitle,"UI string from accuracyChartTitle","Genauigkeit"
accuracyChartTooltip,"UI string from accuracyChartTooltip","Axe vertical : Précision (plus élevé signifie plus précis) ; Axe horizontal : Séquence temporelle. La ligne bleue montre les variations de précision pour chaque test."
actualInput,"UI string from actualInput","Aktuelle Eingabe: {{chars}} Zeichen"
admin.bulkTranslateTitle,"UI string from admin.bulkTranslateTitle","Eine Fülle von Lokalisierungstools"
admin.description,"UI string from admin.description","Dieser Bereich ist nur für Wartungs- und InhAltsverwAltungszwecke vorgesehen."
admin.multiLineText,"UI string from admin.multiLineText","Mehrzeiliger Text (ein Eintrag pro Zeile)"
admin.sourceLanguage,"UI string from admin.sourceLanguage","Zielsprache"
admin.targetLanguage,"UI string from admin.targetLanguage","Zielsprache"
admin.title,"UI string from admin.title","Admin-Dashboard"
admin.usageDescription,"UI string from admin.usageDescription"," cole o texto em várias linhas e clique em Executar. Os resultados são apenas para revisão manual. Este recurso requer um token de administrador para ser ativado.""
admin.usageTitle,"UI string from admin.usageTitle","? Benutzerhandbuch"
auth.pleaseSignIn,"UI string from auth.pleaseSignIn","먼저 Google로 로그인해 주세요."
auth.signIn,"UI string from auth.signIn","Mit Google anmelden"
auth.signOut,"UI string from auth.signOut","Abmelden"
correctChars,"UI string from correctChars","Korrekte Zeichenzahl: {{chars}} Zeichen"
defaultDescription,"UI string from defaultDescription",""Topo: Tendência da pontuação geral; Fundo: Tendência de precisão. Primeiro"
dev.savedToFirestore,"UI string from dev.savedToFirestore","In Echtzeit in Firestore gespeichert."
dev.stage,"UI string from dev.stage","Bühne"
dev.stageOverview,"UI string from dev.stageOverview","Fünf-Stufen-Übersicht (für einen einfachen visuellen Vergleich)"
distanceToUpgrade,"UI string from distanceToUpgrade","レベル{{stage}}に到達するには、今日あと少なくとも{{minutes}}分入力することをお勧めします。"
effectiveDate,"UI string from effectiveDate","Date d'entrée en vigueur : 21 septembre 2025"
error.errorOccurred,"UI string from error.errorOccurred","Ein Fehler ist aufgetreten"
error.goBack,"UI string from error.goBack","Zurück zur vorherigen Seite"
error.goHome,"UI string from error.goHome","Zurück zur Startseite"
error.loadingError,"UI string from error.loadingError","ページの読み込み中にエラーが発生しました。後でもう一度お試しください。"
errorRate,"UI string from errorRate","{{key}} Fehlerquote {{percent}}%"
highestHere,"UI string from highestHere","Der höchste Wert hier ist {{value}}."
home.aboutBody,"UI string from home.aboutBody"," la comprensión y la expresión.""
home.aboutTitle,"UI string from home.aboutTitle","Über Typesprout"
home.cards.avgAdj,"UI string from home.cards.avgAdj","Durchschnittlicher zusammengesetzter Punktestand (30 Tage)"
home.cards.meVsSite,"UI string from home.cards.meVsSite","Ich vs Alle Seiten (30 Tage)"
home.cards.players,"UI string from home.cards.players","Anzahl der Spieler"
home.cards.totalChars,"UI string from home.cards.totalChars","Gesamtwortanzahl (30 Tage)"
home.ctaPractice,"UI string from home.ctaPractice","Jetzt mit dem Üben beginnen"
home.ctaTest,"UI string from home.ctaTest","Mach den Test"
home.googleUsersCount,"UI string from home.googleUsersCount","Anzahl der Google-Anmeldbenutzer"
home.googleUsersTooltip,"UI string from home.googleUsersTooltip",""Die Gesamtzahl der Benutzer"
home.heroSubtitle,"UI string from home.heroSubtitle"," soporta múltiples idiomas y ayuda a construir hábitos de Escritura correctos y concentración.""
home.heroTitle,"UI string from home.heroTitle","子供たちがタイピングすると、若木が高く成長します。"
home.howToUpgrade,"UI string from home.howToUpgrade","Wie kann ich upgraden?"
home.leaderEmpty,"UI string from home.leaderEmpty","Keine Daten verfügbar"
home.leaderViewFull,"UI string from home.leaderViewFull","Gesamtrangliste anzeigen"
home.privacyNote,"UI string from home.privacyNote","Aucune donnée personnelle n'est collectée ; les données statistiques sont utilisées uniquement pour des classements anonymes et des retours d'apprentissage."
home.tabs.leader,"UI string from home.tabs.leader","Leaderboard-Vorschau"
home.tabs.visitors,"UI string from home.tabs.visitors","Besucheraufteilung"
home.title,"UI string from home.title","Typesprout — Kinder-Tippen und Baumwachstum"
home.upgradeRule1,"UI string from home.upgradeRule1",""Melde dich an und übe jeden Tag das Tippen"
home.upgradeRule2,"UI string from home.upgradeRule2",""Enquanto você praticar todos os dias"
home.upgradeRule3,"UI string from home.upgradeRule3",""Erreiche Level 5"
home.upgradeRule4,"UI string from home.upgradeRule4","過去5天的活動將使小樹上升或下降：活動越多意味著升級，活動越少則意味著降級。"
home.upgradeRule5,"UI string from home.upgradeRule5","ステージ5まで；もし毎日ステージ5を維持できれば、あなたは引き続き実を結ぶでしょう。"
home.upgradeRule6,"UI string from home.upgradeRule6","収集した果物は、ランキングに基づいてプラットフォーム報酬を提供します。現在、クイズタイムを使用してポイントを蓄積できます。"
home.upgradeRules,"UI string from home.upgradeRules",""Regras de Upgrade: Nos últimos 5 dias"
home.visitorsDesc,"UI string from home.visitorsDesc","Länderverteilung der Website-Besucher und Spieler (anonyme Statistiken)."
howToUpgrade,"UI string from howToUpgrade","Wie man ein Upgrade durchführt"
introduction,"UI string from introduction","ようこそ、Typesproutへ！これは、個人開発者の情熱から生まれた無料のタイピング練習ウェブサイトです。あなたのプライバシーが重要であることを理解しているため、このポリシーは私たちが収集するデータとそのデータの使用方法を説明することを目的としています。"
leaderboard.classCodePlaceholder,"UI string from leaderboard.classCodePlaceholder","Klassen-Code"
leaderboard.tooltip,"UI string from leaderboard.tooltip"," mAIor a pontuação&#10;&#10;💡 Um pequeno lembrete: Pratique um pouco todos os dias"
meta.gardenDescription,"UI string from meta.gardenDescription","Fördern Sie das Wachstum und die Belohnungen des Baumes mit Tipp-Punkten."
meta.homeDescription,"UI string from meta.homeDescription","Kindertippübung und Baumwachsspiel. Unterstützt Traditionelles Chinesisch / Vereinfachtes Chinesisch / Englisch."
meta.leaderboardDescription,"UI string from meta.leaderboardDescription","Tägliche/Wöchentliche/Monatliche Ranglisten nach Sprache."
meta.practiceDescription,"UI string from meta.practiceDescription","無料のタイピング練習、入力方法とさまざまなモードをサポートしています。"
meta.profileDescription,"UI string from meta.profileDescription"," nota e preferências.""
meta.result,"UI string from meta.result","Ergebnis"
meta.resultDescription,"UI string from meta.resultDescription","Ihre Tipp-Test Ergebnisse."
meta.testDescription,"UI string from meta.testDescription","タイムテスト、精度と総合スコアを表示します。"
nav.garden,"UI string from nav.garden","Pflanze einen Baum"
nav.home,"UI string from nav.home","Startseite"
nav.leaderboard,"UI string from nav.leaderboard","排行榜"
nav.practice,"UI string from nav.practice","Üben"
nav.profile,"UI string from nav.profile","Persönlich"
nav.subtitle,"UI string from nav.subtitle","Kinder-Tippen und Baumwachstum"
nav.test,"UI string from nav.test","測試"
notice,"UI string from notice"," entendido y aceptado todo el contenido de esta política.""
percentile,"UI string from percentile","Mehr als etwa {{percent}}% der Menschen"
profile.chartDescription,"UI string from profile.chartDescription",""Topo: Tendência da Pontuação Geral; Fundo: Tendência de Precisão. Primeiro"
profile.classCode,"UI string from profile.classCode","Klassen-Code"
profile.classCodePlaceholder,"UI string from profile.classCodePlaceholder","任意の名前を入力してください。ただし、重複は避けてください。"
profile.classCodeTooltip,"UI string from profile.classCodeTooltip","サイト全体でユニーク（3～50文字; /を含めることはできません）。競技やリーダーボードのグループ分けに使用されます; 最大5つまで追加可能です。教師は新しいコードを作成できます; 作成されると、自動的に追加されます（すでに5つある場合は自動的には追加されません）。"
recentValue,"UI string from recentValue","最近 {{value}} {{trend}}"
recordNumber,"UI string from recordNumber","Artikel {{number}}"
relativeScale,"UI string from relativeScale","Échelle relative : Vert ≤30 % · Jaune ≤70 % · Rouge ＞70 % (par rapport à la touche d'erreur la plus élevée ; calculé sur la base du taux d'erreur "cumulatif le plus récent")"
result.accuracyTooltip,"UI string from result.accuracyTooltip"," caracteres fAltantes reduzirão a precisão.""
result.chartDescription,"UI string from result.chartDescription",""Topo: Tendência da Pontuação Geral; Fundo: Tendência da Taxa de Precisão. A pontuação geral combina velocidade e precisão. Primeiro"
result.scoreTooltip,"UI string from result.scoreTooltip","복합 점수 = 올바른 문자만을 기반으로 계산된 입력 속도. 계산 방법: 속도 (WPM/CPM) × 정확도 비율. 목적: 먼저 정확도 비율을 안정화한 다음 점차적으로 속도를 증가시키기 위함입니다."
section1.gameData.content,"UI string from section1.gameData.content"," incluyendo velocidad (WPM)"
