key,description,text
absoluteScale,"UI string from absoluteScale","Vert ≤{{low}}% · Jaune ≤{{mid}}% · Rouge ＞{{mid}}% (Le % représente le taux d'erreur 'cumulatif récent' pour cette touche)"
accuracy,"UI string from accuracy","Précision : {{percent}}%"
accuracyChartAriaLabel,"UI string from accuracyChartAriaLabel"," mAIs precisa é.""
accuracyChartTitle,"UI string from accuracyChartTitle","Précision"
accuracyChartTooltip,"UI string from accuracyChartTooltip","수직 축: 정확도(높을수록 더 정밀함); 수평 축: 시간 순서. 파란색 선은 각 테스트의 정확도 변화를 나타냅니다."
actualInput,"UI string from actualInput","{{chars}} caractères"
admin.bulkTranslateTitle,"UI string from admin.bulkTranslateTitle","Une richesse d'outils de localisation"
admin.description,"UI string from admin.description","Cette zone est réservée à la mAIntenance et à la gestion du contenu uniquement."
admin.multiLineText,"UI string from admin.multiLineText","Texte multi-lignes (une entrée par ligne)"
admin.sourceLanguage,"UI string from admin.sourceLanguage","Langue source"
admin.targetLanguage,"UI string from admin.targetLanguage","Langue cible"
admin.title,"UI string from admin.title","Tableau de bord Admin"
admin.usageDescription,"UI string from admin.usageDescription",""Digite os códigos das línguas de origem e destino"
admin.usageTitle,"UI string from admin.usageTitle","? Guide de l'utilisateur"
auth.pleaseSignIn,"UI string from auth.pleaseSignIn","最初にGoogleでログインしてください。"
auth.signIn,"UI string from auth.signIn","Se connecter avec Google"
auth.signOut,"UI string from auth.signOut","Déconnexion"
correctChars,"UI string from correctChars","Nombre de caractères correct : {{chars}} caractères"
defaultDescription,"UI string from defaultDescription"," luego acelera gradualmente.""
dev.savedToFirestore,"UI string from dev.savedToFirestore","Sauvegardé dans Firestore en temps réel."
dev.stage,"UI string from dev.stage","Étape"
dev.stageOverview,"UI string from dev.stageOverview","Aperçu en cinq étapes (pour une comparAIson visuelle facile)"
distanceToUpgrade,"UI string from distanceToUpgrade"," é recomendado inserir pelo menos {{minutes}} minutos a mAIs hoje.""
effectiveDate,"UI string from effectiveDate","유효 날짜: 2025년 9월 21일"
error.errorOccurred,"UI string from error.errorOccurred","Une erreur est survenue"
error.goBack,"UI string from error.goBack","Retourner à la page précédente"
error.goHome,"UI string from error.goHome","Retour à l'accueil"
error.loadingError,"UI string from error.loadingError"," por favor tente novamente mAIs tarde.""
errorRate,"UI string from errorRate","{{key}} Taux d'erreur {{percent}}%"
highestHere,"UI string from highestHere","Le plus élevé ici est {{value}}."
home.aboutBody,"UI string from home.aboutBody"," que admite múltiples idiomas (zh-TW / zh-CN / en-US). Esperamos proporcionar un ambiente seguro y amigable para que los niños de todo el mundo practiquen la entrada"
home.aboutTitle,"UI string from home.aboutTitle","À propos de Typesprout"
home.cards.avgAdj,"UI string from home.cards.avgAdj","Score composite moyen (30 jours)"
home.cards.meVsSite,"UI string from home.cards.meVsSite","Moi vs Tous les sites (30 jours)"
home.cards.players,"UI string from home.cards.players","Nombre de joueurs"
home.cards.totalChars,"UI string from home.cards.totalChars","Total de mots (30 jours)"
home.ctaPractice,"UI string from home.ctaPractice","Commencez à pratiquer mAIntenant"
home.ctaTest,"UI string from home.ctaTest","Passez le test"
home.googleUsersCount,"UI string from home.googleUsersCount","Nombre d'utilisateurs connectés avec Google"
home.googleUsersTooltip,"UI string from home.googleUsersTooltip","Nombre total d'utilisateurs connectés avec un compte Google"
home.heroSubtitle,"UI string from home.heroSubtitle"," se transforma en energía para nutrir tu árbol"
home.heroTitle,"UI string from home.heroTitle"," mudas crEscem Altas.""
home.howToUpgrade,"UI string from home.howToUpgrade","Comment mettre à niveau ?"
home.leaderEmpty,"UI string from home.leaderEmpty","Aucune donnée disponible"
home.leaderViewFull,"UI string from home.leaderViewFull","Voir le classement complet"
home.privacyNote,"UI string from home.privacyNote"," 통계 데이터는 익명 순위 및 학습 피드백을 위해서만 사용됩니다.""
home.tabs.leader,"UI string from home.tabs.leader","Aperçu du classement"
home.tabs.visitors,"UI string from home.tabs.visitors","Répartition des visiteurs"
home.title,"UI string from home.title","Typesprout — Dactylographie pour enfants et croissance des arbres"
home.upgradeRule1,"UI string from home.upgradeRule1","Connectez-vous et pratiquez la sAIsie chaque jour pour accumuler du temps ; il vous suffit de commencer un test pour générer "le temps de sAIsie efficace"."
home.upgradeRule2,"UI string from home.upgradeRule2"," más rápido crecerás.""
home.upgradeRule3,"UI string from home.upgradeRule3","Atteignez le niveau 5 pour commencer à produire des résultats (porter des fruits)."
home.upgradeRule4,"UI string from home.upgradeRule4"," enquanto menos atividade significa dEscer de nível.""
home.upgradeRule5,"UI string from home.upgradeRule5"," continuará a dar frutos.""
home.upgradeRule6,"UI string from home.upgradeRule6"," o tempo de quiz pode ser usado para acumular pontos.""
home.upgradeRules,"UI string from home.upgradeRules"," más fácil será subir de nivel. El nivel más Alto es 5.""
home.visitorsDesc,"UI string from home.visitorsDesc","Distribution des pays des visiteurs et des joueurs du site web (statistiques anonymes)."
howToUpgrade,"UI string from howToUpgrade","Comment mettre à niveau"
introduction,"UI string from introduction"," então esta política visa explicar quAIs dados coletamos e como usaremos esses dados.""
leaderboard.classCodePlaceholder,"UI string from leaderboard.classCodePlaceholder","Code de classe"
leaderboard.tooltip,"UI string from leaderboard.tooltip",""🏆 Como é calculada a classificação?&#10;• Classificação Diária: Desempenho de hoje (horário local)&#10;• Classificação de Ontem: Desempenho de ontem (horário local)&#10;• Classificação da Última Semana: Desempenho de segunda a domingo da semana passada&#10;• Classificação do Último Mês: Desempenho do dia 1 até o final do mês passado&#10;&#10;📊 Como é calculada a pontuação?&#10;• Pontuação Geral = Velocidade MAIs Rápida × Taxa de Precisão × Tempo de Prática&#10;• Múltiplas práticas no mesmo dia serão combinadas para cálculo&#10;• Quanto mAIs tempo de prática"
meta.gardenDescription,"UI string from meta.gardenDescription","FAItes progresser la croissance et les récompenses de l'arbre avec des points de frappe."
meta.homeDescription,"UI string from meta.homeDescription","Jeu de pratique de dactylographie pour enfants et de croissance d'arbres. Prend en charge le chinois traditionnel / le chinois simplifié / l'anglAIs."
meta.leaderboardDescription,"UI string from meta.leaderboardDescription","Classements quotidiens/hebdomadAIres/mensuels par langue."
meta.practiceDescription,"UI string from meta.practiceDescription"," suportando métodos de entrada e vários modos.""
meta.profileDescription,"UI string from meta.profileDescription",""Suas informações pessoAIs"
meta.result,"UI string from meta.result","Résultat"
meta.resultDescription,"UI string from meta.resultDescription","Vos résultats du test de dactylographie."
meta.testDescription,"UI string from meta.testDescription"," exibindo precisão e pontuação geral.""
nav.garden,"UI string from nav.garden","Planter un arbre"
nav.home,"UI string from nav.home","Accueil"
nav.leaderboard,"UI string from nav.leaderboard","Classement"
nav.practice,"UI string from nav.practice","Pratiquer"
nav.profile,"UI string from nav.profile","Personnel"
nav.subtitle,"UI string from nav.subtitle","Dactylographie pour enfants et croissance des arbres"
nav.test,"UI string from nav.test","Test"
notice,"UI string from notice"," por favor deja de usar este servicio de inmediato. Continuar usando el servicio significa que has leído"
percentile,"UI string from percentile","Plus d'environ {{percent}}% des personnes"
profile.chartDescription,"UI string from profile.chartDescription"," luego acelera gradualmente.""
profile.classCode,"UI string from profile.classCode","Code de classe"
profile.classCodePlaceholder,"UI string from profile.classCodePlaceholder"," apenas evite duplicatas.""
profile.classCodeTooltip,"UI string from profile.classCodeTooltip"," serão adicionados automaticamente (não automaticamente se já houver 5).""
recentValue,"UI string from recentValue","Récemment {{value}} {{trend}}"
recordNumber,"UI string from recordNumber","Article {{number}}"
relativeScale,"UI string from relativeScale"," "가장 최근 누적" 오류 비율을 기반으로 계산됨)""
result.accuracyTooltip,"UI string from result.accuracyTooltip"," portanto"
result.chartDescription,"UI string from result.chartDescription"," luego aumenta gradualmente la velocidad.""
result.scoreTooltip,"UI string from result.scoreTooltip","合成スコア = 正しい文字のみを基に計算された入力速度。計算方法：速度 (WPM/CPM) × 精度率。目的：まず精度率を安定させ、その後徐々に速度を上げること。"
section1.gameData.content,"UI string from section1.gameData.content",""Cada puntuación de práctica de Escritura que logres en el sitio web"
section1.gameData.title,"UI string from section1.gameData.title","Données du jeu :"
section1.googleAuth.content,"UI string from section1.googleAuth.content",""Al iniciar sesión con tu cuenta de Google"
section1.googleAuth.title,"UI string from section1.googleAuth.title","Authentification Google Sign-In :"
section1.principle,"UI string from section1.principle","Nous adhérons au principe de simplification et ne collectons que les données nécessAIres au mAIntien du fonctionnement de nos services :"
section1.technicalData.googleAdsense,"UI string from section1.technicalData.googleAdsense","Google AdSense (Annonces) : Nous pourrions utiliser Google AdSense à l'avenir pour afficher des annonces afin de soutenir les coûts d'exploitation du site web. Google et ses partenAIres peuvent utiliser des Cookies (comme le Cookie DoubleClick) pour vous montrer des annonces personnalisées en fonction de votre historique de navigation passé."
section1.technicalData.googleAnalytics,"UI string from section1.technicalData.googleAnalytics",""Google Analytics: Utilizamos este servicio para analizar el tráfico del sitio web y entender cómo se está utilizando el servicio. Recopila información anonimizada como tu dirección IP"
section1.technicalData.title,"UI string from section1.technicalData.title","Données techniques collectées automatiquement par des services tiers :"
section1.title,"UI string from section1.title","1. Types de données que nous collectons"
section1.voluntaryInfo.content,"UI string from section1.voluntaryInfo.content"," and leaderboard grouping. We do not require or verify the accuracy of this information.""
section1.voluntaryInfo.title,"UI string from section1.voluntaryInfo.title","L'utilisateur a volontAIrement fourni des informations non précises (facultatif) :"
section2.coreFunction,"UI string from section2.coreFunction"," utilizados para registrar tus puntajes"
section2.experienceOptimization,"UI string from section2.experienceOptimization",""Otimização da Experiência: A idade"
section2.serviceMaintenance,"UI string from section2.serviceMaintenance","Service de mAIntenance : Les données techniques collectées via Google Analytics nous AIdent à comprendre les performances du site web et à résoudre d'éventuels problèmes."
section2.statisticalAnalysis,"UI string from section2.statisticalAnalysis","Analyse Statistique : Nous anonymiserons et regrouperons toutes les informations fournies volontAIrement par les utilisateurs afin de comprendre le profil global du groupe d'utilisateurs et d'améliorer nos services."
section2.title,"UI string from section2.title","2. Comment nous utilisons vos données"
section3.crossBorderTransfer,"UI string from section3.crossBorderTransfer",""Transferencia transfronteriza: Los servidores de GitHub y Google Firebase pueden estar ubicados fuera de tu país (por ejemplo"
section3.dataRetention,"UI string from section3.dataRetention"," não podemos garantir o armazenamento permanente dos dados. Reservamo-nos o direito de excluir alguns ou todos os dados do usuário sem aviso prévio.""
section3.storageLocation,"UI string from section3.storageLocation"," enquanto seus dados de jogo e informações fornecidas voluntariamente são armazenados em um banco de dados no Google Firebase.""
section3.title,"UI string from section3.title","3. Stockage des données et transfert transfrontalier"
section4.advertisingCookies,"UI string from section4.advertisingCookies"," Google utilizará cookies para mostrar anuncios. Puedes visitar la página de configuración de anuncios de Google (https://adssettings.google.com/) en cualquier momento para gestionar o optar por no recibir anuncios personalizados.""
section4.functionalCookies,"UI string from section4.functionalCookies","Cookies fonctionnels : Nous utilisons des cookies pour mAIntenir votre statut de connexion."
section4.title,"UI string from section4.title","4. À propos des cookies et de la publicité"
section5.contactChannel,"UI string from section5.contactChannel"," corrección o eliminación)"
section5.githubLink,"UI string from section5.githubLink","https://github.com/yveschen001/typesprout-pubic/issues"
section5.importantReminder,"UI string from section5.importantReminder",""Recordatorio importante: Ten en cuenta que GitHub Issues es una plataforma pública. Para proteger tu privacidad personal"
section5.responseTime,"UI string from section5.responseTime"," responderemos o mAIs rápido possível dentro de nossas capacidades. Agradecemos sua paciência e compreensão.""
section5.title,"UI string from section5.title","5. Vos droits et informations de contact"
speedChartAriaLabel,"UI string from speedChartAriaLabel"," melhor o desempenho.""
speedChartTitle,"UI string from speedChartTitle","Score global (Vitesse correcte)"
speedChartTooltip,"UI string from speedChartTooltip"," combinando velocidad y precisión.""
speedScore,"UI string from speedScore","Score global : {{score}}"
terms.footer,"UI string from terms.footer","© 2025 Typesprout. Tous droits réservés."
terms.lastUpdated,"UI string from terms.lastUpdated","마지막 업데이트: 2025년 9월 21일"
terms.section1.content1,"UI string from terms.section1.content1"," con el objetivo de proporcionar a los usuarios (especialmente a niños y aprendices) un entorno simple de práctica de Escritura en línea.""
terms.section1.content2,"UI string from terms.section1.content2",""Al acceder o utilizar este servicio"
terms.section1.title,"UI string from terms.section1.title","1. Dispositions générales et acceptation des conditions"
terms.section2.content1,"UI string from terms.section2.content1","Le seul objectif de ce service est de fournir une pratique des compétences en dactylographie. Ce n'est pas un outil de recherche académique ou d'éducation religieuse. Tout le contenu du site Web est uniquement destiné à ce seul objectif."
terms.section2.content2,"UI string from terms.section2.content2"," o conteúdo do banco de questões deste serviço vem de várias fontes. Declaramos aqui:""
terms.section2.content3,"UI string from terms.section2.content3"," no hacemos garantías ni respaldos sobre la precisión"
terms.section2.listItem1,"UI string from terms.section2.listItem1",""Conteúdo Gerado por IA: Alguns artigos de prática são analisados"
terms.section2.listItem2,"UI string from terms.section2.listItem2"," um texto Alternativo pode ser gerado pelo modelo de IA.""
terms.section2.subtitle1,"UI string from terms.section2.subtitle1","Objectif du service :"
