key,description,text
absoluteScale,"UI string from absoluteScale","Green ≤{{low}}% · Yellow ≤{{mid}}% · Red ＞{{mid}}% (The % represents the 'recent cumulative' error rate for that key)"
accuracy,"UI string from accuracy","Accuracy: {{percent}}%"
accuracyChartAriaLabel,"UI string from accuracyChartAriaLabel",""Accuracy Trend Chart: The higher the line"
accuracyChartTitle,"UI string from accuracyChartTitle","Accuracy"
accuracyChartTooltip,"UI string from accuracyChartTooltip","Vertical axis: Accuracy (higher means more precise); Horizontal axis: Time sequence. The blue line shows the changes in accuracy for each test."
actualInput,"UI string from actualInput","Actual input: {{chars}} characters"
admin.bulkTranslateTitle,"UI string from admin.bulkTranslateTitle","A weAlth of localization tools"
admin.description,"UI string from admin.description","This area is for mAIntenance and content management purposes only."
admin.multiLineText,"UI string from admin.multiLineText","Multi-line text (one entry per line)"
admin.sourceLanguage,"UI string from admin.sourceLanguage","Source Language"
admin.targetLanguage,"UI string from admin.targetLanguage","Target language"
admin.title,"UI string from admin.title","Admin Dashboard"
admin.usageDescription,"UI string from admin.usageDescription",""Enter the source and target language codes"
admin.usageTitle,"UI string from admin.usageTitle","? User Guide"
auth.pleaseSignIn,"UI string from auth.pleaseSignIn","Please log in using Google first."
auth.signIn,"UI string from auth.signIn","Log in with Google"
auth.signOut,"UI string from auth.signOut","Log out"
correctChars,"UI string from correctChars","Correct character count: {{chars}} characters"
defaultDescription,"UI string from defaultDescription",""Top: Overall score trend; Bottom: Accuracy trend. First"
dev.savedToFirestore,"UI string from dev.savedToFirestore","Saved to Firestore in real-time."
dev.stage,"UI string from dev.stage","Stage"
dev.stageOverview,"UI string from dev.stageOverview","Five-Stage Overview (for easy visual comparison)"
distanceToUpgrade,"UI string from distanceToUpgrade",""To reach level {{stage}}"
effectiveDate,"UI string from effectiveDate",""Effective Date: September 21"
error.errorOccurred,"UI string from error.errorOccurred","An error occurred"
error.goBack,"UI string from error.goBack","Go back to the previous page"
error.goHome,"UI string from error.goHome","Back to Home"
error.loadingError,"UI string from error.loadingError",""An error occurred while loading the page"
errorRate,"UI string from errorRate","{{key}} Error Rate {{percent}}%"
highestHere,"UI string from highestHere","The highest here is {{value}}."
home.aboutBody,"UI string from home.aboutBody",""Typesprout is a typing practice and growth website for children in grades 1-6"
home.aboutTitle,"UI string from home.aboutTitle","About Typesprout"
home.cards.avgAdj,"UI string from home.cards.avgAdj","Average Composite Score (30 Days)"
home.cards.meVsSite,"UI string from home.cards.meVsSite","Me vs All Sites (30 Days)"
home.cards.players,"UI string from home.cards.players","Number of Players"
home.cards.totalChars,"UI string from home.cards.totalChars","Total Word Count (30 Days)"
home.ctaPractice,"UI string from home.ctaPractice","Start Practicing Now"
home.ctaTest,"UI string from home.ctaTest","Take the test"
home.googleUsersCount,"UI string from home.googleUsersCount","Number of Google Login Users"
home.googleUsersTooltip,"UI string from home.googleUsersTooltip","Total number of users logged in with Google account"
