key,description,text
absoluteScale,"UI string from absoluteScale","Vihreä ≤{{low}}% · Keltainen ≤{{mid}}% · Punainen ＞{{mid}}% (Prosentti edustaa kyseisen näppäimen 'äskettäistä kumulatiivista' virheprosenttia)"
accuracy,"UI string from accuracy","Tarkkuus: {{percent}}%"
accuracyChartAriaLabel,"UI string from accuracyChartAriaLabel",""График точности: Чем выше линия"
accuracyChartTitle,"UI string from accuracyChartTitle","Tarkkuus"
accuracyChartTooltip,"UI string from accuracyChartTooltip","Vertikal akse: Nøyaktighet (høyere betyr mer presis); Horisontal akse: Tidssekvens. Den blå linjen viser endringene i nøyaktighet for hver test."
actualInput,"UI string from actualInput","{{chars}} merkkiä"
admin.bulkTranslateTitle,"UI string from admin.bulkTranslateTitle","Rikkaus lokalisointityökaluja"
admin.description,"UI string from admin.description","Tämä alue on vain huolto- ja sisällönhallintatarkoituksiin."
admin.multiLineText,"UI string from admin.multiLineText","Monirivinen teksti (yksi merkintä per rivi)"
admin.sourceLanguage,"UI string from admin.sourceLanguage","Kohdekieli"
admin.targetLanguage,"UI string from admin.targetLanguage","Kohdekieli"
admin.title,"UI string from admin.title","Ylläpitäjän hallintapaneeli"
admin.usageDescription,"UI string from admin.usageDescription"," tempelkan teks multiline"
admin.usageTitle,"UI string from admin.usageTitle","Käyttäjän opas"
auth.pleaseSignIn,"UI string from auth.pleaseSignIn","Proszę najpierw zalogować się za pomocą Google."
auth.signIn,"UI string from auth.signIn","Kirjaudu sisään Googlella"
auth.signOut,"UI string from auth.signOut","Kirjaudu ulos"
correctChars,"UI string from correctChars","Oikea merkkimäärä: {{chars}} merkkiä"
defaultDescription,"UI string from defaultDescription",""Atas: Tren skor keseluruhan; Bawah: Tren akurasi. Pertama"
dev.savedToFirestore,"UI string from dev.savedToFirestore","Tallennettu Firestoreen reaaliaikaisesti."
dev.stage,"UI string from dev.stage","Vaihe"
dev.stageOverview,"UI string from dev.stageOverview","Viiden vaiheen yleiskatsaus (helppoa visuaalista vertailua varten)"
distanceToUpgrade,"UI string from distanceToUpgrade","เพื่อไปถึงระดับ {{stage}} แนะนำให้ป้อนอย่างน้อย {{minutes}} นาทีเพิ่มเติมในวันนี้。"
effectiveDate,"UI string from effectiveDate","Giltigt från: 21 september 2025"
error.errorOccurred,"UI string from error.errorOccurred","Tapahtui virhe"
error.goBack,"UI string from error.goBack","Palaa edelliselle sivulle"
error.goHome,"UI string from error.goHome","Takaisin etusivulle"
error.loadingError,"UI string from error.loadingError",""Произошла ошибка при загрузке страницы"
errorRate,"UI string from errorRate","{{key}} Virheprosentti {{percent}}%"
highestHere,"UI string from highestHere","Korkein täällä on {{value}}."
home.aboutBody,"UI string from home.aboutBody"," eine sichere und freundliche Umgebung für Kinder auf der ganzen Welt zu schaffen"
home.aboutTitle,"UI string from home.aboutTitle",""
home.cards.avgAdj,"UI string from home.cards.avgAdj","Keskimääräinen yhdistetty pistemäärä (30 päivää)"
home.cards.meVsSite,"UI string from home.cards.meVsSite","Minä vs Kaikki Sivustot (30 Päivää)"
home.cards.players,"UI string from home.cards.players","Pelaajien määrä"
home.cards.totalChars,"UI string from home.cards.totalChars","Kokonais sanamäärä (30 päivää)"
home.ctaPractice,"UI string from home.ctaPractice","Aloita harjoittelu nyt"
home.ctaTest,"UI string from home.ctaTest","Ota testi"
home.googleUsersCount,"UI string from home.googleUsersCount","Google-kirjautujien määrä"
home.googleUsersTooltip,"UI string from home.googleUsersTooltip","Totalt antall brukere logget inn med Google-konto"
home.heroSubtitle,"UI string from home.heroSubtitle"," um deinen Baum zu nähren"
home.heroTitle,"UI string from home.heroTitle",""เด็กๆ พิมพ์"
home.howToUpgrade,"UI string from home.howToUpgrade","Kuinka päivittää?"
home.leaderEmpty,"UI string from home.leaderEmpty","Ei tietoja saatavilla"
home.leaderViewFull,"UI string from home.leaderViewFull","Näytä täydelliset rankingit"
home.privacyNote,"UI string from home.privacyNote","Der indsamles ingen personlige data; statistiske data bruges kun til anonyme ranglister og læringsfeedback."
home.tabs.leader,"UI string from home.tabs.leader","Tulostaulukon esikatselu"
home.tabs.visitors,"UI string from home.tabs.visitors","Kävijöiden jakautuminen"
home.title,"UI string from home.title","Typesprout — Børns skrivetræning og trævækst"
home.upgradeRule1,"UI string from home.upgradeRule1",""Zaloguj się i ćwicz pisanie codziennie"
home.upgradeRule2,"UI string from home.upgradeRule2"," più velocemente crEscerAI.""
home.upgradeRule3,"UI string from home.upgradeRule3","Nå nivå 5 för att börja producera resultat (bära frukt)."
home.upgradeRule4,"UI string from home.upgradeRule4","กิจกรรมใน 5 วันที่ผ่านมา จะทำให้ต้นไม้เล็กๆ ขึ้นหรือลง: กิจกรรมมากขึ้นหมายถึงเลื่อนระดับขึ้น ในขณะที่กิจกรรมที่น้อยลงหมายถึงเลื่อนระดับลง。"
home.upgradeRule5,"UI string from home.upgradeRule5","สูงสุดถึงระดับ 5; หากคุณสามารถรักษาระดับ 5 ได้ทุกวัน คุณจะยังคงให้ผลผลิตต่อไป"
home.upgradeRule6,"UI string from home.upgradeRule6","Собранные фрукты обеспечат награды на платформе в зависимости от рейтинга; в настоящее время время викторины можно использовать для накопления очков."
home.upgradeRules,"UI string from home.upgradeRules"," ogni pratica svolta ogni giorno si accumulerà; più a lungo digiti in un determinato giorno"
home.visitorsDesc,"UI string from home.visitorsDesc","Verkkosivuston kävijöiden ja pelaajien maajakauma (anonyymit tilastot)."
howToUpgrade,"UI string from howToUpgrade","Kuinka päivittää"
introduction,"UI string from introduction",""Добро пожаловать на Typesprout! Это бесплатный сайт для практики набора текста"
leaderboard.classCodePlaceholder,"UI string from leaderboard.classCodePlaceholder","Luokan koodi"
leaderboard.tooltip,"UI string from leaderboard.tooltip"," semakin tinggi skornya&#10;&#10;💡 Sedikit pengingat: Latihan sedikit setiap hari"
meta.gardenDescription,"UI string from meta.gardenDescription","Edistä puun kasvua ja palkintoja kirjoituspisteillä."
meta.homeDescription,"UI string from meta.homeDescription","Lasten kirjoitusharjoitus ja puun kasvupeli. Tukee perinteistä kiinaa / yksinkertaistettua kiinaa / englantia."
meta.leaderboardDescription,"UI string from meta.leaderboardDescription","Päivittäiset/Viikoittaiset/Kuukausittaiset rankingit kielittäin."
meta.practiceDescription,"UI string from meta.practiceDescription","การฝึกพิมพ์ฟรี รองรับวิธีการป้อนข้อมูลและโหมดต่างๆ"
meta.profileDescription,"UI string from meta.profileDescription",""Thông tin cá nhân"
meta.result,"UI string from meta.result","Tulokset"
meta.resultDescription,"UI string from meta.resultDescription","Sinun kirjoitustestisi tulokset."
meta.testDescription,"UI string from meta.testDescription","การทดสอบแบบมีเวลา แสดงความถูกต้องและคะแนนรวม"
nav.garden,"UI string from nav.garden","Istuta puu"
nav.home,"UI string from nav.home","Koti"
nav.leaderboard,"UI string from nav.leaderboard","Kilpailulauta"
nav.practice,"UI string from nav.practice","Harjoittele"
nav.profile,"UI string from nav.profile","Henkilökohtainen"
nav.subtitle,"UI string from nav.subtitle","Lasten kirjoittaminen ja puun kasvu"
nav.test,"UI string from nav.test","Testi"
notice,"UI string from notice"," stoppen Sie bitte sofort die Nutzung dieses Dienstes. Die fortgesetzte Nutzung des Dienstes bedeutet"
percentile,"UI string from percentile","Yli noin {{percent}}% ihmisistä"
profile.chartDescription,"UI string from profile.chartDescription"," tingkatkan akurasi"
profile.classCode,"UI string from profile.classCode","Luokkakoodi"
profile.classCodePlaceholder,"UI string from profile.classCodePlaceholder","กรุณาใส่ชื่อใดก็ได้ แต่ขอให้หลีกเลี่ยงการซ้ำกัน"
profile.classCodeTooltip,"UI string from profile.classCodeTooltip"," chúng sẽ được thêm tự động (không tự động nếu đã có 5 mã).""
recentValue,"UI string from recentValue","Äskettäin {{value}} {{trend}}"
recordNumber,"UI string from recordNumber","Tuote {{number}}"
relativeScale,"UI string from relativeScale","Relativ skala: Grøn ≤30% · Gul ≤70% · Rød ＞70% (relativt til den højeste fejltast; beregnet ud fra den "seneste kumulative" fejlrate)"
result.accuracyTooltip,"UI string from result.accuracyTooltip"," vì vậy việc thiếu ký tự sẽ làm giảm độ chính xác.""
result.chartDescription,"UI string from result.chartDescription"," poi aumenta gradualmente la velocità.""
result.scoreTooltip,"UI string from result.scoreTooltip"," рассчитанная только на основе правильных символов. Метод расчета: Скорость (WPM/CPM) × Уровень точности. Цель: Сначала стабилизировать уровень точности"
section1.gameData.content,"UI string from section1.gameData.content"," y compris la vitesse (WPM)"
section1.gameData.title,"UI string from section1.gameData.title","Pelin tiedot:"
section1.googleAuth.content,"UI string from section1.googleAuth.content"," n'accéderons ni ne stockerons activement aucune donnée personnelle de votre compte Google"
