key,description,text
absoluteScale,"UI string from absoluteScale","Verde ≤{{low}}% · Galben ≤{{mid}}% · Roșu ＞{{mid}}% (Procentajul reprezintă rata de eroare 'cumulativ recent' pentru acea tastă)"
accuracy,"UI string from accuracy","Precizie: {{percent}}%"
accuracyChartAriaLabel,"UI string from accuracyChartAriaLabel"," тем точнее.""
accuracyChartTitle,"UI string from accuracyChartTitle","Precizie"
accuracyChartTooltip,"UI string from accuracyChartTooltip","Vertikal akse: Nøjagtighed (højere betyder mere præcist); Vandret akse: Tidssekvens. Den blå linje viser ændringerne i nøjagtighed for hver test."
actualInput,"UI string from actualInput","{{chars}} caractere"
admin.bulkTranslateTitle,"UI string from admin.bulkTranslateTitle","O bogăție de instrumente de localizare"
admin.description,"UI string from admin.description","Această zonă este destinată exclusiv întreținerii și gestionării conținutului."
admin.multiLineText,"UI string from admin.multiLineText","Text pe mai multe linii (o intrare pe linie)"
admin.sourceLanguage,"UI string from admin.sourceLanguage","Limba sursă"
admin.targetLanguage,"UI string from admin.targetLanguage","Limba țintă"
admin.title,"UI string from admin.title","Panou de control Admin"
admin.usageDescription,"UI string from admin.usageDescription"," dan klik Eksekusi. Hasilnya hanya untuk tinjauan manual. Fitur ini memerlukan token admin untuk diaktifkan.""
admin.usageTitle,"UI string from admin.usageTitle","Ghidul utilizatorului"
auth.pleaseSignIn,"UI string from auth.pleaseSignIn","Vänligen logga in med Google först."
auth.signIn,"UI string from auth.signIn","Conectează-te cu Google"
auth.signOut,"UI string from auth.signOut","Deconectare"
correctChars,"UI string from correctChars","Număr de caractere corecte: {{chars}} caractere"
defaultDescription,"UI string from defaultDescription"," tingkatkan akurasi"
dev.savedToFirestore,"UI string from dev.savedToFirestore","Salvat în Firestore în timp real."
dev.stage,"UI string from dev.stage","Etapă"
dev.stageOverview,"UI string from dev.stageOverview","Prezentare în Cinci Etape (pentru o comparație vizuală ușoară)"
distanceToUpgrade,"UI string from distanceToUpgrade",""Чтобы достичь уровня {{stage}}"
effectiveDate,"UI string from effectiveDate","Ikrafttredelsesdato: 21. september 2025"
error.errorOccurred,"UI string from error.errorOccurred","A apărut o eroare"
error.goBack,"UI string from error.goBack","Întoarce-te la pagina anterioară"
error.goHome,"UI string from error.goHome","Înapoi la Acasă"
error.loadingError,"UI string from error.loadingError"," пожалуйста"
errorRate,"UI string from errorRate","{{key}} Rata de eroare {{percent}}%"
highestHere,"UI string from highestHere","Cel mai mare aici este {{value}}."
home.aboutBody,"UI string from home.aboutBody"," um Eingabe"
home.aboutTitle,"UI string from home.aboutTitle",""
home.cards.avgAdj,"UI string from home.cards.avgAdj","Scor mediu compus (30 zile)"
home.cards.meVsSite,"UI string from home.cards.meVsSite","Eu vs Toate Site-urile (30 de Zile)"
home.cards.players,"UI string from home.cards.players","Numărul de jucători"
home.cards.totalChars,"UI string from home.cards.totalChars","Total Word Count (30 Zile)"
home.ctaPractice,"UI string from home.ctaPractice","Începe să exersezi acum"
home.ctaTest,"UI string from home.ctaTest","Fă testul"
home.googleUsersCount,"UI string from home.googleUsersCount","Numărul utilizatorilor care se conectează cu Google"
home.googleUsersTooltip,"UI string from home.googleUsersTooltip","Det samlede antal brugere logget ind med Google-konto"
home.heroSubtitle,"UI string from home.heroSubtitle"," unterstützt mehrere Sprachen und hilft"
home.heroTitle,"UI string from home.heroTitle"," ต้นกล้าก็เติบโตสูง.""
home.howToUpgrade,"UI string from home.howToUpgrade","Cum să faci upgrade?"
home.leaderEmpty,"UI string from home.leaderEmpty","Nu sunt disponibile date"
home.leaderViewFull,"UI string from home.leaderViewFull","Vezi Clasamentele Complete"
home.privacyNote,"UI string from home.privacyNote","Henkilökohtaisia tietoja ei kerätä; tilastollisia tietoja käytetään vain nimettömiin ranking- ja oppimispalautteisiin."
home.tabs.leader,"UI string from home.tabs.leader","Previzualizare Clasament"
home.tabs.visitors,"UI string from home.tabs.visitors","Distribuția vizitatorilor"
