key,description,text
absoluteScale,"UI string from absoluteScale","أخضر ≤{{low}}% · أصفر ≤{{mid}}% · أحمر ＞{{mid}}% (النسبة المئوية تمثل معدل الخطأ 'التراكمي الأخير' لتلك المفتاح)"
accuracy,"UI string from accuracy","الدقة: {{percent}}%"
accuracyChartAriaLabel,"UI string from accuracyChartAriaLabel",""Grafico della Tendenza di Accuratezza: Più Alta è la linea"
accuracyChartTitle,"UI string from accuracyChartTitle","الدقة"
accuracyChartTooltip,"UI string from accuracyChartTooltip","Вертикальная ось: Точность (больше значит точнее); Горизонтальная ось: Временная последовательность. Синяя линия показывает изменения в точности для каждого теста."
actualInput,"UI string from actualInput","{{chars}} حرف"
admin.bulkTranslateTitle,"UI string from admin.bulkTranslateTitle","ثروة من أدوات التوطين"
admin.description,"UI string from admin.description","هذه المنطقة مخصصة لأغراض الصيانة وإدارة المحتوى فقط."
admin.multiLineText,"UI string from admin.multiLineText","نص متعدد الأسطر (مدخل واحد لكل سطر)"
admin.sourceLanguage,"UI string from admin.sourceLanguage","اللغة المصدر"
admin.targetLanguage,"UI string from admin.targetLanguage","اللغة المستهدفة"
admin.title,"UI string from admin.title","لوحة تحكم الإدارة"
admin.usageDescription,"UI string from admin.usageDescription"," puis cliquez sur Exécuter. Les résultats sont uniquement destinés à une révision manuelle. Cette fonctionnalité nécessite un jeton administrateur pour être activée.""
admin.usageTitle,"UI string from admin.usageTitle","دليل المستخدم"
auth.pleaseSignIn,"UI string from auth.pleaseSignIn","Vui lòng đăng nhập bằng Google trước."
auth.signIn,"UI string from auth.signIn","تسجيل الدخول باستخدام جوجل"
auth.signOut,"UI string from auth.signOut","تسجيل الخروج"
correctChars,"UI string from correctChars","عدد الأحرف الصحيح: {{chars}} حرف"
defaultDescription,"UI string from defaultDescription"," augmentez l'exactitude"
dev.savedToFirestore,"UI string from dev.savedToFirestore","تم الحفظ في Firestore في الوقت الحقيقي."
dev.stage,"UI string from dev.stage","مرحلة"
dev.stageOverview,"UI string from dev.stageOverview","نظرة عامة من خمس مراحل (للمقارنة البصرية السهلة)"
distanceToUpgrade,"UI string from distanceToUpgrade"," heute mindestens {{minutes}} weitere Minuten einzugeben.""
effectiveDate,"UI string from effectiveDate","วันที่มีผล: 21 กันยายน 2025"
error.errorOccurred,"UI string from error.errorOccurred","حدث خطأ"
error.goBack,"UI string from error.goBack","العودة إلى الصفحة السابقة"
error.goHome,"UI string from error.goHome","العودة إلى الصفحة الرئيسية"
error.loadingError,"UI string from error.loadingError",""Si è verificato un errore durante il caricamento della pagina"
errorRate,"UI string from errorRate","{{key}} معدل الخطأ {{percent}}%"
highestHere,"UI string from highestHere","الأعلى هنا هو {{value}}."
home.aboutBody,"UI string from home.aboutBody"," 여러 언어(zh-TW / zh-CN / en-US)를 지원합니다. 우리는 전 세계 어린이들이 입력"
home.aboutTitle,"UI string from home.aboutTitle","حول Typesprout"
home.cards.avgAdj,"UI string from home.cards.avgAdj","متوسط النتيجة المركبة (30 يومًا)"
home.cards.meVsSite,"UI string from home.cards.meVsSite","أنا ضد جميع المواقع (30 يومًا)"
home.cards.players,"UI string from home.cards.players","عدد اللاعبين"
home.cards.totalChars,"UI string from home.cards.totalChars","إجمالي عدد الكلمات (30 يومًا)"
home.ctaPractice,"UI string from home.ctaPractice","ابدأ التدريب الآن"
home.ctaTest,"UI string from home.ctaTest","خذ الاختبار"
home.googleUsersCount,"UI string from home.googleUsersCount","عدد مستخدمي تسجيل الدخول عبر جوجل"
home.googleUsersTooltip,"UI string from home.googleUsersTooltip",""Общее количество пользователей"
home.heroSubtitle,"UI string from home.heroSubtitle"," 여러 언어를 지원하고 올바른 타이핑 습관과 집중력을 기르는 데 도움을 줍니다.""
home.heroTitle,"UI string from home.heroTitle"," Setzlinge wachsen hoch.""
home.howToUpgrade,"UI string from home.howToUpgrade","كيف يمكن الترقية؟"
home.leaderEmpty,"UI string from home.leaderEmpty","لا توجد بيانات متاحة"
home.leaderViewFull,"UI string from home.leaderViewFull","عرض الترتيبات الكاملة"
home.privacyNote,"UI string from home.privacyNote","Личные данные не собираются; статистические данные используются только для анонимных рейтингов и обратной связи по обучению."
home.tabs.leader,"UI string from home.tabs.leader","معاينة لوحة المتصدرين"
home.tabs.visitors,"UI string from home.tabs.visitors","توزيع الزوار"
home.title,"UI string from home.title"," набор текста и рост дерева""
home.upgradeRule1,"UI string from home.upgradeRule1","เข้าสู่ระบบและฝึกพิมพ์ทุกวันเพื่อสะสมเวลา; เพียงเริ่มการทดสอบเพื่อสร้าง "เวลาการป้อนข้อมูลที่มีประสิทธิภาพ"
home.upgradeRule2,"UI string from home.upgradeRule2"," vous accumulerez de l'activité ; plus vous tapez longtemps"
home.upgradeRule3,"UI string from home.upgradeRule3",""Достигните 5 уровня"
home.upgradeRule4,"UI string from home.upgradeRule4"," während weniger Aktivität einen Abstieg bedeutet.""
home.upgradeRule5,"UI string from home.upgradeRule5"," wirst du weiterhin Früchte tragen.""
home.upgradeRule6,"UI string from home.upgradeRule6",""I frutti raccolti forniranno ricompense sulla piattaforma in base AI punteggi; attualmente"
home.upgradeRules,"UI string from home.upgradeRules",""Règles de mise à niveau : Pendant les 5 derniers jours"
home.visitorsDesc,"UI string from home.visitorsDesc","توزيع الزوار واللاعبين حسب الدولة (إحصائيات مجهولة)."
howToUpgrade,"UI string from howToUpgrade","كيفية الترقية"
introduction,"UI string from introduction",""Benvenuto su Typesprout! Questo è un sito web gratuito per la pratica della digitazione creato da un singolo sviluppatore per passione. Comprendiamo che la tua privacy è importante"
leaderboard.classCodePlaceholder,"UI string from leaderboard.classCodePlaceholder","رمز الفصل"
