key,description,text
absoluteScale,"UI string from absoluteScale","Xanh ≤{{low}}% · Vàng ≤{{mid}}% · Đỏ ＞{{mid}}% (Phần trăm (%) đại diện cho tỷ lệ lỗi 'tích lũy gần đây' cho phím đó)"
accuracy,"UI string from accuracy","Độ chính xác: {{percent}}%"
accuracyChartAriaLabel,"UI string from accuracyChartAriaLabel"," plus elle est précise.""
accuracyChartTitle,"UI string from accuracyChartTitle","Độ chính xác"
accuracyChartTooltip,"UI string from accuracyChartTooltip","Sumbu vertikal: Akurasi (semakin tinggi berarti semakin tepat); Sumbu horizontal: Urutan waktu. Garis biru menunjukkan perubahan akurasi untuk setiap tes."
actualInput,"UI string from actualInput","Nhập thực tế: {{chars}} ký tự"
admin.bulkTranslateTitle,"UI string from admin.bulkTranslateTitle","Một kho tàng công cụ địa phương hóa"
admin.description,"UI string from admin.description","Khu vực này chỉ dành cho mục đích bảo trì và quản lý nội dung."
admin.multiLineText,"UI string from admin.multiLineText","Văn bản đa dòng (mỗi mục trên một dòng)"
admin.sourceLanguage,"UI string from admin.sourceLanguage","Ngôn ngữ nguồn"
admin.targetLanguage,"UI string from admin.targetLanguage","Ngôn ngữ mục tiêu"
admin.title,"UI string from admin.title","Bảng điều khiển quản trị viên"
admin.usageDescription,"UI string from admin.usageDescription"," 여러 줄 텍스트를 붙여넣은 후 실행을 클릭하세요. 결과는 수동 검토용입니다. 이 기능을 사용하려면 관리 토큰이 필요합니다.""
admin.usageTitle,"UI string from admin.usageTitle","? Hướng dẫn người dùng"
auth.pleaseSignIn,"UI string from auth.pleaseSignIn",""Per favore"
auth.signIn,"UI string from auth.signIn","Đăng nhập bằng Google"
auth.signOut,"UI string from auth.signOut","Đăng xuất"
correctChars,"UI string from correctChars","Số ký tự chính xác: {{chars}} ký tự"
defaultDescription,"UI string from defaultDescription","トップ: 全体スコアのトレンド; ボトム: 精度のトレンド。まず、精度を上げてから、徐々にスピードを上げていきます。"
dev.savedToFirestore,"UI string from dev.savedToFirestore","Đã lưu vào Firestore trong thời gian thực."
dev.stage,"UI string from dev.stage","GiAI đoạn"
dev.stageOverview,"UI string from dev.stageOverview","Tổng quan Năm GiAI Đoạn (để so sánh trực quan dễ dàng)"
distanceToUpgrade,"UI string from distanceToUpgrade"," il est recommandé d'entrer au moins {{minutes}} minutes de plus aujourd'hui.""
effectiveDate,"UI string from effectiveDate","Tanggal Efektif: 21 September 2025"
error.errorOccurred,"UI string from error.errorOccurred","Đã xảy ra lỗi"
error.goBack,"UI string from error.goBack","Quay lại trang trước"
error.goHome,"UI string from error.goHome","Quay lại Trang chủ"
error.loadingError,"UI string from error.loadingError"," veuillez réessayer plus tard.""
errorRate,"UI string from errorRate","{{key}} Tỷ lệ lỗi {{percent}}%"
highestHere,"UI string from highestHere","Giá trị cao nhất ở đây là {{value}}."
home.aboutBody,"UI string from home.aboutBody"," compreensão e expressão.""
home.aboutTitle,"UI string from home.aboutTitle","Về Typesprout"
home.cards.avgAdj,"UI string from home.cards.avgAdj","Điểm trung bình tổng hợp (30 ngày)"
home.cards.meVsSite,"UI string from home.cards.meVsSite","Tôi so với Tất cả Các Trang (30 Ngày)"
home.cards.players,"UI string from home.cards.players","Số lượng người chơi"
home.cards.totalChars,"UI string from home.cards.totalChars","Tổng số từ (30 ngày)"
home.ctaPractice,"UI string from home.ctaPractice","Bắt đầu luyện tập ngay bây giờ"
home.ctaTest,"UI string from home.ctaTest","Làm bài kiểm tra"
home.googleUsersCount,"UI string from home.googleUsersCount","Số lượng người dùng đăng nhập bằng Google"
home.googleUsersTooltip,"UI string from home.googleUsersTooltip","Total jumlah pengguna yang masuk dengan akun Google"
home.heroSubtitle,"UI string from home.heroSubtitle"," suporta vários idiomas e ajuda a construir hábitos de digitação corretos e foco.""
home.heroTitle,"UI string from home.heroTitle",""Les enfants tapent"
home.howToUpgrade,"UI string from home.howToUpgrade","Làm thế nào để nâng cấp?"
home.leaderEmpty,"UI string from home.leaderEmpty","Không có dữ liệu nào có sẵn"
home.leaderViewFull,"UI string from home.leaderViewFull","Xem Bảng Xếp Hạng Đầy Đủ"
home.privacyNote,"UI string from home.privacyNote","Tidak ada data pribadi yang dikumpulkan; data statistik hanya digunakan untuk peringkat anonim dan umpan balik pembelajaran."
home.tabs.leader,"UI string from home.tabs.leader","Xem trước bảng xếp hạng"
home.tabs.visitors,"UI string from home.tabs.visitors","Phân phối khách truy cập"
home.title,"UI string from home.title","Typesprout — Gõ phím cho trẻ em và phát triển cây xanh"
home.upgradeRule1,"UI string from home.upgradeRule1","Accedi e pratica la digitazione ogni giorno per accumulare tempo; basta iniziare un test per generare "tempo di input efficace"."
home.upgradeRule2,"UI string from home.upgradeRule2","毎日練習すれば、活動が蓄積されます。タイピングを続けるほど、成長が早くなります。"
home.upgradeRule3,"UI string from home.upgradeRule3","CapAI level 5 untuk mulAI menghasilkan hasil (berbuah)."
home.upgradeRule4,"UI string from home.upgradeRule4",""L'activité des 5 derniers jours fera monter ou dEscendre le petit arbre : plus d'activité signifie monter de niveau"
home.upgradeRule5,"UI string from home.upgradeRule5",""Jusqu'à l'étape 5 ; si vous pouvez mAIntenir l'étape 5 chaque jour"
home.upgradeRule6,"UI string from home.upgradeRule6"," le temps de quiz peut être utilisé pour accumuler des points.""
home.upgradeRules,"UI string from home.upgradeRules","アップグレードルール：最後の5日間、毎日行った練習は累積されます。その日のタイピング時間が長いほど、レベルアップが容易になります。最高レベルは5です。"
home.visitorsDesc,"UI string from home.visitorsDesc","Phân phối quốc gia của khách truy cập và người chơi trên trang web (thống kê ẩn danh)."
howToUpgrade,"UI string from howToUpgrade","Cách nâng cấp"
introduction,"UI string from introduction",""Bienvenue sur Typesprout ! Ce site de pratique de dactylographie gratuit a été créé par un développeur passionné. Nous comprenons que votre vie privée est importante"
leaderboard.classCodePlaceholder,"UI string from leaderboard.classCodePlaceholder","Mã lớp"
leaderboard.tooltip,"UI string from leaderboard.tooltip","🏆 리더보드는 어떻게 계산되나요?&#10;• 오늘의 순위: 오늘 (현지 시간) 성과&#10;• 어제의 순위: 어제 (현지 시간) 성과&#10;• 지난 주의 순위: 지난 주 월요일부터 일요일까지의 성과&#10;• 지난 달의 순위: 지난 달 1일부터 마지막 날까지의 성과&#10;&#10;📊 점수는 어떻게 계산되나요?&#10;• 전체 점수 = 가장 빠른 속도 × 정확도 × 연습 시간&#10;• 같은 날의 여러 번 연습은 계산에 합산됩니다&#10;• 연습 시간이 길수록 점수가 높아집니다&#10;&#10;💡 작은 알림: 매일 조금씩 연습하면 작은 나무가 자랍니다!"
