key,description,text
absoluteScale,"UI string from absoluteScale",""Yeşil ≤{{low}}% · Sarı ≤{{mid}}% · Kırmızı ＞{{mid}}% (Yüzde"
accuracy,"UI string from accuracy","Doğruluk: {{percent}}%"
accuracyChartAriaLabel,"UI string from accuracyChartAriaLabel"," jo mer nøyaktig er den.""
accuracyChartTitle,"UI string from accuracyChartTitle","Doğruluk"
accuracyChartTooltip,"UI string from accuracyChartTooltip","উল্লম্ব অক্ষ: সঠিকতা (বেশি মানে আরও সঠিক); অনুভূমিক অক্ষ: সময়ের ক্রম। নীল রেখাটি প্রতিটি পরীক্ষার জন্য সঠিকতার পরিবর্তনগুলি দেখায়।"
actualInput,"UI string from actualInput","Gerçek giriş: {{chars}} karakter"
admin.bulkTranslateTitle,"UI string from admin.bulkTranslateTitle","Birçok yerelleştirme aracı"
admin.description,"UI string from admin.description","Bu alan yalnızca bakım ve içerik yönetimi amaçları içindir."
admin.multiLineText,"UI string from admin.multiLineText","Çok satırlı metin (her satırda bir giriş)"
admin.sourceLanguage,"UI string from admin.sourceLanguage","Kaynak Dil"
admin.targetLanguage,"UI string from admin.targetLanguage","Hedef dil"
admin.title,"UI string from admin.title","Yönetici Paneli"
admin.usageDescription,"UI string from admin.usageDescription"," plak de meerregelige tekst en klik op Uitvoeren. De resultaten zijn alleen voor handmatige beoordeling. Deze functie vereist een beheerders-token om ingeschakeld te worden.""
admin.usageTitle,"UI string from admin.usageTitle","Kullanıcı Kılavuzu"
auth.pleaseSignIn,"UI string from auth.pleaseSignIn","Sila log masuk menggunakan Google terlebih dahulu."
auth.signIn,"UI string from auth.signIn","Google ile giriş yap"
auth.signOut,"UI string from auth.signOut","Çıkış yap"
correctChars,"UI string from correctChars","Doğru karakter sayısı: {{chars}} karakter"
defaultDescription,"UI string from defaultDescription"," pagkatapos ay unti-unting pabilisin.""
dev.savedToFirestore,"UI string from dev.savedToFirestore","Gerçek zamanlı olarak Firestore'a kaydedildi."
dev.stage,"UI string from dev.stage","Aşama"
dev.stageOverview,"UI string from dev.stageOverview","Beş Aşamalı Genel Bakış (kolay görsel karşılaştırma için)"
distanceToUpgrade,"UI string from distanceToUpgrade"," anbefales det å skrive inn minst {{minutes}} flere minutter i dag.""
effectiveDate,"UI string from effectiveDate",""কার্যকর তারিখ: ২১ সেপ্টেম্বর"
error.errorOccurred,"UI string from error.errorOccurred","Bir hata oluştu"
error.goBack,"UI string from error.goBack","Önceki sayfaya geri dön"
error.goHome,"UI string from error.goHome","Ana Sayfaya Dön"
error.loadingError,"UI string from error.loadingError",""Det oppstod en feil under lasting av siden"
errorRate,"UI string from errorRate","{{key}} Hata Oranı {{percent}}%"
highestHere,"UI string from highestHere","Buradaki en yüksek {{value}}."
home.aboutBody,"UI string from home.aboutBody"," hiểu biết và diễn đạt.""
home.aboutTitle,"UI string from home.aboutTitle","Typesprout Hakkında"
home.cards.avgAdj,"UI string from home.cards.avgAdj","Ortalama Bileşik Puan (30 Gün)"
home.cards.meVsSite,"UI string from home.cards.meVsSite","Ben vs Tüm Siteler (30 Gün)"
home.cards.players,"UI string from home.cards.players","Oyuncu Sayısı"
home.cards.totalChars,"UI string from home.cards.totalChars","Toplam Kelime Sayısı (30 Gün)"
home.ctaPractice,"UI string from home.ctaPractice","Şimdi Pratik Yapmaya Başla"
home.ctaTest,"UI string from home.ctaTest","Testi al"
home.googleUsersCount,"UI string from home.googleUsersCount","Google Giriş Kullanıcı Sayısı"
home.googleUsersTooltip,"UI string from home.googleUsersTooltip","מספר כולל של משתמשים שנכנסו עם חשבון Google"
home.heroSubtitle,"UI string from home.heroSubtitle"," hỗ trợ nhiều ngôn ngữ và giúp xây dựng thói quen gõ đúng và tập trung.""
home.heroTitle,"UI string from home.heroTitle"," plantor växer sig höga.""
home.howToUpgrade,"UI string from home.howToUpgrade","Nasıl yükseltirim?"
home.leaderEmpty,"UI string from home.leaderEmpty","No data avAIlable"
