key,description,text
absoluteScale,"UI string from absoluteScale","Zielony ≤{{low}}% · Żółty ≤{{mid}}% · Czerwony ＞{{mid}}% (Procent oznacza 'niedawny skumulowany' wskaźnik błędów dla tego klawisza)"
accuracy,"UI string from accuracy","Dokładność: {{percent}}%"
accuracyChartAriaLabel,"UI string from accuracyChartAriaLabel"," semakin akurat.""
accuracyChartTitle,"UI string from accuracyChartTitle","Dokładność"
accuracyChartTooltip,"UI string from accuracyChartTooltip",""Verticale as: Nauwkeurigheid (hoe hoger"
actualInput,"UI string from actualInput","Aktualny wpis: {{chars}} znaków"
admin.bulkTranslateTitle,"UI string from admin.bulkTranslateTitle","Bogactwo narzędzi lokalizacyjnych"
admin.description,"UI string from admin.description","Ten obszar jest przeznaczony wyłącznie do celów konserwacji i zarządzania treścią."
admin.multiLineText,"UI string from admin.multiLineText","Wielowierszowy tekst (jeden wpis na linię)"
admin.sourceLanguage,"UI string from admin.sourceLanguage","Język źródłowy"
admin.targetLanguage,"UI string from admin.targetLanguage","Język docelowy"
admin.title,"UI string from admin.title","Panel administracyjny"
admin.usageDescription,"UI string from admin.usageDescription"," um aktiviert zu werden.""
admin.usageTitle,"UI string from admin.usageTitle","Poradnik użytkownika"
auth.pleaseSignIn,"UI string from auth.pleaseSignIn"," сначала войдите с помощью Google.""
auth.signIn,"UI string from auth.signIn","Zaloguj się za pomocą Google"
auth.signOut,"UI string from auth.signOut","Wyloguj się"
correctChars,"UI string from correctChars","Liczba poprawnych znaków: {{chars}} znaków"
defaultDescription,"UI string from defaultDescription"," dann allmählich die GEschwindigkeit steigern.""
dev.savedToFirestore,"UI string from dev.savedToFirestore","Zapisano w Firestore w czasie rzeczywistym."
dev.stage,"UI string from dev.stage","Etap"
dev.stageOverview,"UI string from dev.stageOverview","Pięcioetapowy przegląd (dla łatwego porównania wizualnego)"
distanceToUpgrade,"UI string from distanceToUpgrade",""Untuk mencapAI level {{stage}}"
effectiveDate,"UI string from effectiveDate",""Petsa ng Pagkakabisa: Setyembre 21"
error.errorOccurred,"UI string from error.errorOccurred","Wystąpił błąd"
error.goBack,"UI string from error.goBack","Wróć do poprzedniej strony"
error.goHome,"UI string from error.goHome","Powrót do Strony Głównej"
error.loadingError,"UI string from error.loadingError"," silakan coba lagi nanti.""
errorRate,"UI string from errorRate","{{key}} Wskaźnik błędów {{percent}}%"
highestHere,"UI string from highestHere","Najwyższy tutaj to {{value}}."
home.aboutBody,"UI string from home.aboutBody"," prenant en charge plusieurs langues (zh-TW / zh-CN / en-US). Nous espérons offrir un environnement sûr et convivial pour que les enfants du monde entier puissent pratiquer la sAIsie"
home.aboutTitle,"UI string from home.aboutTitle","O Typesprout"
home.cards.avgAdj,"UI string from home.cards.avgAdj","Średni wynik złożony (30 dni)"
home.cards.meVsSite,"UI string from home.cards.meVsSite","Ja vs Wszystkie Strony (30 Dni)"
home.cards.players,"UI string from home.cards.players","Liczba graczy"
home.cards.totalChars,"UI string from home.cards.totalChars","Łączna liczba słów (30 dni)"
home.ctaPractice,"UI string from home.ctaPractice","Zacznij ćwiczyć teraz"
home.ctaTest,"UI string from home.ctaTest","Zrób test"
