key,description,text
absoluteScale,"UI string from absoluteScale","Grønn ≤{{low}}% · Gul ≤{{mid}}% · Rød ＞{{mid}}% (Prosenten representerer 'den nylige kumulative' feilraten for den tasten)"
accuracy,"UI string from accuracy","Nøyaktighet: {{percent}}%"
accuracyChartAriaLabel,"UI string from accuracyChartAriaLabel"," độ chính xác càng cao.""
accuracyChartTitle,"UI string from accuracyChartTitle","Nøyaktighet"
accuracyChartTooltip,"UI string from accuracyChartTooltip","Oś pionowa: Dokładność (wyższa oznacza większą precyzję); Oś pozioma: Sekwencja czasowa. Niebieska linia pokazuje zmiany w dokładności dla każdego testu."
actualInput,"UI string from actualInput","{{chars}} tegn"
admin.bulkTranslateTitle,"UI string from admin.bulkTranslateTitle","En mengde lokaliseringsverktøy"
admin.description,"UI string from admin.description","Dette området er kun for vedlikehold og innholdsadministrasjon."
admin.multiLineText,"UI string from admin.multiLineText","Flere linjer med tekst (ett innlegg per linje)"
admin.sourceLanguage,"UI string from admin.sourceLanguage","Kildespråk"
admin.targetLanguage,"UI string from admin.targetLanguage","Mål språk"
admin.title,"UI string from admin.title","Admin Dashboard"
admin.usageDescription,"UI string from admin.usageDescription"," incolla il testo su più righe e fAI clic su Esegui. I risultati sono solo per revisione manuale. Questa funzione richiede un token di amministratore per essere attivata.""
admin.usageTitle,"UI string from admin.usageTitle","Brukerveiledning"
auth.pleaseSignIn,"UI string from auth.pleaseSignIn","Mangyaring mag-log in gamit ang Google muna."
auth.signIn,"UI string from auth.signIn","Logg inn med Google"
auth.signOut,"UI string from auth.signOut","Logg ut"
correctChars,"UI string from correctChars","Korrekt tegnantall: {{chars}} tegn"
defaultDescription,"UI string from defaultDescription"," aumenta l'accuratezza"
dev.savedToFirestore,"UI string from dev.savedToFirestore","Lagt til Firestore i sanntid."
dev.stage,"UI string from dev.stage","Trinn"
dev.stageOverview,"UI string from dev.stageOverview","Fem-trinns oversikt (for enkel visuell sammenligning)"
distanceToUpgrade,"UI string from distanceToUpgrade",""Để đạt đến cấp độ {{stage}}"
effectiveDate,"UI string from effectiveDate","Ingangsdatum: 21 september 2025"
error.errorOccurred,"UI string from error.errorOccurred","Det oppstod en feil"
error.goBack,"UI string from error.goBack","Gå tilbake til forrige side"
