key,description,text
absoluteScale,"UI string from absoluteScale","ירוק ≤{{low}}% · צהוב ≤{{mid}}% · אדום ＞{{mid}}% (ה% מייצג את שיעור השגיאות 'המצטבר האחרון' עבור מקש זה)"
accuracy,"UI string from accuracy","דיוק: {{percent}}%"
accuracyChartAriaLabel,"UI string from accuracyChartAriaLabel",""Noggrannhetstrenddiagram: Ju högre linjen är"
accuracyChartTitle,"UI string from accuracyChartTitle","דיוק"
accuracyChartTooltip,"UI string from accuracyChartTooltip","Paksi menegak: Ketepatan (semakin tinggi semakin tepat); Paksi mendatar: Urutan masa. Garis biru menunjukkan perubahan dalam ketepatan untuk setiap ujian."
actualInput,"UI string from actualInput","{{chars}} תווים"
admin.bulkTranslateTitle,"UI string from admin.bulkTranslateTitle","אוצר של כלים לוקליזציה"
admin.description,"UI string from admin.description","אזור זה מיועד רק למטרות תחזוקה וניהול תוכן."
admin.multiLineText,"UI string from admin.multiLineText","טקסט רב-שורות (כניסה אחת לכל שורה)"
admin.sourceLanguage,"UI string from admin.sourceLanguage","שפת מקור"
admin.targetLanguage,"UI string from admin.targetLanguage","שפת יעד"
admin.title,"UI string from admin.title","לוח בקרה של מנהל"
admin.usageDescription,"UI string from admin.usageDescription"," i-paste ang multiline na teksto"
admin.usageTitle,"UI string from admin.usageTitle","מדריך משתמש"
auth.pleaseSignIn,"UI string from auth.pleaseSignIn"," először jelentkezzen be a Google-lal.""
auth.signIn,"UI string from auth.signIn","התחבר עם גוגל"
auth.signOut,"UI string from auth.signOut","התנתק"
correctChars,"UI string from correctChars","מספר תווים נכונים: {{chars}} תווים"
defaultDescription,"UI string from defaultDescription","الأعلى: اتجاه النتيجة العامة؛ الأسفل: اتجاه الدقة. أولاً، قم بزيادة الدقة، ثم سرّع تدريجياً."
dev.savedToFirestore,"UI string from dev.savedToFirestore","נשמר ב-Firestore בזמן אמת."
dev.stage,"UI string from dev.stage","שלב"
dev.stageOverview,"UI string from dev.stageOverview","סקירה בחמישה שלבים (להשוואה חזותית קלה)"
distanceToUpgrade,"UI string from distanceToUpgrade"," zaleca się wprowadzenie przynajmniej {{minutes}} dodatkowych minut dzisiaj.""
effectiveDate,"UI string from effectiveDate","Tarikh Berkuatkuasa: 21 September 2025"
error.errorOccurred,"UI string from error.errorOccurred","אירעה שגיאה"
error.goBack,"UI string from error.goBack","חזור לדף הקודם"
error.goHome,"UI string from error.goHome","חזרה לדף הבית"
error.loadingError,"UI string from error.loadingError"," spróbuj ponownie później.""
errorRate,"UI string from errorRate","{{key}} שיעור שגיאות {{percent}}%"
highestHere,"UI string from highestHere","הגבוה ביותר כאן הוא {{value}}."
home.aboutBody,"UI string from home.aboutBody"," dan ekspresi.""
home.aboutTitle,"UI string from home.aboutTitle",""
home.cards.avgAdj,"UI string from home.cards.avgAdj","ציון ממוצע כולל (30 ימים)"
home.cards.meVsSite,"UI string from home.cards.meVsSite","אני מול כל האתרים (30 ימים)"
home.cards.players,"UI string from home.cards.players","מספר שחקנים"
home.cards.totalChars,"UI string from home.cards.totalChars","סך כל המילים (30 ימים)"
home.ctaPractice,"UI string from home.ctaPractice","התחל לתרגל עכשיו"
home.ctaTest,"UI string from home.ctaTest","קח את המבחן"
home.googleUsersCount,"UI string from home.googleUsersCount","מספר משתמשי כניסה עם גוגל"
home.googleUsersTooltip,"UI string from home.googleUsersTooltip","Jumlah keseluruhan pengguna yang log masuk dengan akaun Google"
home.heroSubtitle,"UI string from home.heroSubtitle"," dan membantu membangun kebiasaan mengetik yang benar serta fokus.""
home.heroTitle,"UI string from home.heroTitle",""Dzieci piszą"
home.howToUpgrade,"UI string from home.howToUpgrade","איך לשדרג?"
home.leaderEmpty,"UI string from home.leaderEmpty","אין נתונים זמינים"
home.leaderViewFull,"UI string from home.leaderViewFull","צפה בדירוגים המלאים"
home.privacyNote,"UI string from home.privacyNote","ব্যক্তিগত তথ্য সংগ্রহ করা হয় না; পরিসংখ্যানগত তথ্য কেবল গোপন র‌্যাঙ্কিং এবং শেখার প্রতিক্রিয়ার জন্য ব্যবহৃত হয়।"
home.tabs.leader,"UI string from home.tabs.leader","תצוגת דירוג"
home.tabs.visitors,"UI string from home.tabs.visitors","פיזור מבקרים"
home.title,"UI string from home.title","টাইপস্প্রাউট — শিশুদের টাইপিং এবং গাছের বৃদ্ধি"
home.upgradeRule1,"UI string from home.upgradeRule1",""Přihlaste se a cvičte psaní každý den"
home.upgradeRule2,"UI string from home.upgradeRule2"," вы накопите активность; чем дольше вы печатаете"
home.upgradeRule3,"UI string from home.upgradeRule3",""Érd el az 5-ös szintet"
home.upgradeRule4,"UI string from home.upgradeRule4"," że małe drzewko pójdzie w górę lub w dół: więcej aktywności oznacza awans"
home.upgradeRule5,"UI string from home.upgradeRule5"," będziesz nadal przynosić owoce.""
home.upgradeRule6,"UI string from home.upgradeRule6","Kerätyt hedelmät tarjoavat alustan palkintoja sijoitusten mukaan; tällä hetkellä kyselyaikaa voidaan käyttää pisteiden keräämiseen."
home.upgradeRules,"UI string from home.upgradeRules",""Правила повышения уровня: В течение последних 5 дней любые занятия"
home.visitorsDesc,"UI string from home.visitorsDesc","הפצת מדינות של מבקרי האתר ושחקנים (סטטיסטיקות אנונימיות)."
howToUpgrade,"UI string from howToUpgrade","איך לשדרג"
introduction,"UI string from introduction"," dus dit beleid is bedoeld om uit te leggen welke gegevens we verzamelen en hoe we die gegevens zullen gebruiken.""
leaderboard.classCodePlaceholder,"UI string from leaderboard.classCodePlaceholder","קוד כיתה"
leaderboard.tooltip,"UI string from leaderboard.tooltip","🏆 كيف يتم حساب لوحة المتصدرين؟&#10;• ترتيب اليوم: أداء اليوم (بتوقيت محلي)&#10;• ترتيب الأمس: أداء الأمس (بتوقيت محلي)&#10;• ترتيب الأسبوع الماضي: الأداء من الاثنين إلى الأحد من الأسبوع الماضي&#10;• ترتيب الشهر الماضي: الأداء من اليوم الأول حتى نهاية الشهر الماضي&#10;&#10;📊 كيف يتم حساب النق score؟&#10;• النق score الكلي = أسرع سرعة × معدل الدقة × وقت الممارسة&#10;• سيتم دمج الممارسات المتعددة في نفس اليوم للحساب&#10;• كلما زاد وقت الممارسة، زادت النق score&#10;&#10;💡 تذكير صغير: مارس قليلاً كل يوم، وستنمو الشجرة الصغيرة!"
meta.gardenDescription,"UI string from meta.gardenDescription","קדמו את הצמיחה והפרסים של העץ עם נקודות הקלדה."
meta.homeDescription,"UI string from meta.homeDescription","תרגול הקלדה לילדים ומשחק צמיחת עצים. תומך בסינית מסורתית / סינית מפושטת / אנגלית."
meta.leaderboardDescription,"UI string from meta.leaderboardDescription","דירוגים יומיים/שבועיים/חודשיים לפי שפה."
meta.practiceDescription,"UI string from meta.practiceDescription"," wspierające metody wprowadzania i różne tryby.""
meta.profileDescription,"UI string from meta.profileDescription",""Je persoonlijke informatie"
meta.result,"UI string from meta.result","תוצאה"
meta.resultDescription,"UI string from meta.resultDescription","תוצאות מבחן ההקלדה שלך."
meta.testDescription,"UI string from meta.testDescription"," wyświetlający dokładność i ogólny wynik.""
nav.garden,"UI string from nav.garden","שתול עץ"
nav.home,"UI string from nav.home","בית"
nav.leaderboard,"UI string from nav.leaderboard","לוח המובילים"
nav.practice,"UI string from nav.practice","תרגול"
nav.profile,"UI string from nav.profile","אישי"
nav.subtitle,"UI string from nav.subtitle","הקלדה לילדים וצמיחת עצים"
nav.test,"UI string from nav.test","מבחן"
notice,"UI string from notice"," dan setuju dengan semua isi kebijakan ini.""
percentile,"UI string from percentile","יותר מ-⦁H0⦁% מהאנשים"
profile.chartDescription,"UI string from profile.chartDescription",""Tuktok: Pangkalahatang Takbo ng Iskor; Ibaba: Takbo ng Katumpakan. Una"
profile.classCode,"UI string from profile.classCode","קוד כיתה"
profile.classCodePlaceholder,"UI string from profile.classCodePlaceholder"," tylko unikaj duplikatów.""
profile.classCodeTooltip,"UI string from profile.classCodeTooltip",""Unikalny w serwisie (3–50 znaków; nie może zawierać /). Używany do konkursów i grupowania w rankingu; można dodać do 5. Nauczyciele mogą tworzyć nowe kody; po utworzeniu zostaną automatycznie dodane (nie automatycznie"
recentValue,"UI string from recentValue","לאחרונה {{value}} {{trend}}"
recordNumber,"UI string from recordNumber","פריט {{number}}"
