key,description,text
absoluteScale,"UI string from absoluteScale","Зеленый ≤{{low}}% · Желтый ≤{{mid}}% · Красный ＞{{mid}}% (Процент представляет собой 'недавнюю кумулятивную' ошибку для этой клавиши)"
accuracy,"UI string from accuracy","Точность: {{percent}}%"
accuracyChartAriaLabel,"UI string from accuracyChartAriaLabel"," desto genauer ist es.""
accuracyChartTitle,"UI string from accuracyChartTitle","Точность"
accuracyChartTooltip,"UI string from accuracyChartTooltip","แกนแนวตั้ง: ความแม่นยำ (ยิ่งสูงยิ่งแม่นยำมากขึ้น); แกนแนวนอน: ลำดับเวลา เส้นสีน้ำเงินแสดงการเปลี่ยนแปลงของความแม่นยำสำหรับแต่ละการทดสอบ"
actualInput,"UI string from actualInput","Фактический ввод: {{chars}} символов"
admin.bulkTranslateTitle,"UI string from admin.bulkTranslateTitle","Богатство инструментов локализации"
admin.description,"UI string from admin.description","Эта область предназначена только для обслуживания и управления контентом."
admin.multiLineText,"UI string from admin.multiLineText","Многострочный текст (по одной записи в строке)"
admin.sourceLanguage,"UI string from admin.sourceLanguage","Исходный язык"
admin.targetLanguage,"UI string from admin.targetLanguage","Целевой язык"
admin.title,"UI string from admin.title","Панель администратора"
admin.usageDescription,"UI string from admin.usageDescription"," collez le texte multiligne"
admin.usageTitle,"UI string from admin.usageTitle","Руководство пользователя"
auth.pleaseSignIn,"UI string from auth.pleaseSignIn","Silakan masuk menggunakan Google terlebih dahulu."
auth.signIn,"UI string from auth.signIn","Войти с помощью Google"
auth.signOut,"UI string from auth.signOut","Выйти"
correctChars,"UI string from correctChars","Количество правильных символов: {{chars}} символов"
defaultDescription,"UI string from defaultDescription",""Haut : Tendance du score global ; Bas : Tendance de l'exactitude. D'abord"
dev.savedToFirestore,"UI string from dev.savedToFirestore","Сохранено в Firestore в реальном времени."
dev.stage,"UI string from dev.stage","Этап"
dev.stageOverview,"UI string from dev.stageOverview","Обзор в пять этапов (для легкого визуального сравнения)"
distanceToUpgrade,"UI string from distanceToUpgrade"," wird empfohlen"
effectiveDate,"UI string from effectiveDate"," 2025""
error.errorOccurred,"UI string from error.errorOccurred","Произошла ошибка"
error.goBack,"UI string from error.goBack","Вернуться на предыдущую страницу"
error.goHome,"UI string from error.goHome","Вернуться на главную"
error.loadingError,"UI string from error.loadingError"," bitte versuchen Sie es später erneut.""
errorRate,"UI string from errorRate","{{key}} Уровень ошибок {{percent}}%"
highestHere,"UI string from highestHere","Самое высокое здесь {{value}}."
home.aboutBody,"UI string from home.aboutBody",""Typesprout는 1-6학년 어린이를 위한 타자 연습 및 성장 웹사이트로"
home.aboutTitle,"UI string from home.aboutTitle","О Typesprout"
home.cards.avgAdj,"UI string from home.cards.avgAdj","Средний композитный балл (30 дней)"
home.cards.meVsSite,"UI string from home.cards.meVsSite","Я против всех сайтов (30 дней)"
home.cards.players,"UI string from home.cards.players","Количество игроков"
home.cards.totalChars,"UI string from home.cards.totalChars","Общее количество слов (30 дней)"
home.ctaPractice,"UI string from home.ctaPractice","Начать практиковаться сейчас"
home.ctaTest,"UI string from home.ctaTest","Пройти тест"
home.googleUsersCount,"UI string from home.googleUsersCount","Количество пользователей Google для входа"
home.googleUsersTooltip,"UI string from home.googleUsersTooltip","จำนวนผู้ใช้ทั้งหมดที่เข้าสู่ระบบด้วยบัญชี Google"
home.heroSubtitle,"UI string from home.heroSubtitle",""매번 타이핑할 때마다 그것은 당신의 나무를 기르는 에너지로 변환되며"
home.heroTitle,"UI string from home.heroTitle",""Kinder tippen"
home.howToUpgrade,"UI string from home.howToUpgrade","Как обновить?"
home.leaderEmpty,"UI string from home.leaderEmpty","Нет доступных данных"
home.leaderViewFull,"UI string from home.leaderViewFull","Посмотреть полные рейтинги"
