key,description,text
absoluteScale,"UI string from absoluteScale","हरा ≤{{low}}% · पीला ≤{{mid}}% · लाल ＞{{mid}}% (प्रतिशत उस कुंजी के लिए 'हालिया संचयी' त्रुटि दर को दर्शाता है)"
accuracy,"UI string from accuracy","सटीकता: {{percent}}%"
accuracyChartAriaLabel,"UI string from accuracyChartAriaLabel",""Wykres trendu dokładności: Im wyżej linia"
accuracyChartTitle,"UI string from accuracyChartTitle","सटीकता"
accuracyChartTooltip,"UI string from accuracyChartTooltip"," annál pontosabb); Vízszintes tengely: Időbeli sorrend. A kék vonal a pontosság változásait mutatja minden tesztnél.""
actualInput,"UI string from actualInput","{{chars}} अक्षर"
admin.bulkTranslateTitle,"UI string from admin.bulkTranslateTitle","स्थानीयकरण उपकरणों की प्रचुरता"
admin.description,"UI string from admin.description","यह क्षेत्र केवल रखरखाव और सामग्री प्रबंधन के उद्देश्यों के लिए है।"
admin.multiLineText,"UI string from admin.multiLineText","मल्टी-लाइन टेक्स्ट (प्रत्येक पंक्ति में एक प्रविष्टि)"
admin.sourceLanguage,"UI string from admin.sourceLanguage","लक्षित भाषा"
admin.targetLanguage,"UI string from admin.targetLanguage","लक्ष्य भाषा"
admin.title,"UI string from admin.title","व्यवस्थापक डैशबोर्ड"
admin.usageDescription,"UI string from admin.usageDescription","أدخل رموز اللغات المصدر والهدف، ألصق النص المتعدد الأسطر، وانقر على تنفيذ. النتائج للمراجعة اليدوية فقط. تتطلب هذه الميزة رمز إدارة لتكون مفعلة."
admin.usageTitle,"UI string from admin.usageTitle","उपयोगकर्ता मार्गदर्शिका"
auth.pleaseSignIn,"UI string from auth.pleaseSignIn","Nejprve se prosím přihlaste pomocí Google."
auth.signIn,"UI string from auth.signIn","गूगल से लॉग इन करें"
auth.signOut,"UI string from auth.signOut","लॉग आउट"
correctChars,"UI string from correctChars","सही अक्षर संख्या: {{chars}} अक्षर"
defaultDescription,"UI string from defaultDescription",""Вверху: Тренд общего балла; Внизу: Тренд точности. Сначала увеличьте точность"
dev.savedToFirestore,"UI string from dev.savedToFirestore","रीयल-टाइम में Firestore में सहेजा गया।"
dev.stage,"UI string from dev.stage","चरण"
dev.stageOverview,"UI string from dev.stageOverview","पाँच-चरणीय अवलोकन (आसान दृश्य तुलना के लिए)"
distanceToUpgrade,"UI string from distanceToUpgrade"," wordt aangeraden om vandaag minstens {{minutes}} extra minuten in te voeren.""
effectiveDate,"UI string from effectiveDate","Hatálybalépés dátuma: 2025. szeptember 21."
error.errorOccurred,"UI string from error.errorOccurred","एक त्रुटि हुई"
error.goBack,"UI string from error.goBack","पिछली पृष्ठ पर वापस जाएं"
error.goHome,"UI string from error.goHome","होम पर वापस"
error.loadingError,"UI string from error.loadingError"," probeer het later opnieuw.""
errorRate,"UI string from errorRate","{{key}} त्रुटि दर {{percent}}%"
highestHere,"UI string from highestHere","यहाँ सबसे ऊँचा {{value}} है।"
home.aboutBody,"UI string from home.aboutBody"," mendukung berbagAI bahasa (zh-TW / zh-CN / en-US). Kami berharap dapat menyediakan lingkungan yang aman dan ramah bagi anak-anak di seluruh dunia untuk berlatih input"
home.aboutTitle,"UI string from home.aboutTitle",""
home.cards.avgAdj,"UI string from home.cards.avgAdj","औसत समग्र स्कोर (30 दिन)"
home.cards.meVsSite,"UI string from home.cards.meVsSite","मैं बनाम सभी साइटें (30 दिन)"
home.cards.players,"UI string from home.cards.players","खिलाड़ियों की संख्या"
home.cards.totalChars,"UI string from home.cards.totalChars","कुल शब्द गणना (30 दिन)"
home.ctaPractice,"UI string from home.ctaPractice","अब अभ्यास करना शुरू करें"
home.ctaTest,"UI string from home.ctaTest","परीक्षा दें"
home.googleUsersCount,"UI string from home.googleUsersCount","गूगल लॉगिन उपयोगकर्ताओं की संख्या"
home.googleUsersTooltip,"UI string from home.googleUsersTooltip",""Кількість користувачів"
