key,description,text
absoluteScale,"UI string from absoluteScale","سبز ≤{{low}}% · زرد ≤{{mid}}% · قرمز ＞{{mid}}% (درصد نشان‌دهنده نرخ خطای 'مجموع اخیر' برای آن کلید است)"
accuracy,"UI string from accuracy","دقت: {{percent}}%"
accuracyChartAriaLabel,"UI string from accuracyChartAriaLabel"," desto mer exakt är den.""
accuracyChartTitle,"UI string from accuracyChartTitle","دقت"
accuracyChartTooltip,"UI string from accuracyChartTooltip",""ऊर्ध्वाधर अक्ष: सटीकता (जितना अधिक"
actualInput,"UI string from actualInput","ورودی واقعی: {{chars}} کاراکتر"
admin.bulkTranslateTitle,"UI string from admin.bulkTranslateTitle","ثروتی از ابزارهای محلی‌سازی"
admin.description,"UI string from admin.description","این منطقه فقط برای نگهداری و مدیریت محتوا است."
admin.multiLineText,"UI string from admin.multiLineText","متن چند خطی (یک ورودی در هر خط)"
admin.sourceLanguage,"UI string from admin.sourceLanguage","زبان منبع"
admin.targetLanguage,"UI string from admin.targetLanguage","زبان هدف"
admin.title,"UI string from admin.title","داشبورد مدیریت"
admin.usageDescription,"UI string from admin.usageDescription"," at i-click ang Isagawa. Ang mga resulta ay para sa manu-manong pagsusuri lamang. Kinakailangan ang admin token upang ma-enable ang tampok na ito.""
admin.usageTitle,"UI string from admin.usageTitle","راهنمای کاربر"
auth.pleaseSignIn,"UI string from auth.pleaseSignIn",""Будь ласка"
auth.signIn,"UI string from auth.signIn","با گوگل وارد شوید"
auth.signOut,"UI string from auth.signOut","خروج"
correctChars,"UI string from correctChars","تعداد کاراکترهای صحیح: {{chars}} کاراکتر"
defaultDescription,"UI string from defaultDescription",""Taas: Pangkalahatang takbo ng iskor; Ibaba: Takbo ng katumpakan. Una"
dev.savedToFirestore,"UI string from dev.savedToFirestore","در حال ذخیره‌سازی در Firestore به صورت آنی."
dev.stage,"UI string from dev.stage","مرحله"
dev.stageOverview,"UI string from dev.stageOverview","مرور پنج مرحله‌ای (برای مقایسه بصری آسان)"
distanceToUpgrade,"UI string from distanceToUpgrade","För att nå nivå {{stage}} rekommenderas det att du skriver in minst {{minutes}} fler minuter idag."
effectiveDate,"UI string from effectiveDate",""प्रभावी तिथि: 21 सितंबर"
error.errorOccurred,"UI string from error.errorOccurred","یک خطا رخ داد"
error.goBack,"UI string from error.goBack","به صفحه قبلی برگردید"
error.goHome,"UI string from error.goHome","بازگشت به خانه"
error.loadingError,"UI string from error.loadingError",""Ett fel uppstod vid inläsning av sidan"
errorRate,"UI string from errorRate","{{key}} نرخ خطا {{percent}}%"
highestHere,"UI string from highestHere","بالاترین مقدار در اینجا {{value}} است."
home.aboutBody,"UI string from home.aboutBody",""Typesprout là một trang web luyện tập đánh máy và phát triển dành cho trẻ em từ lớp 1 đến lớp 6"
home.aboutTitle,"UI string from home.aboutTitle",""
home.cards.avgAdj,"UI string from home.cards.avgAdj","امتیاز ترکیبی متوسط (۳۰ روز)"
home.cards.meVsSite,"UI string from home.cards.meVsSite","من در برابر همه سایت‌ها (۳۰ روز)"
home.cards.players,"UI string from home.cards.players","تعداد بازیکنان"
home.cards.totalChars,"UI string from home.cards.totalChars","تعداد کل کلمات (30 روز)"
home.ctaPractice,"UI string from home.ctaPractice","همین حالا تمرین را شروع کنید"
home.ctaTest,"UI string from home.ctaTest","آزمون را انجام دهید"
home.googleUsersCount,"UI string from home.googleUsersCount","تعداد کاربران ورود با گوگل"
home.googleUsersTooltip,"UI string from home.googleUsersTooltip","गूगल खाते से लॉग इन किए गए कुल उपयोगकर्ताओं की संख्या"
home.heroSubtitle,"UI string from home.heroSubtitle",""Mỗi lần bạn gõ"
home.heroTitle,"UI string from home.heroTitle"," sadzonki rosną wysoko.""
home.howToUpgrade,"UI string from home.howToUpgrade","چگونه ارتقا دهیم؟"
