key,description,text
absoluteScale,"UI string from absoluteScale","Grön ≤{{low}}% · Gul ≤{{mid}}% · Röd ＞{{mid}}% (Procenten representerar den 'senaste kumulativa' felprocenten för den tangenten)"
accuracy,"UI string from accuracy","Noggrannhet: {{percent}}%"
accuracyChartAriaLabel,"UI string from accuracyChartAriaLabel",""Biểu đồ Xu Hướng Độ Chính Xác: Đường càng cao"
accuracyChartTitle,"UI string from accuracyChartTitle","Noggrannhet"
accuracyChartTooltip,"UI string from accuracyChartTooltip"," hoe preciezer); Horizontale as: Tijdsvolgorde. De blauwe lijn toont de veranderingen in nauwkeurigheid voor elke test.""
actualInput,"UI string from actualInput","{{chars}} tecken"
admin.bulkTranslateTitle,"UI string from admin.bulkTranslateTitle","En mängd lokalisering verktyg"
admin.description,"UI string from admin.description","Detta område är endast för underhåll och innehållshantering."
admin.multiLineText,"UI string from admin.multiLineText","Flera rader text (ett inlägg per rad)"
admin.sourceLanguage,"UI string from admin.sourceLanguage","Målspråk"
admin.targetLanguage,"UI string from admin.targetLanguage","Målspråk"
admin.title,"UI string from admin.title","Adminpanel"
admin.usageDescription,"UI string from admin.usageDescription",""Inserisci i codici delle lingue di origine e di destinazione"
admin.usageTitle,"UI string from admin.usageTitle","Användarguide"
auth.pleaseSignIn,"UI string from auth.pleaseSignIn","يرجى تسجيل الدخول باستخدام Google أولاً."
auth.signIn,"UI string from auth.signIn","Logga in med Google"
auth.signOut,"UI string from auth.signOut","Logga ut"
correctChars,"UI string from correctChars","Korrekt teckenantal: {{chars}} tecken"
defaultDescription,"UI string from defaultDescription",""Top: Tendenza del punteggio complessivo; Bottom: Tendenza dell'accuratezza. Prima"
dev.savedToFirestore,"UI string from dev.savedToFirestore","Sparad till Firestore i realtid."
dev.stage,"UI string from dev.stage","Steg"
dev.stageOverview,"UI string from dev.stageOverview","Femstegsöversikt (för enkel visuell jämförelse)"
distanceToUpgrade,"UI string from distanceToUpgrade"," disarankan untuk memasukkan setidaknya {{minutes}} menit lagi hari ini.""
effectiveDate,"UI string from effectiveDate"," 2025""
error.errorOccurred,"UI string from error.errorOccurred","Ett fel inträffade"
error.goBack,"UI string from error.goBack","Gå tillbaka till föregående sida"
error.goHome,"UI string from error.goHome","Tillbaka till Hem"
error.loadingError,"UI string from error.loadingError",""Đã xảy ra lỗi khi tải trang"
errorRate,"UI string from errorRate","{{key}} Felaktighetsgrad {{percent}}%"
highestHere,"UI string from highestHere","Det högsta här är {{value}}."
home.aboutBody,"UI string from home.aboutBody"," la compréhension et l'expression.""
home.aboutTitle,"UI string from home.aboutTitle","Om Typesprout"
home.cards.avgAdj,"UI string from home.cards.avgAdj","Genomsnittligt sammansatt betyg (30 dagar)"
home.cards.meVsSite,"UI string from home.cards.meVsSite","Jag vs Alla Sidor (30 Dagar)"
home.cards.players,"UI string from home.cards.players","Antal spelare"
home.cards.totalChars,"UI string from home.cards.totalChars","Totalt antal ord (30 dagar)"
home.ctaPractice,"UI string from home.ctaPractice","Börja öva nu"
home.ctaTest,"UI string from home.ctaTest","Ta testet"
home.googleUsersCount,"UI string from home.googleUsersCount","Antal Google-inloggade användare"
home.googleUsersTooltip,"UI string from home.googleUsersTooltip","Totaal aantal gebruikers ingelogd met Google-account"
home.heroSubtitle,"UI string from home.heroSubtitle",""Jedes Mal"
home.heroTitle,"UI string from home.heroTitle"," bibit tumbuh tinggi.""
home.howToUpgrade,"UI string from home.howToUpgrade","Hur uppgraderar man?"
home.leaderEmpty,"UI string from home.leaderEmpty","Inga data tillgängliga"
home.leaderViewFull,"UI string from home.leaderViewFull","Visa fullständiga rankningar"
home.privacyNote,"UI string from home.privacyNote","Nie zbieramy danych osobowych; dane statystyczne są używane tylko do anonimowych rankingów i opinii o nauce."
home.tabs.leader,"UI string from home.tabs.leader","Topplista Förhandsvisning"
home.tabs.visitors,"UI string from home.tabs.visitors","Besökarfördelning"
home.title,"UI string from home.title","Typesprout — Pisanie dla dzieci i wzrost drzew"
