key,description,text
absoluteScale,"UI string from absoluteScale","綠色 ≤{{low}}% · 黃色 ≤{{mid}}% · 紅色 ＞{{mid}}% （% 代表該鍵的「最近累積」錯誤率）"
accuracy,"UI string from accuracy","準確率: {{percent}}%"
accuracyChartAriaLabel,"UI string from accuracyChartAriaLabel","準確度趨勢圖：線越高，準確度越高。"
accuracyChartTitle,"UI string from accuracyChartTitle","準確度"
accuracyChartTooltip,"UI string from accuracyChartTooltip","縱軸：準確度（越高表示越精確）；橫軸：時間序列。藍線顯示每次測試的準確度變化。"
actualInput,"UI string from actualInput","實際輸入：{{chars}} 個字元"
admin.bulkTranslateTitle,"UI string from admin.bulkTranslateTitle","豐富的本地化工具"
admin.description,"UI string from admin.description","此區域僅用於維護和內容管理目的。"
admin.multiLineText,"UI string from admin.multiLineText","多行文本（每行一個條目）"
admin.sourceLanguage,"UI string from admin.sourceLanguage","來源語言"
admin.targetLanguage,"UI string from admin.targetLanguage","目標語言"
admin.title,"UI string from admin.title","管理後台"
admin.usageDescription,"UI string from admin.usageDescription","輸入來源語言和目標語言代碼，粘貼多行文本，然後點擊執行。結果僅供手動審查。此功能需要啟用管理員令牌。"
admin.usageTitle,"UI string from admin.usageTitle","使用者指南"
auth.pleaseSignIn,"UI string from auth.pleaseSignIn","請先使用 Google 登入。"
auth.signIn,"UI string from auth.signIn","使用 Google 登入"
auth.signOut,"UI string from auth.signOut","登出"
correctChars,"UI string from correctChars","正確字元數：{{chars}} 個字元"
defaultDescription,"UI string from defaultDescription","上方：整體得分趨勢；下方：準確度趨勢。首先提高準確度，然後逐漸加快速度。"
dev.savedToFirestore,"UI string from dev.savedToFirestore","已即時儲存至 Firestore。"
dev.stage,"UI string from dev.stage","階段"
dev.stageOverview,"UI string from dev.stageOverview","五階段概覽（便於視覺比較）"
distanceToUpgrade,"UI string from distanceToUpgrade","要達到等級 {{stage}}，建議今天再輸入至少 {{minutes}} 分鐘。"
effectiveDate,"UI string from effectiveDate","生效日期：2025年9月21日"
error.errorOccurred,"UI string from error.errorOccurred","發生錯誤"
error.goBack,"UI string from error.goBack","返回上一頁"
error.goHome,"UI string from error.goHome","返回首頁"
error.loadingError,"UI string from error.loadingError","載入頁面時發生錯誤，請稍後再試。"
errorRate,"UI string from errorRate","{{key}} 錯誤率 {{percent}}%"
highestHere,"UI string from highestHere","這裡的最高是{{value}}。"
home.aboutBody,"UI string from home.aboutBody","Typesprout 是一個為 1 到 6 年級孩子提供的打字練習和成長網站，支持多種語言（zh-TW / zh-CN / en-US）。我們希望為全球的孩子們提供一個安全友好的環境，以便他們練習輸入、理解和表達。"
home.aboutTitle,"UI string from home.aboutTitle","關於 Typesprout"
home.cards.avgAdj,"UI string from home.cards.avgAdj","平均綜合分數（30天）"
home.cards.meVsSite,"UI string from home.cards.meVsSite","我 vs 所有網站 (30天)"
home.cards.players,"UI string from home.cards.players","玩家人數"
home.cards.totalChars,"UI string from home.cards.totalChars","30天總字數"
home.ctaPractice,"UI string from home.ctaPractice","立即開始練習"
home.ctaTest,"UI string from home.ctaTest","參加測試"
home.googleUsersCount,"UI string from home.googleUsersCount","Google 登入用戶數量"
home.googleUsersTooltip,"UI string from home.googleUsersTooltip","使用 Google 帳戶登入的用戶總數"
home.heroSubtitle,"UI string from home.heroSubtitle","每次你打字，它都會轉化為能量來滋養你的樹，支持多種語言，並幫助建立正確的打字習慣和專注力。"
home.heroTitle,"UI string from home.heroTitle","孩子們打字，小樹苗茁壯成長。"
home.howToUpgrade,"UI string from home.howToUpgrade","如何升級？"
home.leaderEmpty,"UI string from home.leaderEmpty","沒有可用的數據"
home.leaderViewFull,"UI string from home.leaderViewFull","查看完整排名"
home.privacyNote,"UI string from home.privacyNote","不收集個人資料；統計數據僅用於匿名排名和學習反饋。"
home.tabs.leader,"UI string from home.tabs.leader","排行榜預覽"
home.tabs.visitors,"UI string from home.tabs.visitors","訪客分布"
home.title,"UI string from home.title","Typesprout — 兒童打字與樹木成長"
home.upgradeRule1,"UI string from home.upgradeRule1","登入並每天練習打字以累積時間；只需開始測試即可生成「有效輸入時間」。"
home.upgradeRule2,"UI string from home.upgradeRule2","只要你每天練習，就會累積活動；打字時間越長，進步就越快。"
home.upgradeRule3,"UI string from home.upgradeRule3","達到5級以開始產出結果（結出果實）。"
home.upgradeRule4,"UI string from home.upgradeRule4","過去5天的活動將使小樹向上或向下移動：更多的活動意味著升級，而較少的活動則意味著降級。"
home.upgradeRule5,"UI string from home.upgradeRule5","最高到第5階段；如果你能每天保持在第5階段，你將會持續成果。"
home.upgradeRule6,"UI string from home.upgradeRule6","收集的水果將根據排名提供平台獎勵；目前，測驗時間可以用來累積積分。"
home.upgradeRules,"UI string from home.upgradeRules","升級規則：在最後5天內，每天的練習將會累積；在某一天內打字的時間越長，升級就越容易。最高等級為5。"
home.visitorsDesc,"UI string from home.visitorsDesc","網站訪客和玩家的國家分佈（匿名統計）。"
howToUpgrade,"UI string from howToUpgrade","如何升級"
introduction,"UI string from introduction","歡迎來到 Typesprout！這是一個由個人開發者出於熱情創建的免費打字練習網站。我們理解您的隱私很重要，因此本政策旨在解釋我們收集了哪些數據以及我們將如何使用這些數據。"
leaderboard.classCodePlaceholder,"UI string from leaderboard.classCodePlaceholder","班級代碼"
leaderboard.tooltip,"UI string from leaderboard.tooltip","🏆 排行榜怎麼算的？&#10;• 本日排行：今天（本地時間）的成績&#10;• 昨日排行：昨天（本地時間）的成績&#10;• 上周排行：上週一到週日的成績&#10;• 上個月排行：上個月1號到月底的成績&#10;&#10;📊 分數怎麼算？&#10;• 綜合分數 = 最快速度 × 正確率 × 練習時間&#10;• 同一天多次練習會合併計算&#10;• 練習時間越長，分數越高&#10;&#10;💡 小提醒：每天練習一點點，小樹就會長大喔！"
meta.gardenDescription,"UI string from meta.gardenDescription","以打字點數推進樹的成長與獎勵。"
meta.homeDescription,"UI string from meta.homeDescription","兒童打字練習與種樹成長遊戲。支援繁體中文/簡體中文/英文"
meta.leaderboardDescription,"UI string from meta.leaderboardDescription","依語言的每日/每週/每月排行榜。"
meta.practiceDescription,"UI string from meta.practiceDescription","免費打字練習，支援輸入法與多種模式。"
meta.profileDescription,"UI string from meta.profileDescription","你的個人資訊、年級與偏好設定。"
meta.result,"UI string from meta.result","結果"
meta.resultDescription,"UI string from meta.resultDescription","你的打字測驗結果。"
meta.testDescription,"UI string from meta.testDescription","計時測驗，顯示正確率與綜合分數。"
nav.garden,"UI string from nav.garden","種樹"
nav.home,"UI string from nav.home","首頁"
nav.leaderboard,"UI string from nav.leaderboard","排行榜"
nav.practice,"UI string from nav.practice","練習"
nav.profile,"UI string from nav.profile","個人"
nav.subtitle,"UI string from nav.subtitle","兒童打字與種樹成長"
nav.test,"UI string from nav.test","測驗"
notice,"UI string from notice","請注意：本服務為非盈利性質，所有功能均「依現狀」提供。若您不同意本隱私權政策的任何條款，請立即停止使用本服務。繼續使用即代表您已閱讀、理解並同意本政策的全部內容。"
percentile,"UI string from percentile","超過約 {{percent}}% 人"
profile.chartDescription,"UI string from profile.chartDescription","上：綜合分數趨勢；下：正確率趨勢。先把正確率拉高，再慢慢變快。"
profile.classCode,"UI string from profile.classCode","班級代碼"
profile.classCodePlaceholder,"UI string from profile.classCodePlaceholder","輸入任意名稱，避免重複即可"
profile.classCodeTooltip,"UI string from profile.classCodeTooltip","全站唯一（3–50 字；不可包含 /）。用於比賽與排行榜分組；可加入最多 5 個。老師可建立新代碼；建立後會自動加入（已滿 5 不自動）。"
recentValue,"UI string from recentValue","最近 {{value}} {{trend}}"
recordNumber,"UI string from recordNumber","第 {{number}} 筆"
relativeScale,"UI string from relativeScale","相對刻度：綠 ≤30% · 黃 ≤70% · 紅 ＞70%（相對於最高錯誤鍵；依「最近累積」錯誤率計算）"
result.accuracyTooltip,"UI string from result.accuracyTooltip","正確率 = 正確字 ÷ 題目總字。注意：沒輸入的字也算在題目總字內，所以多漏字會讓正確率下降。"
result.chartDescription,"UI string from result.chartDescription","上：綜合分數趨勢；下：正確率趨勢。綜合分數把速度與正確率一起算。先把正確率提高，再慢慢變快。"
result.scoreTooltip,"UI string from result.scoreTooltip","綜合分數 = 只計正確字的輸入速度。計算方式：速度（WPM/CPM）× 正確率。用意：先把正確率練穩，再慢慢變快。"
section1.gameData.content,"UI string from section1.gameData.content","您在網站上進行的每一次打字練習成績，包括速度 (WPM)、準確度、所用時間等。這些數據會與您的匿名用戶ID關聯，用於生成您的個人歷史記錄和排行榜。"
section1.gameData.title,"UI string from section1.gameData.title","遊戲數據："
section1.googleAuth.content,"UI string from section1.googleAuth.content","當您使用 Google 帳戶登入時，我們僅會利用 Google 的認證服務來驗證您的身分並為您創建一個獨一無二的匿名用戶ID。我們不會主動請求、存取或儲存您 Google 帳戶中的任何個人隱私資料，例如您的真實姓名、地址。"
section1.googleAuth.title,"UI string from section1.googleAuth.title","Google 登入認證："
section1.principle,"UI string from section1.principle","我們秉持最簡化原則，僅收集維持服務運作所必需的資料："
section1.technicalData.googleAdsense,"UI string from section1.technicalData.googleAdsense","Google AdSense (廣告)：我們未來可能會使用 Google AdSense 來投放廣告，以支持網站的營運成本。Google 及其合作夥伴可能會使用 Cookies (例如 DoubleClick Cookie) 來根據您過去的造訪記錄向您展示個人化廣告。"
section1.technicalData.googleAnalytics,"UI string from section1.technicalData.googleAnalytics","Google Analytics：我們使用此服務分析網站流量，以了解服務的使用情況。它會收集您的 IP 位址、瀏覽器類型、作業系統、瀏覽頁面等匿名化資訊。"
section1.technicalData.title,"UI string from section1.technicalData.title","由第三方服務自動收集的技術資料："
section1.title,"UI string from section1.title","1. 我們收集的資料類型"
