key,description,text
absoluteScale,"UI string from absoluteScale","Groen ≤{{low}}% · Geel ≤{{mid}}% · Rood ＞{{mid}}% (De % vertegenwoordigt het 'recent cumulatieve' foutpercentage voor die toets)"
accuracy,"UI string from accuracy","Nauwkeurigheid: {{percent}}%"
accuracyChartAriaLabel,"UI string from accuracyChartAriaLabel",""Grafik Tren Akurasi: Semakin tinggi garisnya"
accuracyChartTitle,"UI string from accuracyChartTitle","Nauwkeurigheid"
accuracyChartTooltip,"UI string from accuracyChartTooltip","Patayong aksis: Katumpakan (mas mataas ay mas tumpak); Pahalang na aksis: Sunod-sunod na oras. Ipinapakita ng asul na linya ang mga pagbabago sa katumpakan para sa bawat pagsusulit."
actualInput,"UI string from actualInput","{{chars}} tekens"
admin.bulkTranslateTitle,"UI string from admin.bulkTranslateTitle","Een schat aan lokalisatietools"
admin.description,"UI string from admin.description","Dit gebied is alleen voor onderhoud en contentbeheer."
admin.multiLineText,"UI string from admin.multiLineText","Meerdere regels tekst (één invoer per regel)"
admin.sourceLanguage,"UI string from admin.sourceLanguage","Doeltaal"
admin.targetLanguage,"UI string from admin.targetLanguage","Doel taal"
admin.title,"UI string from admin.title","Beheerder Dashboard"
admin.usageDescription,"UI string from admin.usageDescription"," fügen Sie den mehrzeiligen Text ein und klicken Sie auf Ausführen. Die Ergebnisse sind nur zur manuellen Überprüfung gedacht. Diese Funktion erfordert ein Admin-Token"
admin.usageTitle,"UI string from admin.usageTitle","Gebruikershandleiding"
auth.pleaseSignIn,"UI string from auth.pleaseSignIn",""Пожалуйста"
auth.signIn,"UI string from auth.signIn","Log in met Google"
auth.signOut,"UI string from auth.signOut","Uitloggen"
correctChars,"UI string from correctChars","Correcte tekenaantal: {{chars}} tekens"
defaultDescription,"UI string from defaultDescription",""Oben: Gesamtpunktetrend; Unten: Genauigkeitstrend. Zuerst die Genauigkeit erhöhen"
dev.savedToFirestore,"UI string from dev.savedToFirestore","In real-time opgeslagen in Firestore."
dev.stage,"UI string from dev.stage","Fase"
dev.stageOverview,"UI string from dev.stageOverview","Vijf-fasenoverzicht (voor gemakkelijke visuele vergelijking)"
distanceToUpgrade,"UI string from distanceToUpgrade"," si consiglia di inserire almeno {{minutes}} minuti in più oggi.""
effectiveDate,"UI string from effectiveDate","تاريخ السريان: 21 سبتمبر 2025"
error.errorOccurred,"UI string from error.errorOccurred","Er is een fout opgetreden"
error.goBack,"UI string from error.goBack","Ga terug naar de vorige pagina"
error.goHome,"UI string from error.goHome","Terug naar Start"
error.loadingError,"UI string from error.loadingError",""Terjadi kesalahan saat memuat halaman"
errorRate,"UI string from errorRate","{{key}} Foutpercentage {{percent}}%"
highestHere,"UI string from highestHere","De hoogste hier is {{value}}."
home.aboutBody,"UI string from home.aboutBody",""Typesprout est un site de pratique de dactylographie et de croissance pour les enfants de la 1ère à la 6ème année"
home.aboutTitle,"UI string from home.aboutTitle","Over Typesprout"
home.cards.avgAdj,"UI string from home.cards.avgAdj","Gemiddelde samengestelde score (30 dagen)"
home.cards.meVsSite,"UI string from home.cards.meVsSite","Ik vs Alle Sites (30 Dagen)"
home.cards.players,"UI string from home.cards.players","Aantal Spelers"
home.cards.totalChars,"UI string from home.cards.totalChars","Totaal aantal woorden (30 dagen)"
home.ctaPractice,"UI string from home.ctaPractice","Begin Nu met Oefenen"
home.ctaTest,"UI string from home.ctaTest","Doe de test"
home.googleUsersCount,"UI string from home.googleUsersCount","Aantal Google Login-gebruikers"
home.googleUsersTooltip,"UI string from home.googleUsersTooltip","إجمالي عدد المستخدمين الذين سجلوا الدخول باستخدام حساب Google"
home.heroSubtitle,"UI string from home.heroSubtitle"," cela se transforme en énergie pour nourrir votre arbre"
home.heroTitle,"UI string from home.heroTitle"," i giovani alberi crEscono Alti.""
home.howToUpgrade,"UI string from home.howToUpgrade","Hoe te upgraden?"
home.leaderEmpty,"UI string from home.leaderEmpty","Geen gegevens beschikbaar"
home.leaderViewFull,"UI string from home.leaderViewFull","Bekijk Volledige Ranglijst"
home.privacyNote,"UI string from home.privacyNote","Walang nakolektang personal na data; ang estadistikang data ay ginagamit lamang para sa mga hindi nagpapakilalang ranggo at feedback sa pagkatuto."
home.tabs.leader,"UI string from home.tabs.leader","Leaderboard Voorbeeld"
home.tabs.visitors,"UI string from home.tabs.visitors","Bezoekersverdeling"
home.title,"UI string from home.title","Typesprout — Pagsusulat ng mga Bata at Paglago ng Puno"
home.upgradeRule1,"UI string from home.upgradeRule1"," чтобы накапливать время; просто начните тест"
home.upgradeRule2,"UI string from home.upgradeRule2",""Solange du jeden Tag übst"
home.upgradeRule3,"UI string from home.upgradeRule3","وصل إلى المستوى 5 لبدء تحقيق النتائج (جني الثمار)."
home.upgradeRule4,"UI string from home.upgradeRule4"," mentre meno attività significa scendere di livello.""
home.upgradeRule5,"UI string from home.upgradeRule5"," continuerAI a dare frutti.""
home.upgradeRule6,"UI string from home.upgradeRule6",""Buah yang terkumpul akan memberikan hadiah platform berdasarkan peringkat; saat ini"
home.upgradeRules,"UI string from home.upgradeRules"," plus il est facile de monter de niveau. Le niveau le plus élevé est 5.""
home.visitorsDesc,"UI string from home.visitorsDesc","Landenverdeling van websitebezoekers en spelers (anonieme statistieken)."
howToUpgrade,"UI string from howToUpgrade","Hoe te upgraden"
introduction,"UI string from introduction",""Selamat datang di Typesprout! Ini adalah situs web latihan mengetik gratis yang dibuat oleh seorang pengembang individu karena hasrat. Kami memahami bahwa privasi Anda penting"
leaderboard.classCodePlaceholder,"UI string from leaderboard.classCodePlaceholder","Klassecode"
leaderboard.tooltip,"UI string from leaderboard.tooltip"," desto höher die Punktzahl&#10;&#10;💡 Eine kleine Erinnerung: Übe jeden Tag ein wenig"
meta.gardenDescription,"UI string from meta.gardenDescription","Verhoog de groei en beloningen van de boom met typpunten."
meta.homeDescription,"UI string from meta.homeDescription","Typoefening voor kinderen en spel voor boomgroei. Ondersteunt Traditioneel Chinees / Vereenvoudigd Chinees / Engels."
meta.leaderboardDescription,"UI string from meta.leaderboardDescription","DAIly/Wekelijkse/Maandelijkse Ranglijsten per Taal."
meta.practiceDescription,"UI string from meta.practiceDescription"," supporto per metodi di input e varie modalità.""
meta.profileDescription,"UI string from meta.profileDescription",""Le tue informazioni personali"
meta.result,"UI string from meta.result","Resultaat"
meta.resultDescription,"UI string from meta.resultDescription","Jouw typetestresultaten."
meta.testDescription,"UI string from meta.testDescription"," visualizzando l'accuratezza e il punteggio complessivo.""
nav.garden,"UI string from nav.garden","Plant een boom"
nav.home,"UI string from nav.home","Startpagina"
nav.leaderboard,"UI string from nav.leaderboard","Ranglijst"
nav.practice,"UI string from nav.practice","Oefenen"
nav.profile,"UI string from nav.profile","Persoonlijk"
nav.subtitle,"UI string from nav.subtitle","Kinderen's Typen en Boomgroei"
nav.test,"UI string from nav.test","Test"
notice,"UI string from notice"," 요청하신 내용을 한국어로 번역할 수 없습니다.""
percentile,"UI string from percentile","Meer dan ongeveer {{percent}}% van de mensen"
profile.chartDescription,"UI string from profile.chartDescription",""Oben: Gesamtpunktetrend; Unten: Genauigkeitstrend. Zuerst die Genauigkeit erhöhen"
