key,description,text
absoluteScale,"UI string from absoluteScale","سبز ≤{{low}}% · پیلا ≤{{mid}}% · سرخ ＞{{mid}}% (یہ % اس کلید کے لیے 'حالیہ مجموعی' غلطی کی شرح کی نمائندگی کرتا ہے)"
accuracy,"UI string from accuracy","درستگی: {{percent}}%"
accuracyChartAriaLabel,"UI string from accuracyChartAriaLabel",""Nøyaktighetstrenddiagram: Jo høyere linjen er"
accuracyChartTitle,"UI string from accuracyChartTitle","درستگی"
accuracyChartTooltip,"UI string from accuracyChartTooltip"," उतना ही सटीक); क्षैतिज अक्ष: समय अनुक्रम। नीली रेखा प्रत्येक परीक्षण के लिए सटीकता में बदलाव दिखाती है।""
actualInput,"UI string from actualInput","حقیقی ان پٹ: {{chars}} کردار"
admin.bulkTranslateTitle,"UI string from admin.bulkTranslateTitle","ترجمے کے ٹولز کی دولت"
admin.description,"UI string from admin.description","یہ علاقہ صرف دیکھ بھال اور مواد کے انتظام کے مقاصد کے لیے ہے۔"
admin.multiLineText,"UI string from admin.multiLineText","کثیر لائن کا متن (ہر لائن میں ایک اندراج)"
admin.sourceLanguage,"UI string from admin.sourceLanguage","مُدعا زبان"
admin.targetLanguage,"UI string from admin.targetLanguage","ہدف زبان"
admin.title,"UI string from admin.title","ایڈمن ڈیش بورڈ"
admin.usageDescription,"UI string from admin.usageDescription",""Voer de bron- en doeltaalcodes in"
admin.usageTitle,"UI string from admin.usageTitle","صارف رہنمائی"
auth.pleaseSignIn,"UI string from auth.pleaseSignIn"," спочатку увійдіть за допомогою Google.""
auth.signIn,"UI string from auth.signIn","گوگل کے ساتھ لاگ ان کریں"
auth.signOut,"UI string from auth.signOut","لاگ آؤٹ"
correctChars,"UI string from correctChars","درست کرداروں کی تعداد: {{chars}} کردار"
defaultDescription,"UI string from defaultDescription"," dagdagan ang katumpakan"
dev.savedToFirestore,"UI string from dev.savedToFirestore","ریئل ٹائم میں فائر اسٹور میں محفوظ کر دیا گیا۔"
dev.stage,"UI string from dev.stage","مرحلہ"
dev.stageOverview,"UI string from dev.stageOverview","پانچ مرحلوں کا جائزہ (آسان بصری موازنہ کے لیے)"
distanceToUpgrade,"UI string from distanceToUpgrade",""For å nå nivå {{stage}}"
effectiveDate,"UI string from effectiveDate"," 2025""
error.errorOccurred,"UI string from error.errorOccurred","ایک غلطی ہوئی"
error.goBack,"UI string from error.goBack","پچھلے صفحے پر واپس جائیں"
error.goHome,"UI string from error.goHome","گھر واپس جائیں"
error.loadingError,"UI string from error.loadingError"," vänligen försök igen senare.""
errorRate,"UI string from errorRate","{{key}} غلطی کی شرح {{percent}}%"
highestHere,"UI string from highestHere","یہاں سب سے زیادہ {{value}} ہے۔"
