key,description,text
absoluteScale,"UI string from absoluteScale","সবুজ ≤{{low}}% · হলুদ ≤{{mid}}% · লাল ＞{{mid}}% (শতকরা চিহ্নটি সেই কীগুলোর 'সাম্প্রতিক সমষ্টিগত' ত্রুটি হার নির্দেশ করে)"
accuracy,"UI string from accuracy","সঠিকতা: {{percent}}%"
accuracyChartAriaLabel,"UI string from accuracyChartAriaLabel"," tym jest bardziej dokładna.""
accuracyChartTitle,"UI string from accuracyChartTitle","সঠিকতা"
accuracyChartTooltip,"UI string from accuracyChartTooltip","Вертикальна вісь: Точність (вища означає більш точну); Горизонтальна вісь: Часова послідовність. Синя лінія показує зміни в точності для кожного тесту."
actualInput,"UI string from actualInput","{{chars}} অক্ষর"
admin.bulkTranslateTitle,"UI string from admin.bulkTranslateTitle","স্থানীয়করণের সরঞ্জামের সমাহার"
admin.description,"UI string from admin.description","এই এলাকা শুধুমাত্র রক্ষণাবেক্ষণ এবং বিষয়বস্তু ব্যবস্থাপনার উদ্দেশ্যে।"
admin.multiLineText,"UI string from admin.multiLineText","একাধিক লাইন টেক্সট (প্রতি লাইনে একটি এন্ট্রি)"
admin.sourceLanguage,"UI string from admin.sourceLanguage","সূত্র ভাষা"
admin.targetLanguage,"UI string from admin.targetLanguage","লক্ষ্য ভাষা"
admin.title,"UI string from admin.title","অ্যাডমিন ড্যাশবোর্ড"
admin.usageDescription,"UI string from admin.usageDescription",""Ilagay ang mga code ng pinagmulan at target na wika"
admin.usageTitle,"UI string from admin.usageTitle","ব্যবহারকারী গাইড"
auth.pleaseSignIn,"UI string from auth.pleaseSignIn",""Kérjük"
auth.signIn,"UI string from auth.signIn","গুগলের মাধ্যমে লগ ইন করুন"
auth.signOut,"UI string from auth.signOut","লগ আউট"
correctChars,"UI string from correctChars","সঠিক অক্ষরের সংখ্যা: {{chars}} অক্ষর"
defaultDescription,"UI string from defaultDescription"," затем постепенно ускоряйтесь.""
dev.savedToFirestore,"UI string from dev.savedToFirestore","রিয়েল-টাইমে Firestore-এ সংরক্ষিত হয়েছে।"
dev.stage,"UI string from dev.stage","পর্যায়"
dev.stageOverview,"UI string from dev.stageOverview","পাঁচ-পর্যায়ের সারসংক্ষেপ (সহজ ভিজ্যুয়াল তুলনার জন্য)"
distanceToUpgrade,"UI string from distanceToUpgrade",""Aby osiągnąć poziom {{stage}}"
effectiveDate,"UI string from effectiveDate","Дата набуття чинності: 21 вересня 2025"
error.errorOccurred,"UI string from error.errorOccurred","একটি ত্রুটি ঘটেছে"
error.goBack,"UI string from error.goBack","পূর্ববর্তী পৃষ্ঠায় ফিরে যান"
error.goHome,"UI string from error.goHome","বাড়িতে ফিরে যান"
error.loadingError,"UI string from error.loadingError",""Wystąpił błąd podczas ładowania strony"
errorRate,"UI string from errorRate","{{key}} ত্রুটি হার {{percent}}%"
highestHere,"UI string from highestHere","এখানে সর্বোচ্চ হল {{value}}।"
home.aboutBody,"UI string from home.aboutBody"," pemahaman"
home.aboutTitle,"UI string from home.aboutTitle",""
home.cards.avgAdj,"UI string from home.cards.avgAdj","গড় সম্মিলিত স্কোর (30 দিন)"
home.cards.meVsSite,"UI string from home.cards.meVsSite","আমি বনাম সব সাইট (৩০ দিন)"
home.cards.players,"UI string from home.cards.players","খেলোয়াড়ের সংখ্যা"
home.cards.totalChars,"UI string from home.cards.totalChars","মোট শব্দ গণনা (30 দিন)"
home.ctaPractice,"UI string from home.ctaPractice","এখনই অনুশীলন শুরু করুন"
home.ctaTest,"UI string from home.ctaTest","পরীক্ষা দিন"
home.googleUsersCount,"UI string from home.googleUsersCount","গুগল লগইন ব্যবহারকারীর সংখ্যা"
home.googleUsersTooltip,"UI string from home.googleUsersTooltip"," які увійшли за допомогою облікового запису Google""
home.heroSubtitle,"UI string from home.heroSubtitle"," mendukung berbagAI bahasa"
home.heroTitle,"UI string from home.heroTitle"," boompjes groeien hoog.""
home.howToUpgrade,"UI string from home.howToUpgrade","আপগ্রেড কিভাবে করবেন?"
home.leaderEmpty,"UI string from home.leaderEmpty","কোনও তথ্য উপলব্ধ নেই"
home.leaderViewFull,"UI string from home.leaderViewFull","সম্পূর্ণ র‍্যাঙ্কিং দেখুন"
home.privacyNote,"UI string from home.privacyNote","कोई व्यक्तिगत डेटा एकत्र नहीं किया गया; सांख्यिकीय डेटा केवल गुमनाम रैंकिंग और सीखने की प्रतिक्रिया के लिए उपयोग किया जाता है।"
home.tabs.leader,"UI string from home.tabs.leader","লিডারবোর্ড প্রিভিউ"
home.tabs.visitors,"UI string from home.tabs.visitors","ভিজিটর বিতরণ"
home.title,"UI string from home.title","टाइपस्प्राउट — बच्चों की टाइपिंग और पेड़ की वृद्धि"
home.upgradeRule1,"UI string from home.upgradeRule1","Συνδεθείτε και εξασκηθείτε στην πληκτρολόγηση κάθε μέρα για να συγκεντρώσετε χρόνο; απλώς ξεκινήστε μια δοκιμή για να δημιουργήσετε "χρόνο αποτελεσματικής εισόδου"."
home.upgradeRule2,"UI string from home.upgradeRule2",""Если вы будете практиковаться каждый день"
home.upgradeRule3,"UI string from home.upgradeRule3"," abyste začali přinášet výsledky (sklízet plody).""
