key,description,text
absoluteScale,"UI string from absoluteScale","Hijau ≤{{low}}% · Kuning ≤{{mid}}% · Merah ＞{{mid}}% (Peratusan % mewakili kadar kesilapan 'kumulatif terkini' untuk kekunci tersebut)"
accuracy,"UI string from accuracy","Ketepatan: {{percent}}%"
accuracyChartAriaLabel,"UI string from accuracyChartAriaLabel"," hoe nauwkeuriger het is.""
accuracyChartTitle,"UI string from accuracyChartTitle","Ketepatan"
accuracyChartTooltip,"UI string from accuracyChartTooltip",""Függőleges tengely: Pontosság (minél magasabb"
actualInput,"UI string from actualInput","{{chars}} watak"
admin.bulkTranslateTitle,"UI string from admin.bulkTranslateTitle","Kekayaan alat penglokasian"
admin.description,"UI string from admin.description","Kawasan ini hanya untuk tujuan penyelenggaraan dan pengurusan kandungan."
admin.multiLineText,"UI string from admin.multiLineText","Teks berbilang baris (satu entri setiap baris)"
admin.sourceLanguage,"UI string from admin.sourceLanguage","Bahasa Sumber"
admin.targetLanguage,"UI string from admin.targetLanguage","Bahasa sasaran"
admin.title,"UI string from admin.title","Papan Pemuka Admin"
admin.usageDescription,"UI string from admin.usageDescription"," вставьте многострочный текст и нажмите Выполнить. Результаты предназначены только для ручного просмотра. Эта функция требует активации токена администратора.""
admin.usageTitle,"UI string from admin.usageTitle","Panduan Pengguna"
auth.pleaseSignIn,"UI string from auth.pleaseSignIn","Παρακαλώ συνδεθείτε πρώτα χρησιμοποιώντας το Google."
auth.signIn,"UI string from auth.signIn","Log masuk dengan Google"
auth.signOut,"UI string from auth.signOut","Log keluar"
correctChars,"UI string from correctChars","Bilangan aksara yang betul: {{chars}} aksara"
defaultDescription,"UI string from defaultDescription","ด้านบน: แนวโน้มคะแนนรวม; ด้านล่าง: แนวโน้มความแม่นยำ เริ่มต้นด้วยการเพิ่มความแม่นยำ จากนั้นค่อยๆ เพิ่มความเร็ว"
dev.savedToFirestore,"UI string from dev.savedToFirestore","Disimpan ke Firestore secara masa nyata."
dev.stage,"UI string from dev.stage","Peringkat"
dev.stageOverview,"UI string from dev.stageOverview","Gambaran Lima Peringkat (untuk perbandingan visual yang mudah)"
distanceToUpgrade,"UI string from distanceToUpgrade",""Om niveau {{stage}} te bereiken"
effectiveDate,"UI string from effectiveDate","Datum účinnosti: 21. září 2025"
error.errorOccurred,"UI string from error.errorOccurred","Ralat telah berlaku"
error.goBack,"UI string from error.goBack","Kembali ke halaman sebelumnya"
error.goHome,"UI string from error.goHome","Kembali ke Laman Utama"
error.loadingError,"UI string from error.loadingError",""Er is een fout opgetreden bij het laden van de pagina"
errorRate,"UI string from errorRate","{{key}} Kadar Ralat {{percent}}%"
highestHere,"UI string from highestHere","Yang tertinggi di sini adalah {{value}}."
home.aboutBody,"UI string from home.aboutBody",""Typesprout adalah situs praktik mengetik dan pertumbuhan untuk anak-anak di kelas 1-6"
home.aboutTitle,"UI string from home.aboutTitle",""
home.cards.avgAdj,"UI string from home.cards.avgAdj","Skor Komposit Purata (30 Hari)"
home.cards.meVsSite,"UI string from home.cards.meVsSite","Saya vs Semua Laman (30 Hari)"
home.cards.players,"UI string from home.cards.players","Bilangan Pemain"
home.cards.totalChars,"UI string from home.cards.totalChars","Jumlah Perkataan Keseluruhan (30 Hari)"
home.ctaPractice,"UI string from home.ctaPractice","Mulakan Latihan Sekarang"
home.ctaTest,"UI string from home.ctaTest","Ambil ujian"
home.googleUsersCount,"UI string from home.googleUsersCount","Bilangan Pengguna Log Masuk Google"
home.googleUsersTooltip,"UI string from home.googleUsersTooltip","A Google-fiókkal bejelentkezett felhasználók összes száma"
home.heroSubtitle,"UI string from home.heroSubtitle",""Setiap kali Anda mengetik"
home.heroTitle,"UI string from home.heroTitle"," ang mga punla ay tumataas.""
home.howToUpgrade,"UI string from home.howToUpgrade","Bagaimana untuk menaik taraf?"
home.leaderEmpty,"UI string from home.leaderEmpty","Tiada data yang tersedia"
home.leaderViewFull,"UI string from home.leaderViewFull","Lihat Peringkat Penuh"
home.privacyNote,"UI string from home.privacyNote","Не збирається жодних особистих даних; статистичні дані використовуються лише для анонімних рейтингів та зворотного зв'язку щодо навчання."
home.tabs.leader,"UI string from home.tabs.leader","Pratonton Papan Pendahulu"
home.tabs.visitors,"UI string from home.tabs.visitors","Pengagihan Pelawat"
home.title,"UI string from home.title","Typesprout — Дитячий набір тексту та зростання дерева"
home.upgradeRule1,"UI string from home.upgradeRule1","Kirjaudu sisään ja harjoittele kirjoittamista joka päivä kerryttääksesi aikaa; aloita vain testi luodaksesi "tehokasta syöttöaikaa."
home.upgradeRule2,"UI string from home.upgradeRule2"," bạn sẽ càng phát triển nhanh chóng.""
home.upgradeRule3,"UI string from home.upgradeRule3","Φτάστε στο επίπεδο 5 για να αρχίσετε να παράγετε αποτελέσματα (να αποδίδετε καρπούς)."
home.upgradeRule4,"UI string from home.upgradeRule4",""De activiteit in de laatste 5 dagen zal de kleine boom omhoog of omlaag laten gaan: meer activiteit betekent level omhoog"
home.upgradeRule5,"UI string from home.upgradeRule5",""Tot en met niveau 5; als je niveau 5 elke dag kunt volhouden"
home.upgradeRule6,"UI string from home.upgradeRule6","De insamlade frukterna kommer att ge plattformsbelöningar baserat på rankningar; för närvarande kan quiztid användas för att samla poäng."
home.upgradeRules,"UI string from home.upgradeRules"," bất kỳ bài tập nào thực hiện mỗi ngày sẽ được tích lũy; càng gõ lâu trong một ngày nhất định"
