key,description,text
absoluteScale,"UI string from absoluteScale","Πράσινο ≤{{low}}% · Κίτρινο ≤{{mid}}% · Κόκκινο ＞{{mid}}% (Το % αντιπροσωπεύει το 'πρόσφατο σωρευτικό' ποσοστό σφάλματος για αυτό το πλήκτρο)"
accuracy,"UI string from accuracy","Ακρίβεια: {{percent}}%"
accuracyChartAriaLabel,"UI string from accuracyChartAriaLabel","رسم بياني لاتجاه الدقة: كلما ارتفعت الخط، كانت الدقة أعلى."
accuracyChartTitle,"UI string from accuracyChartTitle","Ακρίβεια"
accuracyChartTooltip,"UI string from accuracyChartTooltip","Pystyakseli: Tarkkuus (korkeampi tarkoittaa tarkempaa); Vaaka-akseli: Aikajärjestys. Sininen viiva näyttää tarkkuuden muutokset jokaiselle testille."
actualInput,"UI string from actualInput","Πραγματική είσοδος: {{chars}} χαρακτήρες"
admin.bulkTranslateTitle,"UI string from admin.bulkTranslateTitle","Μια πλούσια γκάμα εργαλείων τοπικοποίησης"
admin.description,"UI string from admin.description","Αυτή η περιοχή προορίζεται μόνο για σκοπούς συντήρησης και διαχείρισης περιεχομένου."
admin.multiLineText,"UI string from admin.multiLineText","Πολυγραμμικό κείμενο (μία καταχώρηση ανά γραμμή)"
admin.sourceLanguage,"UI string from admin.sourceLanguage","Γλώσσα προέλευσης"
admin.targetLanguage,"UI string from admin.targetLanguage","Γλώσσα στόχου"
admin.title,"UI string from admin.title","Πίνακας Ελέγχου Διαχειριστή"
admin.usageDescription,"UI string from admin.usageDescription",""Nhập mã ngôn ngữ nguồn và đích"
admin.usageTitle,"UI string from admin.usageTitle","Οδηγός Χρήστη"
auth.pleaseSignIn,"UI string from auth.pleaseSignIn","Vennligst logg inn med Google først."
auth.signIn,"UI string from auth.signIn","Σύνδεση με Google"
auth.signOut,"UI string from auth.signOut","Αποσύνδεση"
correctChars,"UI string from correctChars","Σωστός αριθμός χαρακτήρων: {{chars}} χαρακτήρες"
defaultDescription,"UI string from defaultDescription"," lalu perlahan-lahan percepat.""
dev.savedToFirestore,"UI string from dev.savedToFirestore","Αποθηκεύτηκε στο Firestore σε πραγματικό χρόνο."
dev.stage,"UI string from dev.stage","Στάδιο"
dev.stageOverview,"UI string from dev.stageOverview","Πενταστάδιο Επισκόπησης (για εύκολη οπτική σύγκριση)"
distanceToUpgrade,"UI string from distanceToUpgrade"," рекомендуется ввести как минимум {{minutes}} минут сегодня.""
effectiveDate,"UI string from effectiveDate","Ikrafttrædelsesdato: 21. september 2025"
error.errorOccurred,"UI string from error.errorOccurred","Παρουσιάστηκε σφάλμα"
error.goBack,"UI string from error.goBack","Επιστροφή στην προηγούμενη σελίδα"
error.goHome,"UI string from error.goHome","Πίσω στην Αρχική"
error.loadingError,"UI string from error.loadingError"," попробуйте снова позже.""
errorRate,"UI string from errorRate","{{key}} Ποσοστό Σφαλμάτων {{percent}}%"
highestHere,"UI string from highestHere","Το υψηλότερο εδώ είναι {{value}}."
home.aboutBody,"UI string from home.aboutBody"," Verständnis und Ausdruck zu üben.""
home.aboutTitle,"UI string from home.aboutTitle",""
home.cards.avgAdj,"UI string from home.cards.avgAdj","Μέσος Σύνθετος Βαθμός (30 Ημέρες)"
home.cards.meVsSite,"UI string from home.cards.meVsSite","Εγώ εναντίον Όλων των Ιστοσελίδων (30 Ημέρες)"
home.cards.players,"UI string from home.cards.players","Αριθμός Παικτών"
home.cards.totalChars,"UI string from home.cards.totalChars","Συνολικός αριθμός λέξεων (30 ημέρες)"
home.ctaPractice,"UI string from home.ctaPractice","Ξεκίνα να εξασκείσαι τώρα"
home.ctaTest,"UI string from home.ctaTest","Κάντε τη δοκιμή"
home.googleUsersCount,"UI string from home.googleUsersCount","Αριθμός χρηστών που συνδέονται με Google"
home.googleUsersTooltip,"UI string from home.googleUsersTooltip","Google-tilillä kirjautuneiden käyttäjien kokonaismäärä"
home.heroSubtitle,"UI string from home.heroSubtitle"," korrekte Tippgewohnheiten und Konzentration aufzubauen.""
home.heroTitle,"UI string from home.heroTitle",""Дети печатают"
home.howToUpgrade,"UI string from home.howToUpgrade","Πώς να αναβαθμίσετε;"
home.leaderEmpty,"UI string from home.leaderEmpty","Δεν υπάρχουν διαθέσιμα δεδομένα"
home.leaderViewFull,"UI string from home.leaderViewFull","Δείτε πλήρη κατάταξη"
home.privacyNote,"UI string from home.privacyNote","Nu se colectează date personale; datele statistice sunt folosite doar pentru clasamente anonime și feedback de învățare."
home.tabs.leader,"UI string from home.tabs.leader","Προεπισκόπηση Κατατάξεων"
home.tabs.visitors,"UI string from home.tabs.visitors","Κατανομή Επισκεπτών"
home.title,"UI string from home.title","Typesprout — Tastare pentru copii și Creșterea copacilor"
home.upgradeRule1,"UI string from home.upgradeRule1"," aby wygenerować "efektywny czas wprowadzania".""
home.upgradeRule2,"UI string from home.upgradeRule2"," kamu akan mengumpulkan aktivitas; semakin lama kamu mengetik"
home.upgradeRule3,"UI string from home.upgradeRule3","Nå niveau 5 for at begynde at producere resultater (bære frugt)."
home.upgradeRule4,"UI string from home.upgradeRule4"," а меньше активности — понижение уровня.""
home.upgradeRule5,"UI string from home.upgradeRule5"," вы продолжите приносить плоды.""
home.upgradeRule6,"UI string from home.upgradeRule6",""Ang nakolektang prutas ay magbibigay ng mga gantimpala sa platform batay sa ranggo; sa kasalukuyan"
home.upgradeRules,"UI string from home.upgradeRules",""Aturan Upgrade: Selama 5 hari terakhir"
home.visitorsDesc,"UI string from home.visitorsDesc","Κατανομή χωρών των επισκεπτών και παικτών της ιστοσελίδας (ανώνυμες στατιστικές)."
howToUpgrade,"UI string from howToUpgrade","Πώς να αναβαθμίσετε"
introduction,"UI string from introduction"," что ваша конфиденциальность важна"
leaderboard.classCodePlaceholder,"UI string from leaderboard.classCodePlaceholder","Κωδικός Μαθήματος"
leaderboard.tooltip,"UI string from leaderboard.tooltip",""🏆 Bảng xếp hạng được tính như thế nào?&#10;• Xếp hạng hàng ngày: Hiệu suất hôm nay (theo giờ địa phương)&#10;• Xếp hạng hôm qua: Hiệu suất hôm qua (theo giờ địa phương)&#10;• Xếp hạng tuần trước: Hiệu suất từ thứ HAI đến Chủ nhật của tuần trước&#10;• Xếp hạng tháng trước: Hiệu suất từ ngày 1 đến hết tháng trước&#10;&#10;📊 Điểm số được tính như thế nào?&#10;• Điểm tổng = Tốc độ nhanh nhất × Tỷ lệ chính xác × Thời gian luyện tập&#10;• Nhiều lần luyện tập trong cùng một ngày sẽ được gộp lại để tính toán&#10;• Thời gian luyện tập càng lâu"
meta.gardenDescription,"UI string from meta.gardenDescription","Προχωρήστε την ανάπτυξη και τις ανταμοιβές του δέντρου με πόντους πληκτρολόγησης."
meta.homeDescription,"UI string from meta.homeDescription","Παιχνίδι πληκτρολόγησης για παιδιά και ανάπτυξης δέντρων. Υποστηρίζει Παραδοσιακά Κινέζικα / Απλοποιημένα Κινέζικα / Αγγλικά."
meta.leaderboardDescription,"UI string from meta.leaderboardDescription","Καθημερινές/Εβδομαδιαίες/Μηνιαίες Κατατάξεις ανά Γλώσσα."
meta.practiceDescription,"UI string from meta.practiceDescription"," поддерживающая методы ввода и различные режимы.""
meta.profileDescription,"UI string from meta.profileDescription","ข้อมูลส่วนบุคคล คะแนน และความชอบของคุณ"
meta.result,"UI string from meta.result","Αποτέλεσμα"
meta.resultDescription,"UI string from meta.resultDescription","Τα αποτελέσματα της δοκιμής πληκτρολόγησής σας."
meta.testDescription,"UI string from meta.testDescription"," отображающий точность и общий балл.""
nav.garden,"UI string from nav.garden","Φύτεψε ένα δέντρο"
nav.home,"UI string from nav.home","Αρχική"
nav.leaderboard,"UI string from nav.leaderboard","Κατάταξη"
nav.practice,"UI string from nav.practice","Προπόνηση"
nav.profile,"UI string from nav.profile","Προσωπικό"
nav.subtitle,"UI string from nav.subtitle","Πληκτρολόγηση για Παιδιά και Ανάπτυξη Δέντρων"
nav.test,"UI string from nav.test","Δοκιμή"
notice,"UI string from notice"," verstanden und akzeptiert haben.""
percentile,"UI string from percentile","Περισσότεροι από περίπου ⦿H0⦿% των ανθρώπων"
