key,description,text
absoluteScale,"UI string from absoluteScale","Berde ≤{{low}}% · Dilaw ≤{{mid}}% · Pula ＞{{mid}}% (Ang % ay kumakatawan sa 'kamakailang kabuuang' rate ng pagkakamali para sa susi na iyon)"
accuracy,"UI string from accuracy","Katatagan: {{percent}}%"
accuracyChartAriaLabel,"UI string from accuracyChartAriaLabel"," più è accurata.""
accuracyChartTitle,"UI string from accuracyChartTitle","Katumpakan"
accuracyChartTooltip,"UI string from accuracyChartTooltip","المحور العمودي: الدقة (كلما كانت أعلى، كانت أكثر دقة)؛ المحور الأفقي: تسلسل الوقت. الخط الأزرق يوضح التغيرات في الدقة لكل اختبار."
actualInput,"UI string from actualInput","{{chars}} mga karakter"
admin.bulkTranslateTitle,"UI string from admin.bulkTranslateTitle","Isang kayamanan ng mga kasangkapan sa lokalisa"
admin.description,"UI string from admin.description","Ang lugar na ito ay para lamang sa mga layunin ng pagpapanatili at pamamahala ng nilalaman."
admin.multiLineText,"UI string from admin.multiLineText","Maramihang linya ng teksto (isang entry bawat linya)"
admin.sourceLanguage,"UI string from admin.sourceLanguage","Wika ng Pinagmulan"
admin.targetLanguage,"UI string from admin.targetLanguage","Wika ng Target"
admin.title,"UI string from admin.title","Dashboard ng Admin"
admin.usageDescription,"UI string from admin.usageDescription",""Geben Sie die Quell- und Zielsprache-Codes ein"
admin.usageTitle,"UI string from admin.usageTitle","Gabay ng Gumagamit"
auth.pleaseSignIn,"UI string from auth.pleaseSignIn","กรุณาเข้าสู่ระบบโดยใช้ Google ก่อนค่ะ。"
auth.signIn,"UI string from auth.signIn","Mag-log in gamit ang Google"
auth.signOut,"UI string from auth.signOut","Mag-logout"
correctChars,"UI string from correctChars","Tamang bilang ng karakter: {{chars}} mga karakter"
defaultDescription,"UI string from defaultDescription"," puis accélérez progressivement.""
dev.savedToFirestore,"UI string from dev.savedToFirestore","Naka-save sa Firestore nang real-time."
dev.stage,"UI string from dev.stage","Yugto"
dev.stageOverview,"UI string from dev.stageOverview","Limang-Yugto na Pangkalahatang-ideya (para sa madaling biswal na paghahambing)"
distanceToUpgrade,"UI string from distanceToUpgrade",""Per raggiungere il livello {{stage}}"
effectiveDate,"UI string from effectiveDate","Дата вступления в силу: 21 сентября 2025 года"
error.errorOccurred,"UI string from error.errorOccurred","Nagkaroon ng error"
error.goBack,"UI string from error.goBack","Bumalik sa nakaraang pahina"
error.goHome,"UI string from error.goHome","Bumalik sa Tahanan"
error.loadingError,"UI string from error.loadingError"," per favore riprova più tardi.""
errorRate,"UI string from errorRate","{{key}} Rate ng Error {{percent}}%"
highestHere,"UI string from highestHere","Ang pinakamataas dito ay {{value}}."
home.aboutBody,"UI string from home.aboutBody"," 이해 및 표현을 연습할 수 있는 안전하고 친근한 환경을 제공하기를 희망합니다.""
home.aboutTitle,"UI string from home.aboutTitle","Tungkol sa Typesprout"
home.cards.avgAdj,"UI string from home.cards.avgAdj","Average Composite Score (30 Araw)"
home.cards.meVsSite,"UI string from home.cards.meVsSite","Ako vs Lahat ng Site (30 Araw)"
home.cards.players,"UI string from home.cards.players","Bilang ng mga Manlalaro"
home.cards.totalChars,"UI string from home.cards.totalChars","Kabuuang Bilang ng mga Salita (30 Araw)"
home.ctaPractice,"UI string from home.ctaPractice","Simulan ang Pagsasanay Ngayon"
home.ctaTest,"UI string from home.ctaTest","Kumuha ng pagsusulit"
home.googleUsersCount,"UI string from home.googleUsersCount","Bilang ng mga Gumagamit ng Google Login"
home.googleUsersTooltip,"UI string from home.googleUsersTooltip"," вошедших с помощью учетной записи Google""
home.heroSubtitle,"UI string from home.heroSubtitle",""Chaque fois que vous tapez"
home.heroTitle,"UI string from home.heroTitle",""I bambini digitano"
home.howToUpgrade,"UI string from home.howToUpgrade","Paano mag-upgrade?"
home.leaderEmpty,"UI string from home.leaderEmpty","Walang magagamit na data"
home.leaderViewFull,"UI string from home.leaderViewFull","Tingnan ang Buong Ranggo"
