key,description,text
absoluteScale,"UI string from absoluteScale","Verde ≤{{low}}% · Amarillo ≤{{mid}}% · Rojo ＞{{mid}}% (El % representa la tasa de error 'cumulativa reciente' para esa tecla)"
accuracy,"UI string from accuracy","Precisión: {{percent}}%"
accuracyChartAriaLabel,"UI string from accuracyChartAriaLabel"," the more accurate it is.""
accuracyChartTitle,"UI string from accuracyChartTitle","Precisión"
accuracyChartTooltip,"UI string from accuracyChartTooltip","Eje vertical: Precisión (más Alto significa más preciso); Eje horizontal: Secuencia de tiempo. La línea azul muestra los cambios en la precisión para cada prueba."
actualInput,"UI string from actualInput","Entrada actual: {{chars}} caracteres"
admin.bulkTranslateTitle,"UI string from admin.bulkTranslateTitle","Una gran cantidad de herramientas de localización"
admin.description,"UI string from admin.description","Esta área es solo para fines de mantenimiento y gestión de contenido."
admin.multiLineText,"UI string from admin.multiLineText","Texto de varias líneas (una entrada por línea)"
admin.sourceLanguage,"UI string from admin.sourceLanguage","Idioma de origen"
admin.targetLanguage,"UI string from admin.targetLanguage","Idioma objetivo"
admin.title,"UI string from admin.title","Panel de Administración"
admin.usageDescription,"UI string from admin.usageDescription"," paste the multiline text"
admin.usageTitle,"UI string from admin.usageTitle","? Guía del usuario"
auth.pleaseSignIn,"UI string from auth.pleaseSignIn",""Por favor"
auth.signIn,"UI string from auth.signIn","Iniciar sesión con Google"
auth.signOut,"UI string from auth.signOut","Cerrar sesión"
correctChars,"UI string from correctChars","Recuento de caracteres correcto: {{chars}} caracteres"
defaultDescription,"UI string from defaultDescription"," increase the accuracy"
dev.savedToFirestore,"UI string from dev.savedToFirestore","Guardado en Firestore en tiempo real."
dev.stage,"UI string from dev.stage","Escenario"
dev.stageOverview,"UI string from dev.stageOverview","Resumen de Cinco Etapas (para una fácil comparación visual)"
distanceToUpgrade,"UI string from distanceToUpgrade"," it's recommended to input at least {{minutes}} more minutes today.""
effectiveDate,"UI string from effectiveDate"," 2025""
error.errorOccurred,"UI string from error.errorOccurred","Ocurrió un error"
error.goBack,"UI string from error.goBack","Regresar a la página anterior"
error.goHome,"UI string from error.goHome","Regresar a Inicio"
error.loadingError,"UI string from error.loadingError"," please try agAIn later.""
errorRate,"UI string from errorRate","{{key}} Tasa de Error {{percent}}%"
highestHere,"UI string from highestHere","El más Alto aquí es {{value}}."
home.aboutBody,"UI string from home.aboutBody"," supporting multiple languages (zh-TW / zh-CN / en-US). We hope to provide a safe and friendly environment for kids around the world to practice input"
home.aboutTitle,"UI string from home.aboutTitle","Acerca de Typesprout"
home.cards.avgAdj,"UI string from home.cards.avgAdj","Puntuación Compuesta Promedio (30 Días)"
home.cards.meVsSite,"UI string from home.cards.meVsSite","Yo vs Todos los Sitios (30 Días)"
home.cards.players,"UI string from home.cards.players","Número de Jugadores"
home.cards.totalChars,"UI string from home.cards.totalChars","Total de palabras (30 días)"
home.ctaPractice,"UI string from home.ctaPractice","Comienza a practicar ahora"
home.ctaTest,"UI string from home.ctaTest","Realiza la prueba"
home.googleUsersCount,"UI string from home.googleUsersCount","Número de usuarios que inician sesión con Google"
home.googleUsersTooltip,"UI string from home.googleUsersTooltip","Número total de usuarios que han iniciado sesión con una cuenta de Google"
home.heroSubtitle,"UI string from home.heroSubtitle"," it transforms into energy to nourish your tree"
home.heroTitle,"UI string from home.heroTitle"," saplings grow tall.""
home.howToUpgrade,"UI string from home.howToUpgrade","¿Cómo actualizar?"
home.leaderEmpty,"UI string from home.leaderEmpty","No hay datos disponibles"
home.leaderViewFull,"UI string from home.leaderViewFull","Ver Clasificación Completa"
home.privacyNote,"UI string from home.privacyNote","No se recopilan datos personales; los datos estadísticos se utilizan solo para clasificaciones anónimas y retroalimentación de aprendizaje."
home.tabs.leader,"UI string from home.tabs.leader","Vista previa de la Tabla de clasificación"
home.tabs.visitors,"UI string from home.tabs.visitors","Distribución de Visitantes"
home.title,"UI string from home.title","Typesprout — Escritura para Niños y Crecimiento de Árboles"
home.upgradeRule1,"UI string from home.upgradeRule1","Inicia sesión y practica Escribir todos los días para acumular tiempo; solo comienza una prueba para generar "tiempo de entrada efectiva"."
home.upgradeRule2,"UI string from home.upgradeRule2"," you'll accumulate activity; the longer you type"
home.upgradeRule3,"UI string from home.upgradeRule3","Alcanza el nivel 5 para comenzar a producir resultados (dar frutos)."
home.upgradeRule4,"UI string from home.upgradeRule4"," while less activity means leveling down.""
home.upgradeRule5,"UI string from home.upgradeRule5"," you will continue to bear fruit.""
home.upgradeRule6,"UI string from home.upgradeRule6"," quiz time can be used to accumulate points.""
home.upgradeRules,"UI string from home.upgradeRules"," any practice done each day will accumulate; the longer you type on a given day"
home.visitorsDesc,"UI string from home.visitorsDesc","Distribución por país de los visitantes del sitio web y jugadores (estadísticas anónimas)."
howToUpgrade,"UI string from howToUpgrade","Cómo actualizar"
introduction,"UI string from introduction"," so this policy AIms to explAIn what data we collect and how we will use that data.""
leaderboard.classCodePlaceholder,"UI string from leaderboard.classCodePlaceholder","Código de Clase"
leaderboard.tooltip,"UI string from leaderboard.tooltip"," the higher the score&#10;&#10;💡 A little reminder: Practice a little every day"
meta.gardenDescription,"UI string from meta.gardenDescription","Avanza el crecimiento y las recompensas del árbol con puntos de Escritura."
meta.homeDescription,"UI string from meta.homeDescription","Juego de práctica de mecanografía para niños y crecimiento de árboles. Soporta chino tradicional / chino simplificado / inglés."
meta.leaderboardDescription,"UI string from meta.leaderboardDescription","Clasificaciones diarias/semanales/mensuales por idioma."
meta.practiceDescription,"UI string from meta.practiceDescription"," supporting input methods and various modes.""
meta.profileDescription,"UI string from meta.profileDescription"," grade"
meta.result,"UI string from meta.result","Resultado"
meta.resultDescription,"UI string from meta.resultDescription","Tus resultados de la prueba de Escritura."
meta.testDescription,"UI string from meta.testDescription"," displaying accuracy and overall score.""
nav.garden,"UI string from nav.garden","Planta un árbol"
nav.home,"UI string from nav.home","Inicio"
nav.leaderboard,"UI string from nav.leaderboard","Tabla de clasificación"
nav.practice,"UI string from nav.practice","Práctica"
nav.profile,"UI string from nav.profile","Personal"
nav.subtitle,"UI string from nav.subtitle","Escritura para Niños y Crecimiento de Árboles"
nav.test,"UI string from nav.test","Prueba"
notice,"UI string from notice"," please stop using this service immediately. Continuing to use the service means you have read"
percentile,"UI string from percentile","Más de aproximadamente {{percent}}% de las personas"
profile.chartDescription,"UI string from profile.chartDescription"," increase the accuracy"
profile.classCode,"UI string from profile.classCode","Código de Clase"
profile.classCodePlaceholder,"UI string from profile.classCodePlaceholder"," just avoid duplicates.""
profile.classCodeTooltip,"UI string from profile.classCodeTooltip"," they will be automatically added (not automatically if already at 5).""
recentValue,"UI string from recentValue","Recientemente {{value}} {{trend}}"
recordNumber,"UI string from recordNumber","Artículo {{number}}"
relativeScale,"UI string from relativeScale","Escala Relativa: Verde ≤30% · Amarillo ≤70% · Rojo ＞70% (relativo a la tecla de error más Alta; calculado en base a la tasa de error "cumulativa más reciente")"
result.accuracyTooltip,"UI string from result.accuracyTooltip"," so missing characters will lower the accuracy.""
result.chartDescription,"UI string from result.chartDescription"," improve accuracy"
result.scoreTooltip,"UI string from result.scoreTooltip"," then gradually increase speed.""
section1.gameData.content,"UI string from section1.gameData.content"," including speed (WPM)"
section1.gameData.title,"UI string from section1.gameData.title","Datos del juego:"
section1.googleAuth.content,"UI string from section1.googleAuth.content"," we will only use Google's authentication service to verify your identity and create a unique anonymous user ID for you. We will not actively request"
section1.googleAuth.title,"UI string from section1.googleAuth.title","Autenticación de inicio de sesión de Google:"
section1.principle,"UI string from section1.principle","Nos adherimos al principio de simplificación y solo recopilamos los datos necesarios para mantener el funcionamiento de nuestros servicios:"
section1.technicalData.googleAdsense,"UI string from section1.technicalData.googleAdsense","Google AdSense (Anuncios): Es posible que en el futuro usemos Google AdSense para mostrar anuncios que apoyen los costos operativos del sitio web. Google y sus socios pueden usar Cookies (como la Cookie de DoubleClick) para mostrarte anuncios personalizados basados en tu historial de navegación anterior."
section1.technicalData.googleAnalytics,"UI string from section1.technicalData.googleAnalytics"," browser type"
section1.technicalData.title,"UI string from section1.technicalData.title","Datos técnicos recopilados automáticamente por servicios de terceros:"
section1.title,"UI string from section1.title","1. Tipos de datos que recopilamos"
section1.voluntaryInfo.content,"UI string from section1.voluntaryInfo.content"," professional field"
section1.voluntaryInfo.title,"UI string from section1.voluntaryInfo.title","El usuario proporcionó voluntariamente información imprecisa (opcional):"
section2.coreFunction,"UI string from section2.coreFunction"," used to record your scores"
section2.experienceOptimization,"UI string from section2.experienceOptimization"," occupation"
section2.serviceMaintenance,"UI string from section2.serviceMaintenance","Mantenimiento del servicio: Los datos técnicos recopilados a través de Google Analytics nos ayudan a entender el rendimiento del sitio web y a solucionar posibles problemas."
section2.statisticalAnalysis,"UI string from section2.statisticalAnalysis","Análisis Estadístico: Anonimizaremos y agregaremos toda la información proporcionada voluntariamente por los usuarios para entender el perfil general del grupo de usuarios y mejorar nuestros servicios."
section2.title,"UI string from section2.title","2. Cómo usamos tus datos"
section3.crossBorderTransfer,"UI string from section3.crossBorderTransfer"," the United States). By using this service"
section3.dataRetention,"UI string from section3.dataRetention"," we cannot guarantee the permanent storage of data. We reserve the right to Delete some or all user data without prior notice.""
section3.storageLocation,"UI string from section3.storageLocation"," while your game data and voluntarily provided information are stored in a daTabase on Google Firebase.""
section3.title,"UI string from section3.title","3. Almacenamiento de Datos y Transferencia Transfronteriza"
section4.advertisingCookies,"UI string from section4.advertisingCookies"," if we enable Google AdSense"
section4.functionalCookies,"UI string from section4.functionalCookies","Cookies funcionales: Usamos cookies para mantener tu estado de inicio de sesión."
section4.title,"UI string from section4.title","4. Acerca de las Cookies y la Publicidad"
section5.contactChannel,"UI string from section5.contactChannel"," correction"
section5.githubLink,"UI string from section5.githubLink","https://github.com/yveschen001/typesprout-pubic/issues"
section5.importantReminder,"UI string from section5.importantReminder"," please do not include any personally identifiable information in the content of the Issue"
section5.responseTime,"UI string from section5.responseTime"," we will respond as soon as possible within our capabilities. Thank you for your patience and understanding.""
section5.title,"UI string from section5.title","5. Tus Derechos y Información de Contacto"
speedChartAriaLabel,"UI string from speedChartAriaLabel"," the better the performance.""
speedChartTitle,"UI string from speedChartTitle","Puntuación general (Velocidad correcta)"
speedChartTooltip,"UI string from speedChartTooltip"," the better); Horizontal Axis: Time Sequence. The green line represents the speed based only on correct words"
speedScore,"UI string from speedScore","Puntuación General: {{score}}"
terms.footer,"UI string from terms.footer","© 2025 Typesprout. Todos los derechos reservados."
terms.lastUpdated,"UI string from terms.lastUpdated"," 2025""
terms.section1.content1,"UI string from terms.section1.content1"," non-profit project mAIntAIned by individual developers"
