key,description,text
absoluteScale,"UI string from absoluteScale","绿 ≤{{low}}% · 黄 ≤{{mid}}% · 红 ＞{{mid}}%（% 为该键『最近累积』错误率）"
accuracy,"UI string from accuracy","正确率：{{percent}}%"
accuracyChartAriaLabel,"UI string from accuracyChartAriaLabel","正确率趋势图：线越高代表越准"
accuracyChartTitle,"UI string from accuracyChartTitle","正确率"
accuracyChartTooltip,"UI string from accuracyChartTooltip","纵轴：正确率（越高代表越准）；横轴：时间顺序。蓝线显示每次测验的正确率变化。"
actualInput,"UI string from actualInput","实际输入：{{chars}} 字"
admin.bulkTranslateTitle,"UI string from admin.bulkTranslateTitle","大量在地化工具"
admin.description,"UI string from admin.description","此区仅供维运与内容管理使用。"
admin.multiLineText,"UI string from admin.multiLineText","多行文字（每行一笔）"
admin.sourceLanguage,"UI string from admin.sourceLanguage","来源语言"
admin.targetLanguage,"UI string from admin.targetLanguage","目标语言"
admin.title,"UI string from admin.title","管理后台"
admin.usageDescription,"UI string from admin.usageDescription","输入来源与目标语言代码，贴上多行文字后按下执行，结果仅供人工复核。此功能需管理权杖启用。"
admin.usageTitle,"UI string from admin.usageTitle","？ 使用说明"
auth.pleaseSignIn,"UI string from auth.pleaseSignIn","请先使用 Google 登入"
auth.signIn,"UI string from auth.signIn","使用 Google 登入"
auth.signOut,"UI string from auth.signOut","登出"
correctChars,"UI string from correctChars","正确字数：{{chars}} 字"
defaultDescription,"UI string from defaultDescription","上：综合分数趋势；下：正确率趋势。先把正确率拉高，再慢慢变快。"
dev.savedToFirestore,"UI string from dev.savedToFirestore","已即时储存至 Firestore"
dev.stage,"UI string from dev.stage","阶段"
dev.stageOverview,"UI string from dev.stageOverview","五阶段总览（便于比对外观）"
distanceToUpgrade,"UI string from distanceToUpgrade","距离升到 阶段 {{stage}}，建议今天至少再有效输入 {{minutes}} 分钟。"
effectiveDate,"UI string from effectiveDate","生效日期：2025年9月21日"
error.errorOccurred,"UI string from error.errorOccurred","发生错误"
error.goBack,"UI string from error.goBack","返回上一页"
error.goHome,"UI string from error.goHome","回到首页"
error.loadingError,"UI string from error.loadingError","载入页面时发生错误，请稍后再试。"
errorRate,"UI string from errorRate","{{key}} 错误率 {{percent}}%"
highestHere,"UI string from highestHere","这里最高 {{value}}"
home.aboutBody,"UI string from home.aboutBody","TypeSprout 是面向 1–6 年级儿童的打字练习与成长网站，支援多语系（zh‑TW / zh‑CN / en‑US），希望让全世界的小朋友都能在安全与友善的环境练习输入、理解与表达。"
home.aboutTitle,"UI string from home.aboutTitle","关于 TypeSprout"
home.cards.avgAdj,"UI string from home.cards.avgAdj","平均综合分数（30 天）"
home.cards.meVsSite,"UI string from home.cards.meVsSite","我 vs 全站（30 天）"
home.cards.players,"UI string from home.cards.players","玩家数"
home.cards.totalChars,"UI string from home.cards.totalChars","总字数（30 天）"
home.ctaPractice,"UI string from home.ctaPractice","立即开始练习"
home.ctaTest,"UI string from home.ctaTest","进行测验"
