key,description,text
absoluteScale,"UI string from absoluteScale","Green ≤{{low}}% · Yellow ≤{{mid}}% · Red ＞{{mid}}% (เปอร์เซ็นต์นี้แสดงถึงอัตราความผิดพลาด 'สะสมล่าสุด' สำหรับคีย์นั้น)"
accuracy,"UI string from accuracy","ความแม่นยำ: {{percent}}%"
accuracyChartAriaLabel,"UI string from accuracyChartAriaLabel",""Genauigkeits-Trenddiagramm: Je höher die Linie"
accuracyChartTitle,"UI string from accuracyChartTitle","ความแม่นยำ"
accuracyChartTooltip,"UI string from accuracyChartTooltip","Trục dọc: Độ chính xác (cao hơn có nghĩa là chính xác hơn); Trục ngang: Chuỗi thời gian. Đường màu xanh cho thấy sự thay đổi trong độ chính xác cho mỗi bài kiểm tra."
actualInput,"UI string from actualInput","ข้อมูลที่แท้จริง: {{chars}} ตัวอักษร"
admin.bulkTranslateTitle,"UI string from admin.bulkTranslateTitle","เครื่องมือการปรับแต่งที่หลากหลาย"
admin.description,"UI string from admin.description","พื้นที่นี้ใช้สำหรับการบำรุงรักษาและการจัดการเนื้อหาเท่านั้น。"
admin.multiLineText,"UI string from admin.multiLineText","ข้อความหลายบรรทัด (หนึ่งรายการต่อหนึ่งบรรทัด)"
admin.sourceLanguage,"UI string from admin.sourceLanguage","ภาษาอังกฤษ"
admin.targetLanguage,"UI string from admin.targetLanguage","ภาษาเป้าหมาย"
admin.title,"UI string from admin.title","แดชบอร์ดผู้ดูแลระบบ"
admin.usageDescription,"UI string from admin.usageDescription",""Entrez les codes de langue source et cible"
admin.usageTitle,"UI string from admin.usageTitle","? คู่มือผู้ใช้"
auth.pleaseSignIn,"UI string from auth.pleaseSignIn"," accedi prima utilizzando Google.""
auth.signIn,"UI string from auth.signIn","เข้าสู่ระบบด้วย Google"
auth.signOut,"UI string from auth.signOut","ออกจากระบบ"
correctChars,"UI string from correctChars","จำนวนตัวอักษรที่ถูกต้อง: {{chars}} ตัวอักษร"
defaultDescription,"UI string from defaultDescription","상단: 전체 점수 추세; 하단: 정확도 추세. 먼저 정확도를 높인 후 점차 속도를 높이세요."
dev.savedToFirestore,"UI string from dev.savedToFirestore","บันทึกลง Firestore แบบเรียลไทม์。"
dev.stage,"UI string from dev.stage","เวที"
dev.stageOverview,"UI string from dev.stageOverview","ภาพรวมห้าขั้นตอน (เพื่อการเปรียบเทียบที่ง่าย)"
distanceToUpgrade,"UI string from distanceToUpgrade",""Um Level {{stage}} zu erreichen"
effectiveDate,"UI string from effectiveDate",""Ngày có hiệu lực: 21 tháng 9"
error.errorOccurred,"UI string from error.errorOccurred","เกิดข้อผิดพลาด"
error.goBack,"UI string from error.goBack","กลับไปยังหน้าก่อนหน้า"
error.goHome,"UI string from error.goHome","กลับไปที่หน้าแรก"
error.loadingError,"UI string from error.loadingError",""Beim Laden der Seite ist ein Fehler aufgetreten"
errorRate,"UI string from errorRate","{{key}} อัตราความผิดพลาด {{percent}}%"
highestHere,"UI string from highestHere","ค่าที่สูงที่สุดที่นี่คือ {{value}}."
home.aboutBody,"UI string from home.aboutBody","Typesproutは、1年生から6年生の子供向けのタイピング練習と成長のためのウェブサイトであり、複数の言語（zh-TW / zh-CN / en-US）をサポートしています。私たちは、世界中の子供たちが入力、理解、表現を練習できる安全で友好的な環境を提供できることを願っています。"
home.aboutTitle,"UI string from home.aboutTitle","เกี่ยวกับ Typesprout"
home.cards.avgAdj,"UI string from home.cards.avgAdj","คะแนนรวมเฉลี่ย (30 วัน)"
home.cards.meVsSite,"UI string from home.cards.meVsSite","ฉัน vs ทุกเว็บไซต์ (30 วัน)"
home.cards.players,"UI string from home.cards.players","จำนวนผู้เล่น"
home.cards.totalChars,"UI string from home.cards.totalChars","จำนวนคำรวม (30 วัน)"
home.ctaPractice,"UI string from home.ctaPractice","เริ่มฝึกฝนตอนนี้"
home.ctaTest,"UI string from home.ctaTest","ทำแบบทดสอบ"
home.googleUsersCount,"UI string from home.googleUsersCount","จำนวนผู้ใช้ที่เข้าสู่ระบบด้วย Google"
home.googleUsersTooltip,"UI string from home.googleUsersTooltip","Tổng số người dùng đã đăng nhập bằng tài khoản Google"
home.heroSubtitle,"UI string from home.heroSubtitle","あなたがタイプするたびに、それはエネルギーに変わり、あなたの木を育てるための栄養となります。複数の言語をサポートし、正しいタイピング習慣と集中力を育む手助けをします。"
home.heroTitle,"UI string from home.heroTitle"," les jeunes arbres poussent haut.""
home.howToUpgrade,"UI string from home.howToUpgrade","วิธีการอัปเกรด?"
home.leaderEmpty,"UI string from home.leaderEmpty","ไม่มีข้อมูลที่พร้อมใช้งาน"
home.leaderViewFull,"UI string from home.leaderViewFull","ดูอันดับทั้งหมด"
home.privacyNote,"UI string from home.privacyNote","Không thu thập dữ liệu cá nhân; dữ liệu thống kê chỉ được sử dụng cho xếp hạng ẩn danh và phản hồi học tập."
home.tabs.leader,"UI string from home.tabs.leader","ตัวอย่างกระดานผู้นำ"
home.tabs.visitors,"UI string from home.tabs.visitors","การกระจายผู้เข้าชม"
home.title,"UI string from home.title","Typesprout — การพิมพ์สำหรับเด็กและการเติบโตของต้นไม้"
home.upgradeRule1,"UI string from home.upgradeRule1","Masuk dan latih mengetik setiap hari untuk mengumpulkan waktu; cukup mulAI ujian untuk menghasilkan "waktu input yang efektif"."
home.upgradeRule2,"UI string from home.upgradeRule2","매일 연습하기만 하면 활동이 쌓일 것입니다. 타이핑을 오래 할수록 더 빠르게 성장할 수 있습니다."
home.upgradeRule3,"UI string from home.upgradeRule3","Đạt cấp độ 5 để bắt đầu tạo ra kết quả (đơm hoa kết trái)."
home.upgradeRule4,"UI string from home.upgradeRule4"," tandis que moins d'activité signifie dEscendre de niveau.""
home.upgradeRule5,"UI string from home.upgradeRule5"," vous continuerez à porter des fruits.""
home.upgradeRule6,"UI string from home.upgradeRule6",""Die gesammelten Früchte bieten Plattformbelohnungen basierend auf den Ranglisten; derzeit kann die Quizzeit genutzt werden"
home.upgradeRules,"UI string from home.upgradeRules",""업그레이드 규칙: 마지막 5일 동안"
home.visitorsDesc,"UI string from home.visitorsDesc","การกระจายประเทศของผู้เข้าชมเว็บไซต์และผู้เล่น (สถิติที่ไม่ระบุชื่อ)"
howToUpgrade,"UI string from howToUpgrade","วิธีการอัปเกรด"
introduction,"UI string from introduction"," donc cette politique vise à expliquer quelles données nous collectons et comment nous utiliserons ces données.""
leaderboard.classCodePlaceholder,"UI string from leaderboard.classCodePlaceholder","รหัสคลาส"
leaderboard.tooltip,"UI string from leaderboard.tooltip",""🏆 Comment le classement est-il calculé ?&#10;• Classement quotidien : Performance d'aujourd'hui (heure locale)&#10;• Classement d'hier : Performance d'hier (heure locale)&#10;• Classement de la semAIne dernière : Performance du lundi au dimanche de la semAIne dernière&#10;• Classement du mois dernier : Performance du 1er à la fin du mois dernier&#10;&#10;📊 Comment le score est-il calculé ?&#10;• Score global = Vitesse la plus rAPIde × Taux de précision × Temps de pratique&#10;• Plusieurs pratiques le même jour seront combinées pour le calcul&#10;• Plus le temps de pratique est long"
meta.gardenDescription,"UI string from meta.gardenDescription","ส่งเสริมการเติบโตและรางวัลของต้นไม้ด้วยคะแนนการพิมพ์"
meta.homeDescription,"UI string from meta.homeDescription","เกมฝึกพิมพ์สำหรับเด็กและเกมการเติบโตของต้นไม้ รองรับภาษาจีนตัวเต็ม / จีนตัวย่อ / ภาษาอังกฤษ"
meta.leaderboardDescription,"UI string from meta.leaderboardDescription","DAIly/Weekly/Monthly การจัดอันดับตามภาษา"
meta.practiceDescription,"UI string from meta.practiceDescription"," prenant en charge les méthodes de sAIsie et divers modes.""
meta.profileDescription,"UI string from meta.profileDescription",""Vos informations personnelles"
meta.result,"UI string from meta.result","ผลลัพธ์"
meta.resultDescription,"UI string from meta.resultDescription","ผลการทดสอบการพิมพ์ของคุณ。"
meta.testDescription,"UI string from meta.testDescription"," affichant la précision et le score global.""
nav.garden,"UI string from nav.garden","ปลูกต้นไม้"
nav.home,"UI string from nav.home","บ้าน"
nav.leaderboard,"UI string from nav.leaderboard","กระดานคะแนน"
nav.practice,"UI string from nav.practice","ฝึกฝน"
nav.profile,"UI string from nav.profile","ส่วนตัว"
nav.subtitle,"UI string from nav.subtitle","การพิมพ์สำหรับเด็กและการเติบโตของต้นไม้"
nav.test,"UI string from nav.test","ทดสอบ"
notice,"UI string from notice"," pare de usar este serviço imediatamente. Continuar a usar o serviço significa que você leu"
percentile,"UI string from percentile","มากกว่าประมาณ {{percent}}% ของผู้คน"
profile.chartDescription,"UI string from profile.chartDescription","상단: 전체 점수 추세; 하단: 정확도 추세. 먼저 정확도를 높인 후 점차 속도를 높이세요."
profile.classCode,"UI string from profile.classCode","รหัสคลาส"
profile.classCodePlaceholder,"UI string from profile.classCodePlaceholder"," évitez simplement les doublons.""
profile.classCodeTooltip,"UI string from profile.classCodeTooltip"," ils seront ajoutés automatiquement (pas automatiquement si déjà à 5).""
recentValue,"UI string from recentValue","เมื่อเร็ว ๆ นี้ {{value}} {{trend}}"
recordNumber,"UI string from recordNumber","รายการ {{number}}"
relativeScale,"UI string from relativeScale","Tỷ lệ tương đối: Xanh ≤30% · Vàng ≤70% · Đỏ ＞70% (so với phím lỗi cao nhất; được tính toán dựa trên tỷ lệ lỗi "tích lũy gần đây nhất")"
result.accuracyTooltip,"UI string from result.accuracyTooltip",""Précision = Caractères Corrects ÷ Total des Caractères dans l'Invite. Remarque : Les Caractères Non SAIsis sont également comptés dans le total des caractères"
result.chartDescription,"UI string from result.chartDescription",""상단: 전체 점수 추세; 하단: 정확도 추세. 전체 점수는 속도와 정확도를 결합한 것입니다. 먼저 정확도를 향상시키고"
result.scoreTooltip,"UI string from result.scoreTooltip"," die nur auf korrekten Zeichen basiert. Berechnungsmethode: GEschwindigkeit (WPM/CPM) × Genauigkeitsrate. Zweck: Zuerst die Genauigkeitsrate zu sTabilisieren und dann schrittweise die GEschwindigkeit zu erhöhen.""
section1.gameData.content,"UI string from section1.gameData.content"," incluindo velocidade (WPM)"
section1.gameData.title,"UI string from section1.gameData.title","ข้อมูลเกม:"
section1.googleAuth.content,"UI string from section1.googleAuth.content"," usaremos apenas o serviço de autenticação do Google para verificar sua identidade e criar um ID de usuário anônimo exclusivo para você. Não solicitaremos"
section1.googleAuth.title,"UI string from section1.googleAuth.title","การตรวจสอบสิทธิ์ด้วย Google Sign-In:"
section1.principle,"UI string from section1.principle","Kami berpegang pada prinsip penyederhanaan dan hanya mengumpulkan data yang diperlukan untuk menjaga operasi layanan kami:"
section1.technicalData.googleAdsense,"UI string from section1.technicalData.googleAdsense","Google AdSense (Annunci): Potremmo utilizzare Google AdSense in futuro per visualizzare annunci a supporto dei costi operativi del sito web. Google e i suoi partner potrebbero utilizzare i Cookie (come il Cookie di DoubleClick) per mostrarti annunci personalizzati basati sulla tua cronologia di navigazione passata."
section1.technicalData.googleAnalytics,"UI string from section1.technicalData.googleAnalytics"," como seu endereço IP"
section1.technicalData.title,"UI string from section1.technicalData.title","ข้อมูลทางเทคนิคที่ถูกรวบรวมโดยบริการของบุคคลที่สามโดยอัตโนมัติ:"
section1.title,"UI string from section1.title","1. Các loại dữ liệu chúng tôi thu thập"
section1.voluntaryInfo.content,"UI string from section1.voluntaryInfo.content",""Você pode opcionalmente fornecer sua fAIxa etária"
section1.voluntaryInfo.title,"UI string from section1.voluntaryInfo.title","ผู้ใช้ได้ให้ข้อมูลที่ไม่แม่นยำโดยสมัครใจ (ไม่บังคับ):"
section2.coreFunction,"UI string from section2.coreFunction","コア機能：あなたの匿名ユーザーIDとゲームデータは、このサービスのコア機能の一部であり、スコアを記録し、履歴チャートやグローバルリーダーボードを提供するために使用されます。"
section2.experienceOptimization,"UI string from section2.experienceOptimization",""Optimisation de l'expérience : L'âge"
section2.serviceMaintenance,"UI string from section2.serviceMaintenance","Bảo trì dịch vụ: Dữ liệu kỹ thuật thu thập qua Google Analytics giúp chúng tôi hiểu hiệu suất của trang web và khắc phục các vấn đề tiềm ẩn."
section2.statisticalAnalysis,"UI string from section2.statisticalAnalysis","Phân tích thống kê: Chúng tôi sẽ ẩn danh và tổng hợp tất cả thông tin mà người dùng cung cấp một cách tự nguyện để hiểu rõ hơn về hồ sơ tổng thể của nhóm người dùng và cải thiện dịch vụ của chúng tôi."
section2.title,"UI string from section2.title","2. เราใช้ข้อมูลของคุณอย่างไร"
section3.crossBorderTransfer,"UI string from section3.crossBorderTransfer"," nos Estados Unidos). Ao utilizar este serviço"
section3.dataRetention,"UI string from section3.dataRetention",""Datenaufbewahrung: Da dieser Dienst völlig kostenlos ist"
section3.storageLocation,"UI string from section3.storageLocation"," tandis que vos données de jeu et les informations fournies volontAIrement sont stockées dans une base de données sur Google Firebase.""
section3.title,"UI string from section3.title","3. การจัดเก็บข้อมูลและการถ่ายโอนข้ามพรมแดน"
section4.advertisingCookies,"UI string from section4.advertisingCookies",""광고 쿠키: 위에서 언급한 바와 같이"
section4.functionalCookies,"UI string from section4.functionalCookies","Cookie Chức Năng: Chúng tôi sử dụng cookie để duy trì trạng thái đăng nhập của bạn."
section4.title,"UI string from section4.title","4. เกี่ยวกับคุกกี้และการโฆษณา"
section5.contactChannel,"UI string from section5.contactChannel","お問い合わせ: このプライバシーポリシーに関して質問がある場合や、データの権利（アクセス、修正、削除など）を行使したい場合は、公式のGitHub Issuesページを通じてリクエストを送信してください。"
section5.githubLink,"UI string from section5.githubLink","https://github.com/yveschen001/typesprout-pubic/issues"
section5.importantReminder,"UI string from section5.importantReminder"," note que o GitHub Issues é uma plataforma pública. Para proteger sua privacidade pessoal"
section5.responseTime,"UI string from section5.responseTime"," nous répondrons dès que possible dans la mesure de nos capacités. Merci de votre patience et de votre compréhension.""
section5.title,"UI string from section5.title","5. สิทธิของคุณและข้อมูลการติดต่อ"
speedChartAriaLabel,"UI string from speedChartAriaLabel",""Gesamtpunktestand Trenddiagramm: Je höher die Linie"
speedChartTitle,"UI string from speedChartTitle","คะแนนรวม (ความเร็วที่ถูกต้อง)"
speedChartTooltip,"UI string from speedChartTooltip",""수직 축: 전체 점수 (높을수록 좋음); 수평 축: 시간 순서. 초록색 선은 정확한 단어만을 기반으로 한 속도를 나타내며"
speedScore,"UI string from speedScore","คะแนนรวม: {{score}}"
terms.footer,"UI string from terms.footer","© 2025 Typesprout. สงวนลิขสิทธิ์ทั้งหมด."
terms.lastUpdated,"UI string from terms.lastUpdated","Cập nhật lần cuối: Ngày 21 tháng 9 năm 2025"
terms.section1.content1,"UI string from terms.section1.content1"," 사용자(특히 어린이와 학습자)에게 간단한 온라인 타이핑 연습 환경을 제공하는 것을 목표로 합니다.""
terms.section1.content2,"UI string from terms.section1.content2",""Ao acessar ou usar este serviço"
terms.section1.title,"UI string from terms.section1.title","1. ข้อกำหนดทั่วไปและการยอมรับเงื่อนไข"
terms.section2.content1,"UI string from terms.section2.content1","Mục đích duy nhất của dịch vụ này là cung cấp thực hành kỹ năng gõ phím. Đây không phải là công cụ nghiên cứu học thuật hay giáo dục tôn giáo. Tất cả nội dung trên trang web chỉ phục vụ cho mục đích này."
terms.section2.content2,"UI string from terms.section2.content2",""Um einen umfangreichen Übungstext bereitzustellen"
terms.section2.content3,"UI string from terms.section2.content3"," em vez de referências acadêmicas ou religiosas precisas. Os usuários devem entender completamente isso antes de usar.""
terms.section2.listItem1,"UI string from terms.section2.listItem1",""Contenu généré par l'IA : CertAIns articles d'entraînement sont analysés"
terms.section2.listItem2,"UI string from terms.section2.listItem2"," un texte Alternatif peut être généré par le modèle d'IA.""
terms.section2.subtitle1,"UI string from terms.section2.subtitle1","วัตถุประสงค์ของบริการ:"
terms.section2.subtitle2,"UI string from terms.section2.subtitle2","แหล่งข้อมูลของเนื้อหาธนาคารคำถามและข้อจำกัดความรับผิดชอบ:"
