key,description,text
absoluteScale,"UI string from absoluteScale","グリーン ≤{{low}}% · イエロー ≤{{mid}}% · レッド ＞{{mid}}% （%はそのキーの「最近の累積」エラー率を表します）"
accuracy,"UI string from accuracy","精度：{{percent}}%"
accuracyChartAriaLabel,"UI string from accuracyChartAriaLabel"," más precisa es.""
accuracyChartTitle,"UI string from accuracyChartTitle","精度"
accuracyChartTooltip,"UI string from accuracyChartTooltip"," mAIs precisa); Eixo horizontal: Sequência temporal. A linha azul mostra as mudanças na precisão para cada teste.""
actualInput,"UI string from actualInput","実際の入力: {{chars}} 文字"
admin.bulkTranslateTitle,"UI string from admin.bulkTranslateTitle","ローカリゼーションツールの豊富な選択肢"
admin.description,"UI string from admin.description","このエリアはメンテナンスおよびコンテンツ管理の目的のみで使用されます。"
admin.multiLineText,"UI string from admin.multiLineText","複数行のテキスト（1行につき1エントリ）"
admin.sourceLanguage,"UI string from admin.sourceLanguage","ソース言語"
admin.targetLanguage,"UI string from admin.targetLanguage","ターゲット言語"
admin.title,"UI string from admin.title","管理者ダッシュボード"
admin.usageDescription,"UI string from admin.usageDescription",""Ingresa los códigos de idioma de origen y destino"
admin.usageTitle,"UI string from admin.usageTitle","? ユーザーガイド"
auth.pleaseSignIn,"UI string from auth.pleaseSignIn",""Por favor"
auth.signIn,"UI string from auth.signIn","Googleでログイン"
auth.signOut,"UI string from auth.signOut","ログアウト"
correctChars,"UI string from correctChars","正しい文字数: {{chars}} 文字"
defaultDescription,"UI string from defaultDescription",""Superior: Tendencia de puntuación general; Inferior: Tendencia de precisión. Primero"
dev.savedToFirestore,"UI string from dev.savedToFirestore","リアルタイムでFirestoreに保存されました。"
dev.stage,"UI string from dev.stage","ステージ"
dev.stageOverview,"UI string from dev.stageOverview","五段階の概要（視覚的な比較のために簡単に）"
distanceToUpgrade,"UI string from distanceToUpgrade"," se recomienda ingresar al menos {{minutes}} minutos más hoy.""
effectiveDate,"UI string from effectiveDate","Data de Vigência: 21 de setembro de 2025"
error.errorOccurred,"UI string from error.errorOccurred","エラーが発生しました"
error.goBack,"UI string from error.goBack","前のページに戻る"
error.goHome,"UI string from error.goHome","ホームに戻る"
error.loadingError,"UI string from error.loadingError"," por favor intenta de nuevo más tarde.""
errorRate,"UI string from errorRate","{{key}} エラー率 {{percent}}%"
highestHere,"UI string from highestHere","ここでの最高値は{{value}}です。"
home.aboutBody,"UI string from home.aboutBody"," and expression.""
home.aboutTitle,"UI string from home.aboutTitle","Typesproutについて"
home.cards.avgAdj,"UI string from home.cards.avgAdj","平均合成得分（30天）"
home.cards.meVsSite,"UI string from home.cards.meVsSite","私対全サイト（30日間）"
home.cards.players,"UI string from home.cards.players","プレイヤー数"
home.cards.totalChars,"UI string from home.cards.totalChars","30日間の合計単語数"
home.ctaPractice,"UI string from home.ctaPractice","今すぐ練習を始める"
home.ctaTest,"UI string from home.ctaTest","テストを受ける"
home.googleUsersCount,"UI string from home.googleUsersCount","Googleログインユーザー数"
home.googleUsersTooltip,"UI string from home.googleUsersTooltip","Googleアカウントでログインしているユーザーの総数"
home.heroSubtitle,"UI string from home.heroSubtitle"," and helps build correct typing habits and focus.""
home.heroTitle,"UI string from home.heroTitle"," los brotes crecen Altos.""
home.howToUpgrade,"UI string from home.howToUpgrade","アップグレードするには？"
home.leaderEmpty,"UI string from home.leaderEmpty","データが利用できません"
home.leaderViewFull,"UI string from home.leaderViewFull","全ランキングを見る"
home.privacyNote,"UI string from home.privacyNote","個人情報は収集されません。統計データは匿名ランキングと学習フィードバックのみに使用されます。"
home.tabs.leader,"UI string from home.tabs.leader","リーダーボードプレビュー"
home.tabs.visitors,"UI string from home.tabs.visitors","訪問者分布"
home.title,"UI string from home.title","Typesprout — 子供のタイピングと木の成長"
home.upgradeRule1,"UI string from home.upgradeRule1","毎日ログインしてタイピングの練習をして、時間を積み重ねましょう。テストを開始するだけで「有効入力時間」が生成されます。"
home.upgradeRule2,"UI string from home.upgradeRule2",""Mientras practiques todos los días"
home.upgradeRule3,"UI string from home.upgradeRule3","レベル5に到達すると、結果を生み始めます（実を結ぶ）。"
home.upgradeRule4,"UI string from home.upgradeRule4"," mientras que menos actividad significa bajar de nivel.""
home.upgradeRule5,"UI string from home.upgradeRule5"," seguirás dando frutos.""
home.upgradeRule6,"UI string from home.upgradeRule6"," el tiempo de cuestionario se puede usar para acumular puntos.""
home.upgradeRules,"UI string from home.upgradeRules",""Reglas de mejora: Durante los últimos 5 días"
home.visitorsDesc,"UI string from home.visitorsDesc","ウェブサイトの訪問者とプレイヤーの国別分布（匿名統計）。"
howToUpgrade,"UI string from howToUpgrade","アップグレード方法"
introduction,"UI string from introduction"," así que esta política tiene como objetivo explicar qué datos recopilamos y cómo utilizaremos esos datos.""
leaderboard.classCodePlaceholder,"UI string from leaderboard.classCodePlaceholder","クラスコード"
leaderboard.tooltip,"UI string from leaderboard.tooltip",""🏆 ¿Cómo se calcula la Tabla de clasificación?&#10;• Clasificación DIARIA: Rendimiento de hoy (hora local)&#10;• Clasificación de Ayer: Rendimiento de ayer (hora local)&#10;• Clasificación de la Semana Pasada: Rendimiento de lunes a domingo de la semana pasada&#10;• Clasificación del Mes Pasado: Rendimiento del 1 al final del mes pasado&#10;&#10;📊 ¿Cómo se calcula la puntuación?&#10;• Puntuación Total = Velocidad Más Rápida × Tasa de Precisión × Tiempo de Práctica&#10;• Las múltiples prácticas en el mismo día se combinarán para el cálculo&#10;• Cuanto más tiempo practiques"
meta.gardenDescription,"UI string from meta.gardenDescription","タイピングポイントで木の成長と報酬を進めましょう。"
meta.homeDescription,"UI string from meta.homeDescription","子供のタイピング練習と木の成長ゲーム。繁体字中国語 / 簡体字中国語 / 英語に対応しています。"
meta.leaderboardDescription,"UI string from meta.leaderboardDescription","言語別のDAIly/Weekly/Monthlyランキング。"
meta.practiceDescription,"UI string from meta.practiceDescription"," que admite métodos de entrada y varios modos.""
meta.profileDescription,"UI string from meta.profileDescription",""Tu información personal"
meta.result,"UI string from meta.result","結果"
meta.resultDescription,"UI string from meta.resultDescription","あなたのタイピングテストの結果。"
meta.testDescription,"UI string from meta.testDescription"," mostrando precisión y puntuación general.""
nav.garden,"UI string from nav.garden","木を植える"
nav.home,"UI string from nav.home","ホーム"
nav.leaderboard,"UI string from nav.leaderboard","リーダーボード"
nav.practice,"UI string from nav.practice","練習"
nav.profile,"UI string from nav.profile","個人用"
nav.subtitle,"UI string from nav.subtitle","子供のタイピングと木の成長"
nav.test,"UI string from nav.test","テスト"
notice,"UI string from notice"," and agreed to all the contents of this policy.""
percentile,"UI string from percentile","約{{percent}}%以上の人々"
profile.chartDescription,"UI string from profile.chartDescription",""Superior: Tendencia de Puntuación General; Inferior: Tendencia de Precisión. Primero"
profile.classCode,"UI string from profile.classCode","クラスコード"
profile.classCodePlaceholder,"UI string from profile.classCodePlaceholder"," solo evita duplicados.""
profile.classCodeTooltip,"UI string from profile.classCodeTooltip"," se agregarán automáticamente (no se agregarán automáticamente si ya hay 5).""
